title,postingFrom,permalink,shortDescription,postingDate,mailToLink
longer trips available.... please read entire posting (s dayton),dayton,http://dayton.craigslist.org/rid/3397580445.html,hello there... fully insured & safe driver here offering to drive you where you need to get to... i specialize in longer trips one way or round trips as long as it's a quick turn around time (less than 1 hour).... hate taking a greyhound ? don't fly  [...],2012-11-17T21:46:01-05:00,emailnotfound
ride wanted to & from richmond in.-lewisburg ohio (lewisburg-richmond),dayton,http://dayton.craigslist.org/rid/3414116635.html,"need a ride, 3 or 4 days a wk...hrs change wkly,,,,,could go early if need be..will share gas...need immediatly ",2012-11-16T13:00:24-05:00,emailnotfound
need airport drop off to dayton airport (dayton),dayton,http://dayton.craigslist.org/rid/3412950014.html,"we are a family of 4(2a+2kids),need airport drop off on 21st november at 11 am. will need a van as we have 4 check in and 4 cabin bags. i am in dayton(45458). pls reply with what i sthe least u will take and contact number. looking for someone reliab [...]",2012-11-15T22:05:32-05:00,emailnotfound
"need ride to jacksonville, fl after dec 1st (kettering )",dayton,http://dayton.craigslist.org/rid/3411453885.html,"need ride to jacksonville, florida and time after december 1st. retired military, cash in hand to share gas. i have one bag and a mountain bike which can be packed into box if need be. ",2012-11-15T11:12:13-05:00,emailnotfound
"looking to go to san francisco. (from dayton, oh. to san francisco)",dayton,http://dayton.craigslist.org/rid/3410057199.html,"will pay for gas of course. 
not sure when leaving yet. 
thanks. much appreciated.",2012-11-14T17:04:47-05:00,emailnotfound
need ride from springfield to columbus (springfield),dayton,http://dayton.craigslist.org/rid/3408746522.html,"hello. i need a ride from springfield or yellow springs to columbus 
on december 7 for doctor's appointment. also need a ride back to 
springfield or yellow springs the same day in late afternoon or evening. 
can provide references, gas money. thank  [...]",2012-11-14T07:53:14-05:00,emailnotfound
red deer apts to wpafb (fairborn ),dayton,http://dayton.craigslist.org/rid/3408744428.html,"anyone want to carpool to wpafb from the red deer apts, yellow springs rd area? usually go to work between 6:30-7:30 and home around 3-5. ",2012-11-14T07:51:15-05:00,emailnotfound
looking for a ride to to oh state wisconsin game this weekend  (dayton),dayton,http://dayton.craigslist.org/rid/3408585401.html,"i am looking to catch a oneway ride to madison, wi this weekend , id there anyone going to the ohio state wisconsin game sat , i would like to ride , and i am willing to share in the cost of gas . i am only looking to ride one way ",2012-11-14T03:09:37-05:00,emailnotfound
ride offered dayton-col-pit-hbg 11-24-12 (dayton to harrisburg pa),dayton,http://dayton.craigslist.org/rid/3407986282.html,"i am driving to dayton oh, kettering to be exact, 
i am leave york pa, on saturday 17 nov 2012 
and returning sat 24 nov 2012. 
the dates can be change a day or 2. 
i will share costs. 
the bus wants 246 round trip. 
i figure my cost will be about $2 [...]",2012-11-13T19:27:32-05:00,emailnotfound
"lokking for a ride to madison wi (englewood, ohio )",dayton,http://dayton.craigslist.org/rid/3399043432.html,"iam looking for a ride to the ohio state wisconsin game in madison wi next saturday, i live in n dayton area and am looking to ride oneway . of course im willing to help with gas looking . profssional decent person here ",2012-11-09T21:22:05-05:00,emailnotfound
"ride needed to detroit, mi (rochester hills, mi)",dayton,http://dayton.craigslist.org/rid/3395669340.html,"hello, 
i live in yellow springs, ohio. i'm looking for a ride to be with my family this thanksgiving in rochester hills, michigan a suburb of detroit. i would like to leave either saturday, sunday or monday any day between nov 17th and the 19th. i a [...]",2012-11-08T13:52:30-05:00,emailnotfound
need ride to oregon for xmas (oh--&gt;or),dayton,http://dayton.craigslist.org/rid/3391397078.html,"hello, 
i am trying to get to oregon for the month of december so that i can spend my birthday (dec. 14) and christmas with my mom. i am a graduate student, a 24 year old female with a medium/large pack and a little dog. funds are tight but i thought [...]",2012-11-06T16:38:06-05:00,emailnotfound
dayton to columbus (ud),dayton,http://dayton.craigslist.org/rid/3389028929.html,"i 'm heading from columbus to dayton now if you need a ride contact me to share the gas expensive i will charge u $ 15 
6145570073",2012-11-05T16:42:57-05:00,emailnotfound
anyone drive from watervliet ave to beavercreek? (dayton to beavercreek),dayton,http://dayton.craigslist.org/rid/3388527512.html,need ride from watervliet to beavercreek highschool area each morning. if you drive this route and wouldnt mind someone riding with you let me know. i can help with gas. 937 723 0237 ,2012-11-05T13:39:11-05:00,emailnotfound
"rideshare  (975 s.franklin street eaton,ohio)",dayton,http://dayton.craigslist.org/rid/3388049578.html,"my name is aaron mansfield im going to start a new job in eaton,ohio i need a way to work and back i dont know my exact schedule yet im waiting to get called in for orientation but if anyone is interested i will let you know all the information furth [...]",2012-11-05T10:52:03-05:00,emailnotfound
