title,postingFrom,permalink,shortDescription,postingDate,mailToLink
newark(de) to nyc or nj (newark),delaware,http://delaware.craigslist.org/rid/3416277050.html,"hi - i need to go to nyc today (anytime before 5 pm if anybody leaving ) from newark(de) to jersey city or nyc or anywhere close , let me know... i can share money for gas , toll and if anything else... ",2012-11-17T12:01:33-05:00,emailnotfound
ride share cheapest transport on craigslist (delaware),delaware,http://delaware.craigslist.org/rid/3414692117.html,"cheapest ride share on craigslist 
clean, comfortable, reliable 2009 vehicle 
always pick up and drop off on time 
need somewhere to go: walmart, drug store, doctors appt, etc.... email us now for a safe and pleasant ride 
when booking please include [...]",2012-11-16T16:38:47-05:00,emailnotfound
"moving truck going to tampa, stops along the way ok (deleware)",delaware,http://delaware.craigslist.org/rid/3414574776.html,"hello, i have about 400 cubic feet worth of stuff to move. also have a jeep wrangler type vehicle to tow. 
if you are moving to florida or anywhere south of new england please contact me and maybe we can combine the moves. i am an experienced mover-- [...]",2012-11-16T15:51:34-05:00,emailnotfound
3rd shift to amazon (dover to new castle),delaware,http://delaware.craigslist.org/rid/3414558335.html,"looking for someone with a reliable vehicle who is currently employed at amazon.com in new castle de, or surrounding workplaces to drive me from dover. ",2012-11-16T15:45:06-05:00,emailnotfound
please help please need to rent ur car (wilmington),delaware,http://delaware.craigslist.org/rid/3378863136.html,"hello my name is latanika , i am in need to rent someone's car to complete my road test for the state of delaware road test (i know how to drive) i am willing to pay 25.00 up front to rent your car you must be (licensed)&(insured) for this job and yo [...]",2012-11-16T13:10:53-05:00,emailnotfound
truck going to orlando (eastern shore),delaware,http://delaware.craigslist.org/rid/3413565037.html,"i'll be driving an f350 and can tow a trailer and or take a passenger. leaving eastern shore near ridgely heading to the orlando fl area in the in the next week or so. 
bumper pull trailers only unless i can put my motorcycle in it or on it. i don't  [...]",2012-11-16T09:14:42-05:00,emailnotfound
rideshare/carpool app (ios/android),delaware,http://delaware.craigslist.org/rid/3345452106.html,"hello ride-sharers/carpoolers, 
app name is rideshare4less a.k.a rs4l 
android - 
https://play.google.com/store/apps/details?id=com.rs4l.rideshare 
ios - 
http://itunes.apple.com/us/app/ride-share-4-less/id490880546?ls=1&mt=8 
imagine going to new yo [...]",2012-11-15T19:58:22-05:00,emailnotfound
rides offered from point a to point b (wilmington - middletown),delaware,http://delaware.craigslist.org/rid/3411030059.html,"rides offered from point a to point b 
one way or round trip 
rate 1.00 per mile plus tolls 
minimum $25.00 
856/979/two997 ",2012-11-15T06:00:17-05:00,emailnotfound
rider offer to nyc (dover),delaware,http://delaware.craigslist.org/rid/3409781629.html,"hello, 
i will be leaving from dover, de heading to nyc on 21 nov 2012 anytime after 8 pm. i will be returning from nyc back to dover, de on 25 nov 2012 (sunday) 
let me know if your interested in riding along and can help with gas+tolls. i am safe d [...]",2012-11-14T15:16:05-05:00,emailnotfound
ride needed - newark de to new brunswick on thu 11/22 (newark),delaware,http://delaware.craigslist.org/rid/3408520342.html,"i'm looking for a ride from newark to new brunswick. 
leaving on thanksgiving morning november 22nd or a day or two early,
ideally returning around november 27th. flexible on timing except need to get near new brunswick, nj for an afternoon thanksgiv [...]",2012-11-14T01:29:13-05:00,emailnotfound
the work commute rideshare (west chester to wilmington and back),delaware,http://delaware.craigslist.org/rid/3391214570.html,"i work in wilmington, de from 8:00 a.m to about 5:00 pm monday through friday. i live in west chester, right outside the borough, close to rt. 202. it would be great to find someone to help split the commuting costs of driving to and from wilmington  [...]",2012-11-12T09:42:58-05:00,emailnotfound
"i travel through the tristate (de,pa,ny,nj)",delaware,http://delaware.craigslist.org/rid/3389745286.html,i travel throughout the tristate if i'm going that way i wouldn't mind giving somebody a ride email me or text me we can work out a price 954-235-1535 ask for tj ,2012-11-11T23:42:00-05:00,emailnotfound
driving delaware to baltimore nov 15   (delaware to bmore ),delaware,http://delaware.craigslist.org/rid/3394408014.html,"many possibilities, best to text 716795 four four nine four for options",2012-11-10T00:57:45-05:00,emailnotfound
"share ride on nov 19 from wilm de (delray bch, fl)",delaware,http://delaware.craigslist.org/rid/3397839449.html,"leaving wilmington or nearby wilmington, de in my car on monday nov 19 to drive to delray bch, florida. share gas & tolls with a college student or credentialed person. not sure about overnight stops yet.",2012-11-09T12:36:12-05:00,emailnotfound
"rider needed to raleigh over thanksgiving (hockessin, de)",delaware,http://delaware.craigslist.org/rid/3391655254.html,"looking to see if anyone wants to ride with me from hockessin, de to raleigh, nc for thanksgiving. leaving wed, returning sunday.",2012-11-06T18:32:51-05:00,emailnotfound
"delaware to socal/la, california (delaware)",delaware,http://delaware.craigslist.org/rid/3391503879.html,"just like the title says.....i am relocating to the socal, california area sometime right after christmas. my goal was to be in delaware for xmas with family, then be out in l.a. by the new year. originally i had planned on flying and shipping a few  [...]",2012-11-06T17:23:19-05:00,emailnotfound
