title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rided need pleasae take a look,detroit,http://detroit.craigslist.org/mcb/rid/3412893374.html,"if your going to mil wis round trip or coming to mi from mill wis please call me asap at 586 441 6048. also need from springfield ill to mi, also cinn ohio to mi and upper penn mi to lower mi let me no anytime please call me 586 441 6048 if this ad i [...]",2012-11-18T03:59:07-05:00,emailnotfound
looking for riders (flint to alliance ohio),detroit,http://detroit.craigslist.org/okl/rid/3407853504.html,leaving 11-19 for alliance ohio passing through ann arbor detroit toledo akron canton to alliance..can pick up drop off anywhere between. returning home following sunday..send info bout self and destination..looking for little help with gas is all..,2012-11-17T23:46:22-05:00,emailnotfound
pick up  & delivery (royal oak),detroit,http://detroit.craigslist.org/okl/rid/3412407487.html,"have small pick up ... will deliver & pick up...o any where. any time... 
price negotiable ....reliable, & ready. call or text 248-7890453. ",2012-11-17T19:28:58-05:00,emailnotfound
"cheap transportation call now (248) 632-7014 (hamtramck, mi)",detroit,http://detroit.craigslist.org/mcb/rid/3411267144.html,"available for rideshare/ running errands/ commuting for within 2 hours of the metro detroit/ flint/ ann arbor area evenings and weekends. clean record, clean car, safe driver, reasonable rates!!! 
call (248) 632-7014 and ask for di to make an appoint [...]",2012-11-17T18:54:21-05:00,emailnotfound
offer: reliable daily shuttle detroit -ann arbor. excellent rates! (detroit &amp; ann arbor),detroit,http://detroit.craigslist.org/wyn/rid/3417105752.html,"we leave from detroit (downtown) at 630am and 2pm. trips from ann arbor are 5pm and 11pm to downtown detroit. hourly rates available for our errand service. 
uniformed, professional and reliable. 
call 802 505 7342 or email for faster response. thank [...]",2012-11-17T17:42:40-05:00,emailnotfound
"need ride to sturgis, michigan on december 14th (warren, mi)",detroit,http://detroit.craigslist.org/mcb/rid/3397578951.html,"i need a ride to sturgis, michigan on december 14th, 2012. it is about 45 minutes south of kalamazoo. if anyone is driving through that area on this date, then please contact me. i'd be glad to contribute 20-30 dollars for gas. ask for greg (586) 770 [...]",2012-11-17T16:47:17-05:00,emailnotfound
heading from michigan to portland/west coast on dec 16th,detroit,http://detroit.craigslist.org/okl/rid/3416516588.html,"on december 16th, i'll be heading from flint michigan to portland, or. i'm a male student (20) driving back home in a '97 accord. so far i'm driving alone, but can take someone with me who will help with driving and maybe chip in for gas. my car is f [...]",2012-11-17T13:33:05-05:00,emailnotfound
rockford ill through chicago (macomb county),detroit,http://detroit.craigslist.org/mcb/rid/3416372796.html,i am leaving detroit area sun at noon and will be going to rockford ill through chicago if interested very reasonable and lots of space if you need anything taken there too 586-596-9477,2012-11-17T12:38:27-05:00,emailnotfound
^^^budget driver^^^ (metro-detroit),detroit,http://detroit.craigslist.org/wyn/rid/3359342690.html,"affordable driver 
dependable 
providing pick ups for: 
airport (comfortable and safe ride) 
errands 
work 
school 
leisure 
if in need of a ride call or text ben at 313 638 0039 ",2012-11-17T12:27:42-05:00,emailnotfound
need a driver? (rosevile),detroit,http://detroit.craigslist.org/mcb/rid/3416316861.html,"personal driver available for your needs. 
michigan chauffeur's license...excellent driving record... 
reasonable rates...24/7 service available... 
586-441-3797",2012-11-17T12:16:57-05:00,emailnotfound
do you need a ride to or from metro airport? (oakland county),detroit,http://detroit.craigslist.org/okl/rid/3416087704.html,"need a ride to or from metro airport? 
i am available in the areas of troy, novi, royal oak, ferndale, berkley, birmingham, southfield, 
beverly hills, clawson and west bloomfield. and other areas throughout oakland, macomb and 
wayne county. 
daily  [...]",2012-11-17T10:44:28-05:00,emailnotfound
local cheap rides (oakpark area),detroit,http://detroit.craigslist.org/okl/rid/3415883378.html,local rodea cheap capo larry. 248 796 1915,2012-11-17T08:55:58-05:00,emailnotfound
driver available 4 u...... (detroit),detroit,http://detroit.craigslist.org/wyn/rid/3415822926.html,"are you in need of a ride, shopping, paying bills, point a to point b.... 
will do night and pass midnight driving if need be..... 
give me a call....313 646 1732 ",2012-11-17T08:11:53-05:00,emailnotfound
i will drive your car to florida (tampa area),detroit,http://detroit.craigslist.org/okl/rid/3402697756.html,"i will drive your car to florida from michigan between now and february 2013. perfect driving record. no accidents. 
very responsible adult. 
extra charges for delivery to 50 miles outside of tampa area. very reasonable 
fee is $100 from detroit metr [...]",2012-11-17T06:52:43-05:00,emailnotfound
driving to atlanta 11-18 (detroit/ann arbor),detroit,http://detroit.craigslist.org/wyn/rid/3415719940.html,"leaving detroit or ann arbor around noon on 11/18. will drop off anywhere along i-75 between here and atlanta. no smokers, drugs or pets. gas will be prorated for distance and full trip to atlanta is $70.00. great car and i do all driving.",2012-11-17T05:56:55-05:00,emailnotfound
share my moving truck to atlanta georgia 11/28/12 (southfield),detroit,http://detroit.craigslist.org/okl/rid/3410022286.html,"you can pack your items in my budget rental truck sharing space and gas $400, i have no space for you to ride but you may follow closely behind, if you are serious and want to connect please email me your phone number, i will not answer emails i will [...]",2012-11-16T23:28:11-05:00,emailnotfound
ride offer detroit to pittsburgh (detroit),detroit,http://detroit.craigslist.org/wyn/rid/3415379223.html,"i have room for 2 other people driving from detroit and flint on november 28. leaving in the late afternoon/evening, flexible about leave time. pitch in for gas- (will take $ and/or vegan snacks, zines, a good mix tape), currently splitting with 2 of [...]",2012-11-16T22:41:22-05:00,emailnotfound
lj transportation courteous service (oakland),detroit,http://detroit.craigslist.org/okl/rid/3402714784.html,"providing local, airport and long distance trips. 
servicing the troy, royal oak, berkley, clawson, w. bloomfield, madison heights, 
farmington hills, pontiac, beverly hills, bloomfield hills, southfield, 
and bingham farms area. and throughout the w [...]",2012-11-16T22:15:12-05:00,emailnotfound
daily ride from detroit to ann arbor/ann arbor to detroit (detroit mi),detroit,http://detroit.craigslist.org/wyn/rid/3361066818.html,making daily runns from detroit mi to ann arbor mi statring at 530 am will do round trips affoable rides call 313-525-9721 cell or office 313 397 1305 if no answer please call cell you can also text your info and it will be responded to in timely mat [...],2012-11-16T20:50:34-05:00,emailnotfound
cheap travel to any state,detroit,http://detroit.craigslist.org/mcb/rid/3415045280.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-16T19:19:44-05:00,emailnotfound
ride offered west to sf.la (san fran. la),detroit,http://detroit.craigslist.org/wyn/rid/3414518001.html,"leaving sat night. going to san fran and la. 
room for one. 
contribution for gas. 
please let me know a little about yourself and what you can afford to chip in for gas.",2012-11-16T15:29:28-05:00,emailnotfound
repost.ride to ann arbor (metro d),detroit,http://detroit.craigslist.org/okl/rid/3367313120.html,"no car, and i'm home for a holiday and need a ride back to ann arbor. thanks for the help...been super busy with exams and paper lately but will respond. ",2012-11-16T15:07:30-05:00,emailnotfound
ride needed to dayton oh,detroit,http://detroit.craigslist.org/wyn/rid/3413932139.html,i need a ride to dayton oh either monday or tuesday.me and my dog are tryin to get there for thanksgiving so a ride would be greatly appreciated. i will help with gas money. if you are heading that way and can help with a ride call me at 424 280 6519 [...],2012-11-16T11:53:17-05:00,emailnotfound
driver avil... (eastside/scs/warren),detroit,http://detroit.craigslist.org/wyn/rid/3373605128.html,"driver will drive your vehicle point a to b 
excellent driving record and skills. 
will run errands also 
reply for quote.. 
thanks ",2012-11-16T10:32:44-05:00,emailnotfound
driving service (macomb),detroit,http://detroit.craigslist.org/mcb/rid/3368238680.html,"our driving rates are negotiable, and always cheap. 
we will drive you to and from anywhere in southeast michigan. 
airport..casino..shopping...or anywhere you need to go. 
we have clean and safe cars..and we are always on time.... 
call us last..we  [...]",2012-11-16T09:45:55-05:00,emailnotfound
