title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"can haul loads under 1500lbs across the country (seattle, denver, baltimore)",fayetteville,http://fayetteville.craigslist.org/rid/3396760842.html,"i'm in seattle now, driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and will ta [...]",2012-11-17T17:48:19-05:00,emailnotfound
"rent my 2009 nissan 370z for $63.00/day (raeford, nc)",fayetteville,http://fayetteville.craigslist.org/rid/3410250570.html,rent my 2009 nissan 370z in raeford this is a very fast and fun car. always rented out clean and ready to impress! $12.50/hour $63.00/day $315.00/week (insurance included) this car is available on most weekdays and every weekend. click here to rent t [...],2012-11-17T07:52:49-05:00,emailnotfound
need ride (nashville to el paso),fayetteville,http://fayetteville.craigslist.org/rid/3414054192.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-16T12:37:54-05:00,emailnotfound
medical visit driver (fayetteville and surrounding cities),fayetteville,http://fayetteville.craigslist.org/rid/3349040238.html,"boomerang transport is looking for reliable drivers in fayetteville. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be custo [...]",2012-11-16T10:50:37-05:00,emailnotfound
headed to andrews (lillington),fayetteville,http://fayetteville.craigslist.org/rid/3413668778.html,"i am headng to the andrews afb area sunday. if you have something that needs to go that way i could beliver it for a fee. 
call 910-987-1654",2012-11-16T10:07:27-05:00,emailnotfound
fort bragg area to dc metro area (fayetteville ),fayetteville,http://fayetteville.craigslist.org/rid/3413605766.html,"i am traveling to the dc area next week i can leave on tuesday 20th or on wednesday 21st, and i plan on coming back on sunday, 25th if anyone wants to share gas expenses you are welcome to ride with me. contact me for more details",2012-11-16T09:36:48-05:00,emailnotfound
need ride to ma or ny (pittsfield ma),fayetteville,http://fayetteville.craigslist.org/rid/3410242002.html,i'm looking for a ride to or near pittsfield ma. i can help with gas$ and driving.,2012-11-14T18:25:56-05:00,emailnotfound
shareride (southern pines),fayetteville,http://fayetteville.craigslist.org/rid/3406689510.html,i am looking for a ride 1 to 2 days a week going to southern pines nc. i am a 50 year female unable to drive due to medical. i am looking to find someone that may travel to that area to work weekly to share gas expense. i live off the raeford road ar [...],2012-11-13T11:05:39-05:00,emailnotfound
greensboro concert now (fayetteville),fayetteville,http://fayetteville.craigslist.org/rid/3402691356.html,"bands for today, sleeping giant, impending doom and hundreth are playing in greensboro tonight. im leaving in about 45 mins if you want to come call me now 203-510-4207 tommy",2012-11-11T16:07:11-05:00,emailnotfound
"ride needed - 9, mineral springs to new hampshire on mon 11/12 (9, mineral springs)",fayetteville,http://fayetteville.craigslist.org/rid/3397949244.html,"i'm looking for a ride from 9, mineral springs to new hampshire. 
leaving november 12th. this ride is for my son and his dog to come home contact me on zimride: http://www.zimride.com/ride/share?ride=524837 ",2012-11-09T13:15:30-05:00,emailnotfound
christmas leave nc to tx.. and back . huge new truck (bragg),fayetteville,http://fayetteville.craigslist.org/rid/3397418291.html,just a soldier driving home for christmas leave looking to ride share.. i can sit 3 more very comfortable.. and take plenty of bags.. full size quad cab truck. anyways lets all work together save some money and have a fun trip...i usually drive throu [...],2012-11-09T09:52:28-05:00,emailnotfound
"nc to ma (lumberton, nc)",fayetteville,http://fayetteville.craigslist.org/rid/3390226789.html,"driving from lumberton, nc to boston, ma on or around november 17th , if you have gas money and need a ride i have room for 2 and a couple of bags. reply if interested leave your name and number. 420 friendly : )",2012-11-09T08:59:26-05:00,emailnotfound
looking for ride nc to pa  (fayetteville),fayetteville,http://fayetteville.craigslist.org/rid/3380303338.html,"looking for someone who may be moving north that possibly has room for a 10x 10 storage full of stuff to get from fayetteville nc to near reading pa can help with gas money , or even someone with a truck and trailer doees not have to be right away le [...]",2012-11-07T09:57:32-05:00,emailnotfound
help for sandy relief (clinton/fayettville),fayetteville,http://fayetteville.craigslist.org/rid/3380143817.html,im in need of a ride to nj shore area to help out with famley and friends if any can spare the space i can help a little with the tolls. i live in the clinton area but can get to fayettville if needed . the sooner the better. thanks for helping if yo [...],2012-11-01T17:44:31-04:00,emailnotfound
i am heading to maryland,fayetteville,http://fayetteville.craigslist.org/rid/3378551414.html,"leaving nc the night of nov. 29th and coming back the morning of dec. 3rd. just help out with gas. 
i will be heading to the baltimore area",2012-11-01T00:24:52-04:00,emailnotfound
home for the holidays (fayetteville to pensacola ),fayetteville,http://fayetteville.craigslist.org/rid/3376813105.html,"i'm driving to pensacola for the holidays, leaving around the 20th of december and returning around the 29 of december. if you are interested in sharing the ride anywhere in that direction i can drop you off and pick you up! one way or both ways! i'l [...]",2012-10-31T09:44:23-04:00,emailnotfound
11/1-11/5u.p. michigan to north carolina via pennsylvania and back  (mi - nc and everywhere in between),fayetteville,http://fayetteville.craigslist.org/rid/3373503599.html,"hey, 
i am going on a long road-trip to go vote and see family in fayetteville, nc this weekend. i will be leaving houghton thursday at around 5pm. i hope to make it to somewhere in pennsylvania by the morning where i will pick up another driver to f [...]",2012-10-29T18:20:40-04:00,emailnotfound
lumberton to sarasota fl (lumberton),fayetteville,http://fayetteville.craigslist.org/rid/3369008349.html,will be driving from lumberton nc to sarasota fl on fri nov 2. i can use a passanger to help with the boredom and with the gas,2012-10-27T15:15:59-04:00,emailnotfound
needing a ride to atlanta (fayetteville),fayetteville,http://fayetteville.craigslist.org/rid/3362190958.html,"needing a ride to atlanta ga today or tomorrow can pay for gas call me at 678-548-7955 please let me know asap if you are able to thanks 
nina*",2012-10-24T15:22:11-04:00,emailnotfound
charlotte airport to pinehurst nc (pinehurst),fayetteville,http://fayetteville.craigslist.org/rid/3361822603.html,i would like to secure a ride from the charlotte ariport to the pinehurst area in mid november. good pay for the right individual. prefer mature individual with clean driving record. profile required. ,2012-10-24T13:08:47-04:00,emailnotfound
