title,postingFrom,permalink,shortDescription,postingDate,mailToLink
4x6 trailer denver to seattle 450.00 today! (denver/seattle ),fortcollins,http://fortcollins.craigslist.org/rid/3417913526.html,have a load in seattle to go get. need a load for the way there. pickup w/canopy & 4x6 trailer. can come help you load it this morning and get it up there in about a day.,2012-11-18T03:50:14-07:00,emailnotfound
front range to ohio (ride needed) (estes park/boulder/fort collins),fortcollins,http://fortcollins.craigslist.org/rid/3416002795.html,"thanksgiving in bowling green. me and my dog would love a ride anywhere in ohio or southern michigan. i have a valid dl, non-smoker, bear dog is a seasoned veteran rider, can contribute some to gas or show u how to gas can. we just need a ride one wa [...]",2012-11-17T08:05:03-07:00,emailnotfound
ride offered - fort collins to philadelphia on tue 11/27 (fort collins),fortcollins,http://fortcollins.craigslist.org/rid/3415520060.html,i'm offering a ride from fort collins to philadelphia leaving november 27th. i drive a reliable station wagon with a decent amount of spare cargo space and room for another bike on my bike rack. i am looking for up to three passengers to split the co [...],2012-11-16T22:40:36-07:00,emailnotfound
need ride to co springs (longmont),fortcollins,http://fortcollins.craigslist.org/rid/3413791624.html,"my dog and i would like to go to co springs wed. evening to spend thanksgiving w/my family. i can pitch in for gas, or barter if preferred. 
thx, jimmy ",2012-11-16T08:59:52-07:00,emailnotfound
ride needed fc-dia friday $20 (fort collins),fortcollins,http://fortcollins.craigslist.org/rid/3412828277.html,"i need to be to dia by 4:30pm on friday the 16th. i'll pay $20 one-way, which is still cheaper and faster than greenride. 
503.250. 4 zero zero 8 
jake; 30 year old grad student",2012-11-15T18:53:04-07:00,emailnotfound
ride offered to summit county (fort collins- copper mtn),fortcollins,http://fortcollins.craigslist.org/rid/3412539818.html,i'm leaving fort collins on friday evening to drive up to copper mtn. i'll be staying up there until the following friday. offering rides both ways- plenty of room for stuff. ,2012-11-15T16:25:24-07:00,emailnotfound
"ride needed: tomorrow friday 11/17 to north platte, ne (united states)",fortcollins,http://fortcollins.craigslist.org/rid/3411912137.html,"i'm hitchhiking from walden, co to fort collins tomorrow and possibly the rest of the way to north platte if i can't find a ride. i don't mind hitchhiking at all, but its getting kinda cold haha. don't have much to offer except for some good company. [...]",2012-11-15T12:03:35-07:00,emailnotfound
do you need a ride? to/from denver/foco or around surrounding areas? (northern colorado),fortcollins,http://fortcollins.craigslist.org/rid/3411300815.html,"i am a 27 yr old college student who travels to denver daily. i am (as most college students are) always in need of a little extra cash. therefore, if you need a ride i would be happy to help you out for a fair price. that way you get to where you ne [...]",2012-11-15T08:04:16-07:00,emailnotfound
daily carpool/rideshare  (windsor - downtown denver),fortcollins,http://fortcollins.craigslist.org/rid/3410021410.html,"i am looking for someone to rideshare with from windsor to denver and back again monday - friday. i am willing to share the driving & expenses. my work schedule is flexible, but i can't leave windsor before 6:40am, because i drop my kids off at dayca [...]",2012-11-14T14:49:42-07:00,emailnotfound
lookin for a ride to san fran (greeley),fortcollins,http://fortcollins.craigslist.org/rid/3410020002.html,i have a perfect medium size dog...i mean he is perfect...can share gas $$$.....whenever you are leaving to the san fran area...let me know...ready to go! thanks for the consideration!,2012-11-14T14:49:08-07:00,emailnotfound
