title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"driving to bay area (fresno, madera, los banos, to 101 nb)",fresno,http://fresno.craigslist.org/rid/3417671318.html,"i will be leaving tomorrow evening from fresno towards los banos, then towards gilroy. san jose, milpitas, hayward, oakland, and monday to san francisco for a job interview. 
if anyone wants to share a ride there, let me know by tomorrow afternoon so [...]",2012-11-17T20:43:56-08:00,emailnotfound
need a ride?? lets rideshare!! (fresno/clovis $10),fresno,http://fresno.craigslist.org/rid/3415619056.html,"need a ride?? 
we can rideshare to your destination! work,shopping or just out for the evening. my car can fit up to 3 people comfortably. will rideshare 1 way for $10 anywhere in fresno city or to clovis. anytime day or night just give me a call or  [...]",2012-11-16T23:39:34-08:00,emailnotfound
fresno to las vegas - 11/17 (fresno),fresno,http://fresno.craigslist.org/rid/3414821185.html,"heading out tomorrow morning (5am?), we can split the gas bill.",2012-11-16T14:33:26-08:00,emailnotfound
cheap affordable rides to any city or state,fresno,http://fresno.craigslist.org/rid/3395863001.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T15:05:51-08:00,emailnotfound
when you need a ride. . . do it the smart way!  ($10 fresno/clovis),fresno,http://fresno.craigslist.org/rid/3411483652.html,"ride sharing the smart way!..........call/text 626-616-5109 
i'm offering low cost rides to anyone anywhere 
$10.00 in gas money one way! (within fresno/clovis city limits) 
ride sharing the smart way!..........call/text 626-616-5109 
long trips or s [...]",2012-11-15T08:24:06-08:00,emailnotfound
"fresno to stockton!! (99 north, 4 west to 5 south)",fresno,http://fresno.craigslist.org/rid/3409985217.html,"hello travelers!!! 
i will be traveling back and forth again a lot from fresno to stockton and stockton to fresno over the next couple of weeks and into the last week of november! if you need a lift and have gas cash let me know!! if you are transpor [...]",2012-11-14T13:34:55-08:00,emailnotfound
heading to bay area around 3:30  (madera ),fresno,http://fresno.craigslist.org/rid/3409896310.html,"call me if you would like a ride to the bay area today. i'll be leaving madera around 3:30 pm. heading to palo alto, passing through oakland. 
4159873521 ",2012-11-14T12:59:33-08:00,emailnotfound
ride from merced to la,fresno,http://fresno.craigslist.org/rid/3409426824.html,i need a ride from merced to the la area (specifically claremont) before thanksgiving. i'm trying for the 20-21. i have my license and can pitch on for gas. please text me 909-257-4295. ,2012-11-14T10:06:27-08:00,emailnotfound
ride offered - madera to sacramento on wed 11/21 (madera),fresno,http://fresno.craigslist.org/rid/3409190080.html,"i'm offering a ride from madera to sacramento. 
leaving november 21st. depending on traffic, this trip usually takes between 2 hrs 15 min and 2 hrs 45 min. i have a jeep cherokee with an adapter for ipod. i also have a roof rack that can take two bik [...]",2012-11-14T08:41:10-08:00,emailnotfound
medford sacramento fresno bakersfield las vegas (medford sacramento fresno bakersfield lv),fresno,http://fresno.craigslist.org/rid/3408177167.html,"howdy! 
two travelers headed out to the four corners on a fall national park tour! 
we're offering rides in california for sacramento, fresno(16th), and anywhere else along i-5 up bakersfield(16-18th). continuing east driving through death valley and [...]",2012-11-13T18:06:45-08:00,emailnotfound
need a ride to boise idaho (fresno),fresno,http://fresno.craigslist.org/rid/3407675125.html,hey whats up im jacob i am looking for a ride to boise idaho to go back to my girlfriend and kids for the holidays looking to b back as soon as posible. im 22 male email me for more details can give gas money,2012-11-13T14:09:11-08:00,emailnotfound
to santa cruz,fresno,http://fresno.craigslist.org/rid/3407431627.html,hopping to find a ride to santa cruz today. i have some money for gas. 8312473809 ,2012-11-13T12:34:48-08:00,emailnotfound
when you need a ride. . . do it the smart way!  ($10 fresno/clovis),fresno,http://fresno.craigslist.org/rid/3406869878.html,"ride sharing the smart way!..........call/text 626-616-5109 
i'm offering low cost rides to anyone needing it. 
$10.00 in gas money one way! (within fresno/clovis city limits) 
ride sharing the smart way!..........call/text 626-616-5109 
long trips o [...]",2012-11-13T09:11:59-08:00,emailnotfound
carpool: to/from visalia-fresno; i'll pay you (visalia/fresno),fresno,http://fresno.craigslist.org/rid/3405977872.html,"hello - 
i work in fresno on palm avenue monday through friday 8:30 am to 5 pm. looking for someone with similar schedule who drives from visalia. i will pay you to carpool with you and cover gas and time. 
i can meet you at your house in the morning [...]",2012-11-12T20:47:04-08:00,emailnotfound
