title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ride share to milwaukee (green bay,wi)",greenbay,http://greenbay.craigslist.org/rid/3417683173.html,"going to milwaukee air port , next tuesday the 20, need a ride ? call me for price ,have 3 seats open, this is a one way trip from green bay to milwaukee 
thanks very much, my # is 9202881480 respectfully 
jeg",2012-11-17T22:54:59-06:00,emailnotfound
leaving for o'hare on sat. 11-24 (east green bay),greenbay,http://greenbay.craigslist.org/rid/3414229647.html,"not sure what time i am leaving yet but definately before 8:30 a.m on saturday, nov. 24th. would like to have a passenger to help with gas. note: i am a heavy smoker. i don't want someone to get in the car and then tell me they are asmatic or do a fa [...]",2012-11-16T12:41:01-06:00,emailnotfound
anyone headed to florida (orlando ),greenbay,http://greenbay.craigslist.org/rid/3399714876.html,i have four box coolers in green bay that i need transported to orlando florida. the coolers contained frozen food so the driver will need to complete the trip within 35 hours. i will share the fuel expense with the responsible driver. i would be wil [...],2012-11-15T19:08:47-06:00,emailnotfound
ride needed - green bay to madisonville on fri 11/16 (green bay),greenbay,http://greenbay.craigslist.org/rid/3412713174.html,"i'm looking for a ride from green bay to madisonville. 
leaving november 16th returning november 25th. i'm going with the amount it would cost me f i could take my suv,price is negotiable contact me on zimride: http://www.zimride.com/ride/share?ride= [...]",2012-11-15T18:50:24-06:00,emailnotfound
wanna go to colorado? (green bay-denver area),greenbay,http://greenbay.craigslist.org/rid/3408289610.html,"leaving wisconsin in the rearview right on or after dec.1st. need gas money, food money and a valid drivers license, cuz i like to go straight thru. think about it. i'm not a perv or an axe murder, i do like an intelligent conversation at times, rock [...]",2012-11-13T21:13:43-06:00,emailnotfound
cargo-gb to buffalo/wny (batavaia ny),greenbay,http://greenbay.craigslist.org/rid/3400987255.html,need a 30lb package approx 27 x20 x16 brought wny. ,2012-11-10T17:42:41-06:00,emailnotfound
greenbay to north dakota,greenbay,http://greenbay.craigslist.org/rid/3399999880.html,hi im driving to fargo nd ... on monday the 12 of nov ..... cud use some fuel money..... if interested call 1 920 313 0706 ask for buck .....,2012-11-10T10:37:41-06:00,emailnotfound
green bay to minneapolis (eastside),greenbay,http://greenbay.craigslist.org/rid/3399993723.html,hi im driving from green bay to minn and farther northwest to north dakota on monday the 12 of nov .... cud use som fuel money if anyone is interested call buck at 1 920 313 07 o6 ...... ,2012-11-10T10:35:17-06:00,emailnotfound
going to milwaukee on saturday  (green bay ),greenbay,http://greenbay.craigslist.org/rid/3394851394.html,"i will be leaving to milwaukee on sat....unsure of time, it is kind of open at the moment but for sure before 3pm. i have an suv. i'm 25 female. i will be coming back sat night leaving milwaukee around 10 if you are interested in riding back. shoot m [...]",2012-11-08T06:57:30-06:00,emailnotfound
need ride to eau claire sunday 11/11 (green bay to eau claire),greenbay,http://greenbay.craigslist.org/rid/3394113795.html,please message me back if u can give me a lift!!!,2012-11-07T18:31:19-06:00,emailnotfound
"going to orlando fla (green bay,wi)",greenbay,http://greenbay.craigslist.org/rid/3390437836.html,"im going to orlando fla. the 22 of november and returning the 30 of november ,if interested call me at 9202881480 for cost 
thanks/ 
. respectfully 
jeg",2012-11-06T09:33:22-06:00,emailnotfound
"green bay to minneapolis, 11/9--need riders",greenbay,http://greenbay.craigslist.org/rid/3385401029.html,"hi, 
i'm looking for riders to minneapolis from green bay on friday, nov 9 around 3pm(ish--we can discuss a time if 3pm didn't work). and i would be returning on that sunday to green bay. 
email me if you're interested. 
thanks, 
mary",2012-11-04T01:04:59-05:00,emailnotfound
ride offered - green bay to madison on sat 11/10 (green bay),greenbay,http://greenbay.craigslist.org/rid/3379865362.html,"i'm offering a ride from green bay to madison. 
leaving november 10th returning november 11th. i'm actually going to brooklyn, which is a little further south if anyone needs to go down further i'm willing to drive a bit extra. contact me on zimride: [...]",2012-11-01T14:47:38-05:00,emailnotfound
do you need to get to tucson az? (green bay),greenbay,http://greenbay.craigslist.org/rid/3371388601.html,"do you need a ride to tucson az? i have a car that needs 
to get to tucson. looking for someone to drive it there. 
it is a 5 speed manual. if interested call 906-251-0515.",2012-10-28T18:39:44-05:00,emailnotfound
rideshare offered--green bay to eau claire,greenbay,http://greenbay.craigslist.org/rid/3363249526.html,"i'm planning to make a trip to eau claire from green bay on nov 9th in the afternoon, leaving ec for gb sun nov 11th. contribution to gas depends on how many people will ride in my car (currently room for 4 people). email me and we can work things ou [...]",2012-10-24T23:16:30-05:00,emailnotfound
commute green bay to appleton,greenbay,http://greenbay.craigslist.org/rid/3349628146.html,"looking for a ride mon thru fri for 2 from green bay to appleton fox valley tech or mall. 
must arrive there by 715 & flexible pick up times between 330-5. will share cost gas. pamela 471-8278",2012-10-19T08:18:29-05:00,emailnotfound
