title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"delivery van available from carlisle to detroit (harrisburg/carlisle, pa.)",harrisburg,http://harrisburg.craigslist.org/rid/3417717868.html,"(getting back for holiday)....delivery van available for pick-up/delivery on 11/19 - 11/21.....all general items such as auto parts, medical supplies, building supplies, clothing, antiques....and what ever fits inside. please call for estimate, or le [...]",2012-11-18T00:29:16-05:00,emailnotfound
"looking for ride or rider(s) from vermont to harrisburg, november 21 (hershey)",harrisburg,http://harrisburg.craigslist.org/rid/3416982841.html,"seeking a ride or someone to ride with me from burlington, vt to hershey, pa wednesday nov 21, and back on november 24. trying to avoid a long drive with only one in the car.",2012-11-17T16:44:37-05:00,emailnotfound
offering ride to nyc or hartford today (downtown),harrisburg,http://harrisburg.craigslist.org/rid/3415877227.html,leaving around 5 p.m. just asking for some gas money. call me at 972-898-8334. i have a bad signal here so if there's no answer leave me a message or send me a text.,2012-11-17T08:51:43-05:00,emailnotfound
offered: harrisburg to philadelphia 11/17 (harrisburg),harrisburg,http://harrisburg.craigslist.org/rid/3415591104.html,we're driving from harrisburg to philly on saturday 11/17 leaving around noon. we have a comfy ride for for one passenger. hit us up. call or text 6 five oh 4 5 4 five 2 five 6.,2012-11-17T02:01:27-05:00,emailnotfound
share my moving van! (nyc to tn),harrisburg,http://harrisburg.craigslist.org/rid/3393847275.html,hello! i am moving from nyc to nashville and looking to pic one or two people up on the way! if you are moving anywhere in the direction i would love to chat and see if we can split costs and make this a cheap move! i am a young white female non smok [...],2012-11-16T23:30:35-05:00,emailnotfound
need ride to washington d. c. sat/sun (hershey),harrisburg,http://harrisburg.craigslist.org/rid/3414068247.html,"hi 
i'm living in palmyra/hershey area and am looking for a ride to washington d. c. to attend this event. http://www.eventbrite.com/event/4585376986# 
it's a tour of the environmental activist and educator bil mckibben, who has created several years [...]",2012-11-16T12:42:57-05:00,emailnotfound
rideshare/carpool app (ios/android),harrisburg,http://harrisburg.craigslist.org/rid/3345448854.html,"hello ride-sharers/carpoolers, 
imagine going from harrisberg to distant places or anywhere locally. 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all your preferences loa [...]",2012-11-15T19:58:26-05:00,emailnotfound
"carlisle, pa to st. louis, mo for thanksgiving (carlisle, pa)",harrisburg,http://harrisburg.craigslist.org/rid/3412032044.html,"need a cheap way home for thanksgiving? my husband and i are driving to st. louis missouri on wednesday, november 21, 2012 we will be leaving carlisle pa around 4:30 pm and going straight to st. louis via i-76 and i-70. we will be traveling in our su [...]",2012-11-15T14:49:11-05:00,emailnotfound
will haul to denver co (pa),harrisburg,http://harrisburg.craigslist.org/rid/3377055997.html,"i'm driveing a pickup truck from mansfield pa to denver co a couple days after christmas. 
i will have room to haul or tow a trailer. 
i can go i-70 or i-80 and can go a little out of the way if necessary. 
keywords; west, ohio, indiana, illinois, io [...]",2012-11-15T09:52:45-05:00,emailnotfound
going to the train or bus station (central pa),harrisburg,http://harrisburg.craigslist.org/rid/3370447862.html,"flat rates to take you to the station or pick you up there from or to harrisburg station 
from downtown/ steelton/ leymoyne or camp hill............$12.50 
from uptown..............................................................................$15.0 [...]",2012-11-15T09:22:29-05:00,emailnotfound
