title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride (nashville tn to el paso tx),harrisonburg,http://harrisonburg.craigslist.org/rid/3416136820.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:05:51-05:00,emailnotfound
ride needed (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3412939127.html,ride needed to philly pa contact me as 5408302782,2012-11-15T21:58:43-05:00,emailnotfound
ride offered - harrisonburg to ashburn on fri 11/16 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3412728312.html,"i'm offering a ride from harrisonburg to ashburn. 
leaving november 16th. i'm a really chill person who listens to ll kind of music. anything from reggae to rock to r&b is fine with me contact me on zimride: http://www.zimride.com/ride/share?ride=535 [...]",2012-11-15T19:58:22-05:00,emailnotfound
ride offered - harrisonburg to washington on wed 12/5 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3404467602.html,"i'm offering a ride from harrisonburg to washington. 
leaving december 5th returning december 10th. lots of room for luggage and legroom. i can drop off anywhere in d.c., but if you happen to need to be closer to falls church (which is on the metro l [...]",2012-11-12T12:41:40-05:00,emailnotfound
ride needed - harrisonburg to richmond on sat 11/17 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3402528135.html,"i'm looking for a ride from harrisonburg to richmond. 
leaving november 17th. i really need to be there by 2, so i'm pretty flexible time-wise. contact me on zimride: http://www.zimride.com/ride/share?ride=517647 ",2012-11-11T14:50:39-05:00,emailnotfound
ride needed - harrisonburg to somerville on fri 11/9 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3386930960.html,"i'm looking for a ride from harrisonburg to somerville. 
leaving november 9th returning november 11th. willing to get picked up anywhere within a few hours of nj! contact me on zimride: http://www.zimride.com/ride/share?ride=516770 ",2012-11-04T19:01:31-05:00,emailnotfound
ride offered - harrisonburg to richmond on fri 11/9 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3380921739.html,"i'm offering a ride from harrisonburg to richmond. 
leaving november 9th returning november 10th. comfortable ride in spacious conversion van with lots of legroom as well as room for luggage. old vehicle (1979), has lap belts only and gets a bit loud [...]",2012-11-02T02:02:04-04:00,emailnotfound
ride needed - harrisonburg to annapolis on fri 11/16 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3380824812.html,"i'm looking for a ride from harrisonburg to annapolis. 
leaving november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=496003 ",2012-11-02T00:14:45-04:00,emailnotfound
transporter (harrisonburg and surrounding areas),harrisonburg,http://harrisonburg.craigslist.org/rid/3376417021.html,"when you cant find a ride on rideshare, than i can help. taxi driver willing to get you there lower than any other driver. no i wont be as cheap as your buddy taking you out of town for gas money but i will be cheaper than any other professiional tra [...]",2012-10-31T00:57:14-04:00,emailnotfound
"ride needed lynchburg to charleston,sc (friday nov.2nd)",harrisonburg,http://harrisonburg.craigslist.org/rid/3376124307.html,"hello i am a male college student in need of a ride from the liberty university campus to charleston sc. i can help with gas. i am trying to get home to see my wife and son for the weekend, i am 20 yrs old polite and mild mannered as well as a non sm [...]",2012-10-30T21:21:23-04:00,emailnotfound
ride needed - harrisonburg to arlington on tue 11/6 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3373738650.html,"i'm looking for a ride from harrisonburg to arlington. 
leaving in the morning on november 6th returning afternoon same day i'm going to try to come vote in arlington contact me on zimride: http://www.zimride.com/ride/share?ride=510555 ",2012-10-29T20:19:11-04:00,emailnotfound
ride offered - harrisonburg to washington on sun 10/28 (harrisonburg),harrisonburg,http://harrisonburg.craigslist.org/rid/3369204589.html,"i'm offering a ride from harrisonburg to washington. 
leaving october 28th. contact me on zimride: http://www.zimride.com/ride/share?ride=508040 ",2012-10-27T16:44:04-04:00,emailnotfound
ride needed richmond to staunton monday 10/29,harrisonburg,http://harrisonburg.craigslist.org/rid/3367378614.html,"hi! i am looking for a ride from richmond to staunton monday afternoon. i am about to go on a roadtrip this weekend and my friends are driving, but i will end up in richmond with no way back to my car in staunton. if anybody is driving over to i-81 o [...]",2012-10-26T19:18:09-04:00,emailnotfound
ride needed! harrisonburg (new york),harrisonburg,http://harrisonburg.craigslist.org/rid/3362872371.html,"a few of us need rides from harrisonburg to new york this sunday, october 26. will be good company can help out with gas plus extras",2012-10-24T20:19:20-04:00,emailnotfound
