title,postingFrom,permalink,shortDescription,postingDate,mailToLink
bus trips & online gaming at it's best,hartford,http://hartford.craigslist.org/rid/3417926842.html,"if you like to gamble i am the one place to see,bingo,poker,casino........ 
bus trips & online gaming at it's best 
plan your next group trip by bus..at great prices 
land casinos & gambling in general & bus trips.. 
http://www.casinowatchdogs.com/ca [...]",2012-11-18T06:18:43-05:00,emailnotfound
"private chaffeur for hire { 24 yrs. exp.-references } (new england, ny and nj)",hartford,http://hartford.craigslist.org/rid/3401834946.html,"private chauffeur will drive you and/or your party anywhere in the new england, new york, new jersey region at a very reasonable rate; on time and in a courteous fashion. 24 years experience; references cheerfully furnished upon request. please call. [...]",2012-11-18T05:57:07-05:00,emailnotfound
ct to roanoke rapids nc,hartford,http://hartford.craigslist.org/rid/3365052651.html,"i'll be driving south along i-95; leaving december 15th +/- 
if anyone would like to be dropped off along the 95 corridor, let me know. 
are you going home for the holidays? 
i'm willing to pick you up anywhere south of hartford. 
driving a jeep cher [...]",2012-11-17T15:19:06-05:00,emailnotfound
bus trips & online gaming at it's best,hartford,http://hartford.craigslist.org/rid/3415700619.html,"if you like to gamble i am the one place to see,bingo,poker,casino........ 
bus trips & online gaming at it's best 
plan your next group trip by bus..at great prices 
land casinos & gambling in general & bus trips.. 
http://www.casinowatchdogs.com/ca [...]",2012-11-17T05:14:27-05:00,emailnotfound
help! hit and run 84 westbound hartford  (near sisson ave entrance ramp ),hartford,http://hartford.craigslist.org/rid/3415432358.html,"involved in a 3 car accident on friday at 6pm heading west on 84 in hartford near sisson ave entrance ramp . i have a red honda and was hit by another car from behind. unfortunately, i didn't get any information and did not realize he impacted my car [...]",2012-11-16T23:22:35-05:00,emailnotfound
ride needed to ma on11/19 (massachusetts),hartford,http://hartford.craigslist.org/rid/3415245857.html,"hi, 
anyone with a moving truck going to massachusetts on monday 11/19? 
need to move some small items such as a queen bed and a chester drawer from newington ct to andover massachusetts. i am willing to help with gas an provide a small stipend. let  [...]",2012-11-16T21:10:58-05:00,emailnotfound
offering ride to pittsburgh and points in between (hartford),hartford,http://hartford.craigslist.org/rid/3414915481.html,leaving monday around noon. just asking for some gas money. call 972-898-8334. i've got a bad signal where i'm at so leave a message if i don't pick up and i'll call you back.,2012-11-16T18:16:04-05:00,emailnotfound
"moving truck going to tampa, stops along the way ok (connecticut, hartford)",hartford,http://hartford.craigslist.org/rid/3414565021.html,"hello, i have about 400 cubic feet worth of stuff to move. also have a jeep wrangler type vehicle to tow. 
if you are moving to florida or anywhere south of new england please contact me and maybe we can combine the moves. i am an experienced mover-- [...]",2012-11-16T15:47:41-05:00,emailnotfound
looking for a ride from the northeast to north carolina in january  (hartford to winston-salem),hartford,http://hartford.craigslist.org/rid/3413998740.html,"hello, 
i am a 25 year old organic farmer who currently resides in denver, colorado. i will be at my parents house in connecticut for a couple of weeks in early january. i'm looking for a ride from the hartford-nyc area on or around january 22nd to a [...]",2012-11-16T12:17:57-05:00,emailnotfound
share drive from ct to san francisco 1/1/13 (hartford ),hartford,http://hartford.craigslist.org/rid/3413836533.html,"looking to share the drive with anyone moving or visiting san francisco area in january. i have made the trip 3 times before. one way only. i have an older but reliable minivan and while i'm moving there, will provide room for another person to trave [...]",2012-11-16T11:17:38-05:00,emailnotfound
