title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride to kalispell (helena-kalispell),helena,http://helena.craigslist.org/rid/3415338802.html,hi there my name is andrew im 20 and im jus trying to find a ride to kalispell by tomorrow aka 11/17 so i can go see my kid for the holidays if you cant go all the way to kalispell you could drop me in missoula and i can hike the rest of the way i do [...],2012-11-16T20:12:27-07:00,emailnotfound
need a ride?  helena to great falls (thanksgiving time),helena,http://helena.craigslist.org/rid/3410730894.html,"hi there, we are heading to gf for the holiday and have room for a rider or two! $10 gas fare.",2012-11-14T21:01:08-07:00,emailnotfound
helena to boise - need ride - $ (helena to boise),helena,http://helena.craigslist.org/rid/3409138430.html,able to leave tuesday afternoon or early wednesday. can share expenses and driving. ,2012-11-14T09:21:49-07:00,emailnotfound
driving to billings for thanksgiving (boulder - helena - butte),helena,http://helena.craigslist.org/rid/3408292283.html,i will be driving to billings on wednesday 11/21 after work and returning sunday 11/25. will take rider for share of gas. no smoking and no pets. i'm a 60-tish guy interested in conversation not drama. if you voted for mitt don't even bother.,2012-11-13T20:15:25-07:00,emailnotfound
helena to miszo almost everyday,helena,http://helena.craigslist.org/rid/3408223024.html,hi. i go to miszo almost everyday. meet a safeway or? convient. please do not call or text after 9pm. thank you. 241-seven seven 2 seven,2012-11-13T19:33:14-07:00,emailnotfound
" offer helena to montreal, canada (helena montreal)",helena,http://helena.craigslist.org/rid/3404629060.html,"hi, my name is jonathan, i'm canadian, 32 years old. i will leave helena around the 18, 19 of november to go to montreal, quebec, canada. i will pass by the road 2 or keep using the highway depending of your destination. i plan to do the whole trip i [...]",2012-11-12T11:35:58-07:00,emailnotfound
helena to whitefish (united states),helena,http://helena.craigslist.org/rid/3392904279.html,"are you looking to get up to the flathead? i'm driving there from helena either on sunday night or monday morning, yet tbd. if you want to carpool and chip in on gas, let me know. 
thanks!",2012-11-07T09:31:52-07:00,emailnotfound
need ride from san francisco to mt.,helena,http://helena.craigslist.org/rid/3391637732.html,"my daughter is stranded in san francisco and needs to come home. she is homeless, has very little money but could share the driving. she has a dog who is very well behaved. if anyone know ofd someone coming this direction, please let me know. 
thanks [...]",2012-11-06T16:24:28-07:00,emailnotfound
helena to salt lake city needed (helena),helena,http://helena.craigslist.org/rid/3387013199.html,"hello my name is margaret and i am looking for a ride to salt lake city, ut on or before november 9th. i have a small silky terrier named jerry who is very friendly and small who needs to come along too. i can split the gas with you to slc. if you ar [...]",2012-11-04T17:47:43-07:00,emailnotfound
rideshare for anaconda-helena (anaconda),helena,http://helena.craigslist.org/rid/3377663635.html,call me at 396-6729 if interested.,2012-10-31T13:33:55-06:00,emailnotfound
"helena to wisconsin (helena to madison, wi)",helena,http://helena.craigslist.org/rid/3375113716.html,"i will be leaving helena, sunday, for madison. i have a small single-cab truck with room in back for plenty of stuff. i would like to share the ride with someone who could split gas. 
i am a 28 year old, married, man who can get along with anyone. i  [...]",2012-10-30T11:55:58-06:00,emailnotfound
going to southport  n.c.,helena,http://helena.craigslist.org/rid/3371193672.html,"going to drive to southport nc. will leave maybe monday or tuesday. 
i will be stopping a few nights tho. i do not want to drive all day and sleep in the pick up. so if your looking for a ride i maybe able to get you there. ",2012-10-28T15:52:41-06:00,emailnotfound
need a ride to denver (bozeman),helena,http://helena.craigslist.org/rid/3366956221.html,"looking for ride to denver around nov. 20......flexible on dates but need to be get there between a monday and wednesday.have gas $,can help drive.contact steve",2012-10-26T14:04:58-06:00,emailnotfound
"seeking ride to jackson, wy  (helena)",helena,http://helena.craigslist.org/rid/3359139351.html,"i am trying to get from helena to jackson, wy at the end of this week, preferably friday 10/26. i could try to meet you somewhere more convenient if you're not starting from helena. i am a friendly and easy passenger and am always happy to pitch in f [...]",2012-10-23T09:52:16-06:00,emailnotfound
helena to salt lake (helena mt),helena,http://helena.craigslist.org/rid/3343059084.html,"hello drivers! 
i am looking for a ride from helena mt to salt lake city ut in the next couple days. i have to be there before the 22nd of oct so anytime before that. i will split gas with you and am a quiet addition to your ride. so if you are heade [...]",2012-10-16T11:11:00-06:00,emailnotfound
ride offered 2 seattle on tuesday,helena,http://helena.craigslist.org/rid/3316109066.html,"ride offered to seattle tomorrow, tuesday oct 9th. dog and kid friendly. no drugs or alcohol. cigs outside car only. 
i drive. you chip in for gas. i drive a honda that gets good gas mileage. 
4064429667 or email. no texts. ",2012-10-11T14:43:18-06:00,emailnotfound
need ride to california (sacramento),helena,http://helena.craigslist.org/rid/3332268844.html,"desperately looking for a ride to northern california, sacramento inparticular but anywhere in that vicinity will do. trying to be there by 15th oct, or there abouts. can share the cost of gas. previous plans have gone pear shaped, so would really li [...]",2012-10-11T14:19:46-06:00,emailnotfound
ride needed from great falls to seattle,helena,http://helena.craigslist.org/rid/3332251532.html,"i am looking for a ride for myself, my 2 year old and my dog. who is very well behaved, potty trained, and a great traveler. 
looking to leave in the next week please. maybe the 16th or 17th? need to get back to work. willing to help with gas of cour [...]",2012-10-11T14:12:45-06:00,emailnotfound
ride from helena to missoula (helena),helena,http://helena.craigslist.org/rid/3316352367.html,"hi, desperately needing ride to missoula and back on mondays for college. need to be there at 7 am, even just a ride back on monday evenings would help, i finish classes at 9 pm--willing to pay gas of course!!",2012-10-09T15:42:12-06:00,emailnotfound
