title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride to chico or redding area 11/21 or /22 (arcata),humboldt,http://humboldt.craigslist.org/rid/3417828224.html,"i'll be doing this thanksgiving travel in the last minute. i hope. i won't get off work until wednesday night at 9:30 pm, willing to leave then or thursday morning. i can gladly provide cash for gas, time behind the wheel, an earful of merry tales or [...]",2012-11-17T23:54:04-08:00,emailnotfound
ride from humboldt to pdx 11/24 (arcata),humboldt,http://humboldt.craigslist.org/rid/3417801678.html,"i'm looking for a ride from humboldt to pdx on saturday 11/24. i'd be willing to split gas and driving time. 
you can call or text at 818.825.0nine0nine. 
dustin",2012-11-17T23:12:51-08:00,emailnotfound
arcata &gt; san francisco (arcata &gt; sf),humboldt,http://humboldt.craigslist.org/rid/3417795281.html,"hello, 
leaving arcata 10 am to arrive in eureka & help with mushroom fair 
leaving eureka anywhere from 12 pm to 3 pm 
looking to arrive @ sf by 8 pm at the latest 
can pick you up from arcata if you like mushrooms and interested in hanging around t [...]",2012-11-17T23:03:41-08:00,emailnotfound
san louis obispo leaving tomorrow nov. 18th,humboldt,http://humboldt.craigslist.org/rid/3417793728.html,"spontaneously decided to go visit my friend in san louis obispo. if you have a destination that is on the way, and not out of the way let me know. will be leaving tomorrow at 8am. college students preferred, must be respectful, clean, and be able to  [...]",2012-11-17T23:01:28-08:00,emailnotfound
ride needed arcata&gt;bend or eugene (arcata),humboldt,http://humboldt.craigslist.org/rid/3417777132.html,"hey! i am looking for a ride to oregon as soon as possible. i am trying to make it from arcata to bend, but eugene works too! i am down split gas money/help drive if needed. phone works best, 603.496.9488 ash",2012-11-17T22:38:44-08:00,emailnotfound
clean couple looking for a ride to fresno (arcara to fresno),humboldt,http://humboldt.craigslist.org/rid/3417724728.html,"we are clean and don't have tons of luggage, we can help with gas & or driving we are both liscenced drivers 
we are hoping to leave tomorrow, sunday 11/18 
please contact us if you ate going our way ",2012-11-17T21:36:43-08:00,emailnotfound
need ride to portland/eugene/roseberg any time soon!,humboldt,http://humboldt.craigslist.org/rid/3417720499.html,"i need a ride to eugene or roseberg or portland really soon. i have money for gas and want to leave any day soon, and would be interested if you have two seats, but one is fine too! i have one backpack and small bag and am chill company :) please tex [...]",2012-11-17T21:32:07-08:00,emailnotfound
need ride to la before monday (los angeles ),humboldt,http://humboldt.craigslist.org/rid/3417644395.html,"hey just a student at humboldt state trying to get a ride to socal before tuesday, willing to pitch in gas money, laughs, fun, not a creepo or sketch at all just loooking to have a fun roadtrip down south :) ",2012-11-17T20:19:27-08:00,emailnotfound
ride offer eka to santa rosa (eka),humboldt,http://humboldt.craigslist.org/rid/3417640772.html,need riders to santa rosa. arcata/eka to santa rosa,2012-11-17T20:16:22-08:00,emailnotfound
need ride to san fran (sfo) 11/20 or 11/21 (arcata to san fran),humboldt,http://humboldt.craigslist.org/rid/3417597755.html,"hello. i am looking for a ride to san francisco, specifically the airport if possible on either the evening of november 20 (tuesday) or the early morning of nov 21 (wednesday). would love to pay whatever amount for gas etc. that you need. please call [...]",2012-11-17T19:40:38-08:00,emailnotfound
