title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered - whitewater to madison on wed 11/21 (whitewater),janesville,http://janesville.craigslist.org/rid/3415930059.html,"i'm offering a ride from whitewater to madison. 
leaving november 21st. i am able to start anytime in the morning, stop anywhere along the way, but i just have to be at my house by 11:30 am. contact me on zimride: http://www.zimride.com/ride/share?ri [...]",2012-11-17T09:25:20-05:00,emailnotfound
ride needed  (janesville to whitewater/generac ),janesville,http://janesville.craigslist.org/rid/3414784066.html,ride needed from janesville to whitewater / generac 1st shift; or from the south side of janesville to the bus transit station in downtown janesville at 4:40am,2012-11-16T17:17:03-05:00,emailnotfound
rent my 2004 ford f-150 for $47.00/day (sharon wi),janesville,http://janesville.craigslist.org/rid/3412073230.html,"rent my 2004 ford f-150 in harvard 4x4 w/ tow package, flat 4 and round 7 adapters. seats 6 horse trailer available for additional charge. $9.50/hour $47.00/day $300.00/week (insurance included) available almost always, unless other vehicle is rented [...]",2012-11-15T15:05:20-05:00,emailnotfound
rent my 1993 honda civic del sol for $35.00/day (sharon wi),janesville,http://janesville.craigslist.org/rid/3411740371.html,"rent my 1993 honda civic del sol in harvard great gas mileage, targa top, large trunk for car size. seats 2. custom leather interior. $6.50/hour $35.00/day $200.00/week (insurance included) available pretty much always! not great for driving in incle [...]",2012-11-15T13:00:22-05:00,emailnotfound
from lake geneva to stevens point,janesville,http://janesville.craigslist.org/rid/3402774160.html,looking for a ride on friday 11/16 from lake geneva to stevens point. i can have someone meet me at the 39/94 split in portage if your heading west. greatly appreciated and i have money for gas!,2012-11-11T16:47:03-05:00,emailnotfound
ride offered jefferson wi. to dallas tx nov. 5 th return 13 th (wisconsin to dallas tx.),janesville,http://janesville.craigslist.org/rid/3385162996.html,"ride offered jefferson wi. to dallas november 5 th. and return the 13 th email me at lakedr7 at yahoo.com . 
garry i will provide phone number and photo as needed. i am a non-smoker ",2012-11-03T22:21:14-04:00,emailnotfound
need reliable transportation to and from millton frm blt (beloit),janesville,http://janesville.craigslist.org/rid/3380806221.html,will pay weekly,2012-11-01T23:58:50-04:00,emailnotfound
ride to and from work. (janesville to madison),janesville,http://janesville.craigslist.org/rid/3377836788.html,i just got a job in monona and my hours are 10am -6:30pm monday-friday. i can drive at least mondays and one other day. my husband works and we are a one car household. he has off monday and one other day during the week. i would be able to help with [...],2012-10-31T16:46:49-04:00,emailnotfound
looking for ride to work,janesville,http://janesville.craigslist.org/rid/3368129517.html,"hello..iam in need of a ride to and from work starting oct.29th. from main street to somewhere in the area of hobby lobby.i work on plainfield.,behind the old walmart store.i start work at 7 till 4. monday though friday..if you don't mind a passenger [...]",2012-10-27T08:19:03-04:00,emailnotfound
packers vs cardinals,janesville,http://janesville.craigslist.org/rid/3363839592.html,"transportation to and from lambeau field via van galder motorcoach on nov. 4, 2012. leaves beloit at 7:30 am. 
50.00 per person. call jeff @ 608-751-3661 for details.",2012-10-25T10:53:02-04:00,emailnotfound
ride offered - whitewater to madison on fri 10/26 (whitewater),janesville,http://janesville.craigslist.org/rid/3362164317.html,"i'm offering a ride from whitewater to madison. 
leaving october 26th returning october 28th. i work in madison over the weekends and will be making the commute from whitewater every weekend. contact me on zimride: http://www.zimride.com/ride/share?r [...]",2012-10-24T15:12:01-04:00,emailnotfound
ride needed - whitewater to oshkosh on fri 10/26 (whitewater),janesville,http://janesville.craigslist.org/rid/3349049638.html,"i'm looking for a ride from whitewater to oshkosh. 
leaving october 26th returning october 28th. contact me on zimride: http://www.zimride.com/ride/share?ride=500169 ",2012-10-18T21:42:06-04:00,emailnotfound
offering ride 10/20 *whitewater to milwaukee* (whitewater),janesville,http://janesville.craigslist.org/rid/3329063013.html,"i am offering a ride to anyone in whitewater who needs a ride to the general milwaukee area on october 20th. i will be leaving late in the afternoon, probably around 2 or 3, and i will be returning to whitwater in the evening on sunday. $5 gets you t [...]",2012-10-10T11:14:12-04:00,emailnotfound
biolife plasma center (carpool) (whitewater),janesville,http://janesville.craigslist.org/rid/3329025845.html,"i am wondering if anybody makes weekly trips to the biolife plasma center in janesville. i, like my other students at uw-whitewater love to have a little extra $$$ for gas, food, books....who the hell am i kidding, most students would spend it on bee [...]",2012-10-10T10:56:54-04:00,emailnotfound
