title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered 11/19 (kalispell to cheyenne),kalispell,http://kalispell.craigslist.org/rid/3416771793.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:13:55-07:00,emailnotfound
looking for ride from kalispell to missoula (kalispell),kalispell,http://kalispell.craigslist.org/rid/3416749874.html,"hi, 
myself and a friend are looking to catch a ride to missoula today (11/17). 
thank you, 
much love 
tyler 
406-270-1582",2012-11-17T13:04:51-07:00,emailnotfound
"ride offer: kalispell to jackson, wy",kalispell,http://kalispell.craigslist.org/rid/3414809543.html,"hello ! i have room for one if you need a ride! please contact for more info. probably leave next week, nov 21, 22nd or so. 
thank you !",2012-11-16T15:28:17-07:00,emailnotfound
need ride from missoula to kalispell asap (missoula)(kalispell),kalispell,http://kalispell.craigslist.org/rid/3413144862.html,i can meet you anywhere in the zoo area ( missoula) tomorrow for a ride...i have to be in kalispell before 5pm tomorrow,2012-11-15T22:28:46-07:00,emailnotfound
headed south (out of state) with a truck in mid nov? (missoula),kalispell,http://kalispell.craigslist.org/rid/3366876084.html,"i am trying to get my motorcycle to phoenix or at least somewhere south where i can ride the rest of the way 
i will pay a fair amount to have me and my bike hauled somewhere far enough south where i can ride safely. 
i'm looking to leave mid novembe [...]",2012-11-07T14:48:55-07:00,emailnotfound
whitefish to helena (whitefish),kalispell,http://kalispell.craigslist.org/rid/3391979822.html,"driving to helena this saturday morning and back either sunday night or monday morning, yet tbd. want to carpool and split gas? ",2012-11-06T19:36:33-07:00,emailnotfound
moving to az from montana? (eureka),kalispell,http://kalispell.craigslist.org/rid/3386092274.html,"if you are moving from eureka to arizona and have room for about a dozen cartons to bring with you, please give me a call. 928-451-6362 will help with fuel costs.",2012-11-04T10:21:46-07:00,emailnotfound
need to get to seattle! (whitefish),kalispell,http://kalispell.craigslist.org/rid/3383505546.html,i am looking to share a ride with someone going out to seattle. i have plans there on the tenth of this month so leaving in the evening thursday or anytime friday would be great! obviously i would be happy to split the gas.,2012-11-03T07:11:11-06:00,emailnotfound
need tow bar hauled from kalispell to williston (kalispell),kalispell,http://kalispell.craigslist.org/rid/3377866189.html,i need a tow bar hauled from kalispell to williston this week. have a broken down truck i need to haul back home. willing to pay. thanks please call 602-828-8195,2012-10-31T14:59:57-06:00,emailnotfound
carpool needed (kalispell to whitefish or bigfork),kalispell,http://kalispell.craigslist.org/rid/3367328905.html,"will pay $7/ride 
$7/ride 7am kalispell to whitefish lake mon-fri 
$7/ride 4 pm whitefish lake to kalispell mon-fri 
$7/ride 7 am kalispell to evergreen mon-fri 
$5/ride 4 pm evergreen to kalispell mon-fri 
$7/ride 7am kalispell to bigfork 
$7/ride 4 [...]",2012-10-26T16:52:23-06:00,emailnotfound
"looking for a ride from kalispell to vancouver,wa this weekend10/27 (kalispell,mt)",kalispell,http://kalispell.craigslist.org/rid/3365591987.html,"looking for a ride from kalispell to vancouver,wa this weekend preferably 10/27 sat or 10/28 sun. email me if interested",2012-10-25T22:31:00-06:00,emailnotfound
"kila tokalispell,mt to watford city,nd (kila to kalispell,mt to watford city,nd)",kalispell,http://kalispell.craigslist.org/rid/3359081117.html,"desparately seeking someone who could haul a 34 foot 5th wheel from kila to helena flats road within the next 2 days. in addition, seeking the same haul from kalispell to watford city, north dakota (40 miles south of williston) in the next week or so [...]",2012-10-23T09:31:30-06:00,emailnotfound
10/25 eureka---&gt; spokane---&gt;portland,kalispell,http://kalispell.craigslist.org/rid/3345970694.html,"hi, 
i'm heading to portland with my standard nissan pickup. let's share gas & perhaps driving. 
contact river 
503-890-2807",2012-10-17T14:18:22-06:00,emailnotfound
need ride south at end of the month (missoula to boulder),kalispell,http://kalispell.craigslist.org/rid/3339410283.html,"hey there 
i need to be in boulder, colorado by november 1st and can offer help with driving and gas if you are making a trip to or through colorado. i would love to bring my bicycle along, which i can brake dow or buy a bike rack if needed. 
easy go [...]",2012-10-14T19:55:09-06:00,emailnotfound
going to hot springs? (whitefish),kalispell,http://kalispell.craigslist.org/rid/3335530794.html,"i need a ride to hot springs from the amtrak station in whitefish. i am coming in at 7:30-ish am on monday morning (the 14th). 
pls call or text billy at #310-435-oh-ate-won-ate. i won't be in cell service until saturday evening, however, to receive  [...]",2012-10-12T23:24:24-06:00,emailnotfound
ride needed : kalispell to denver (with bikes)  (kalispell /whitefish /columbia falls ),kalispell,http://kalispell.craigslist.org/rid/3323257333.html,my buddy zach and i are looking to split gas on a ride down to denver leaving anytime next week (should be in kalispell by tuesday). we've got two bikes and a few bags but should be able to fit em in a mid to upper size car or truck without too much  [...],2012-10-07T16:24:21-06:00,emailnotfound
"whitefish to idaho falls to moab, ut (eureka)",kalispell,http://kalispell.craigslist.org/rid/3322575788.html,"leaving from nw montana wed oct 10. staying the night in salmon, id on the 10th. planning on driving from salmon, id to moab, ut on the 11th. will be going through id falls and salt lake city on the way. will pick you up at any point along the way. c [...]",2012-10-07T10:59:08-06:00,emailnotfound
