title,postingFrom,permalink,shortDescription,postingDate,mailToLink
gatesville tdcj visitation shuttle (temple/belton/killeen),killeen,http://killeen.craigslist.org/rid/3376207865.html,"hot shots shuttle will be starting a weekend shuttle to the tdcj units in gatesville from temple, belton, and killeen. the shuttle will begin running november 3rd if we have enough confirmed reservations, otherwise it will be the 10th. the minimum we [...]",2012-11-17T10:03:40-06:00,emailnotfound
need to get to work this weekend (killeen ),killeen,http://killeen.craigslist.org/rid/3415466606.html,"i have no vehicle, don't really know many people so looking here. i work both saturday and sunday approximately 8.5 hours each day from 10 am -6:30 pm sat and 11 am-7:30 pm sun. from my home to my job is 12 miles. i don't have alot of money so please [...]",2012-11-16T22:51:19-06:00,emailnotfound
from texas to florida,killeen,http://killeen.craigslist.org/rid/3415451348.html,"looking for another female who is needing or wanting to get out of town. i am headed to floirda ultimately to get married, but will take you wherever you need to go along the way. i will pass through louisianna, mississippi, and alabama. i am headed  [...]",2012-11-16T22:38:12-06:00,emailnotfound
need to move to alaska? i can help!,killeen,http://killeen.craigslist.org/rid/3377289764.html,"i'm moving to ft. richardson. the army will give me money...but i don't need a u-haul. so, if you do....you just have to pay for the u-haul upfront and put it in my name so i can turn in the receipts. in return, i need you to convoy with me to ft. ri [...]",2012-11-16T16:08:28-06:00,emailnotfound
gatesville monday (copperas cove),killeen,http://killeen.craigslist.org/rid/3414198095.html,i'm hoping to find someone who would take me to usaa in killeen and then to gatesville to the courthous so i can pay something that is very important. i don't have a lot but will give what i can. my husband has basically left me and my one year old s [...],2012-11-16T12:29:30-06:00,emailnotfound
who wants to leave town? (killeen-alaska ),killeen,http://killeen.craigslist.org/rid/3413663397.html,"leaving in early december for fairbanks alaska, who wants to go? ride along good times good conversation maybe drive a little bit, asking for 100 to help cover has can take up to 3 with me, prefer other females",2012-11-16T09:05:03-06:00,emailnotfound
"need ride to austin, 2 lonely 20 year old boys (united states)",killeen,http://killeen.craigslist.org/rid/3402394975.html,"we are trying to get to austin and we are walking right now from killeen, tx. if you can help us out we would be very appreciative. will sd. 
my name is antonio and my number is 254-768-4229 and my friend phil's is 254-813-5167. you can also respond  [...]",2012-11-11T12:51:14-06:00,emailnotfound
temple - college station - 11/11 (temple),killeen,http://killeen.craigslist.org/rid/3402114738.html,"leaving temple tonight around 5:30 heading to college station. ride offered. safe, sane & excellent driving record!",2012-11-11T10:44:03-06:00,emailnotfound
anyone going to austin or houston nov 21-22? (killeen),killeen,http://killeen.craigslist.org/rid/3396122409.html,"anyone going to austin or houston for thanksgiving? i am a soldier that needs a ride to either austin before 5 on the 21 st to catch the bus or a ride to houston. 
i can help with gas.please email me thanks ",2012-11-08T15:48:04-06:00,emailnotfound
need a ride? i have low rates right here! (anywhere),killeen,http://killeen.craigslist.org/rid/3391762844.html,"hi. i'm giving rides for anyone who needs them. 
in town ride: $5 for gas $5 for the ride 
out of town: 
~copperas cove:$5 for gas $7 for ride 
~belton and less: $5 for gas $7 for ride 
~temple: $10 for gas$10 for ride 
~waco: $10 for gas $15 for rid [...]",2012-11-06T18:27:44-06:00,emailnotfound
"need a ride from fort hood to los angeles , california (harker heights / killeen)",killeen,http://killeen.craigslist.org/rid/3381054115.html,"hello , i am looking for someone who might be traveling to california sometime soon . preferably between san bernardino and los angeles ....iam open to a round trip or one way ride .. i can put in on gas and get behind the wheel ... i will be traveli [...]",2012-11-05T16:43:57-06:00,emailnotfound
