title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"i need a ride to redding, ca (klamath falls, or)",klamath,http://klamath.craigslist.org/rid/3410864070.html,"willing to pay (obviously). i am an oit student who needs a ride on friday. preferably past 2, but we can work things out if you need to leave earlier.",2012-11-14T20:58:45-09:00,emailnotfound
ride to madras (klamath falls),klamath,http://klamath.craigslist.org/rid/3405620741.html,looking for ride to madras oregon on nov 24th or 25th. just one male passenger & a duffle bag. any type of ride is greatly appreciated.,2012-11-12T16:06:18-09:00,emailnotfound
k-falls to sf bay area (klamath co.),klamath,http://klamath.craigslist.org/rid/3398755932.html,"leaving sunday, 11/10, approx noon via us-97, i-5, i-505 through weed, redding, vacaville. 
final destination is san rafael. i have room for luggage or small to medium sized boxes. 
i can drop off anywhere along the way. no smoking. no pets unless in [...]",2012-11-09T14:40:54-09:00,emailnotfound
sacramento bound!!!! (klamath falls),klamath,http://klamath.craigslist.org/rid/3394429470.html,im headed to sac town on friday got some empty seats gas money needed...,2012-11-07T18:37:36-09:00,emailnotfound
heading south! to l.a. (klamath falls),klamath,http://klamath.craigslist.org/rid/3373572605.html,"leaving tmrw or weds... 
flexible on cities and stops along the way! 
call me asap! 702-379-7265 
have a little room for extra cargo... 
can tow small trailer...",2012-10-29T14:54:04-08:00,emailnotfound
klamath falls to l.a. 10/29 or 30th (klamath falls),klamath,http://klamath.craigslist.org/rid/3365299207.html,"ride straight thru to l.a. area 
plz email me to discuss your needs... 
nice 4 door pickup... transporting motorcycle... 
little flexible w/ timing and route... 
can leave late mon. or tues... 
able to tow small trailer! $$$ ;~) ",2012-10-25T16:57:57-08:00,emailnotfound
oit to humboldt county  (humboldt),klamath,http://klamath.craigslist.org/rid/3360236700.html,"i am 20 year old female and looking for a young college student to ride a long with me down to humboldt when the road allows us to drive safely, i have a car, so let me know if you are interested, i will ask to see your college id 
thanks ~amanda",2012-10-23T14:45:23-08:00,emailnotfound
need ride to eugene friday 10/26 (klamath falls),klamath,http://klamath.craigslist.org/rid/3355532780.html,"i'm looking for a ride from klamath falls (near oit campus) to eugene on friday, 10/26, preferably in the early afternoon. please email me if you are heading that way and have an extra seat. i'm good company and will chip in on gas 
thanks, 
andy",2012-10-21T16:43:11-08:00,emailnotfound
heading north?,klamath,http://klamath.craigslist.org/rid/3346877754.html,"anyone heading up north passing by the roseburg area on friday or saturday? if so, i'm down to chip in on gas.",2012-10-17T20:16:52-08:00,emailnotfound
at piolet need a ride to medford (k falls to medford),klamath,http://klamath.craigslist.org/rid/3342200843.html,"i need a ride to medford. got stuck. i am at piolet my number is 5417788546 
thank you. ",2012-10-15T23:34:16-08:00,emailnotfound
"need ride to arcata, ca (from k falls)",klamath,http://klamath.craigslist.org/rid/3327061963.html,hi i'm looking for a ride to arcata or nearby on either thursday the 11th or friday the 12th. i have gas money and am an easy going person and a good co pilot. reply or call 7188095417. thanks. ,2012-10-09T08:33:44-08:00,emailnotfound
need ride (to sacramento),klamath,http://klamath.craigslist.org/rid/3314693734.html,"hello, my man is trying to find a ride from weed ca to sacramento to catch his plane home tomorrow night. he can offer some gas money and has a clean drivers license. hes got just a backpack and our very well behaved, beautiful, medium sized husky do [...]",2012-10-03T15:55:16-08:00,emailnotfound
