title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered - la crosse to middleton on sun 11/18 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3412481826.html,"i'm offering a ride from la crosse to middleton. 
leaving november 18th returning november 25th. so far no one going down to middleton/madison with me. i am bringing one passenger back for sure. contact me on zimride: http://www.zimride.com/ride/shar [...]",2012-11-15T16:58:33-06:00,emailnotfound
"lacrosse to chicago - december 3rd (marshall, mn)",lacrosse,http://lacrosse.craigslist.org/rid/3409933773.html,"i will be leaving marshall, mn early morning on december 3rd heading to chicago area. will be driving across mn on 14 through mankato, rochester, and then on 90 through lacrosse to madison and then south through beloit to chicago. 
i can pick up or d [...]",2012-11-14T15:14:19-06:00,emailnotfound
ride offered - la crosse to rice lake on wed 11/21 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3405326817.html,"i'm offering a ride from la crosse to rice lake. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=528106 
i drive a 2008 hyundai sonata. ",2012-11-12T16:50:24-06:00,emailnotfound
ride offered - la crosse to eau claire on wed 11/21 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3405319522.html,"i'm offering a ride from la crosse to eau claire. 
leaving november 21st returning november 25th. my final destination is rice lake, wi. contact me on zimride: http://www.zimride.com/ride/share?ride=528092 
i drive a 2008 hyundai sonata. ",2012-11-12T16:47:25-06:00,emailnotfound
need ride from lacrosse to menomonie/ eau claire   (uw-la crosse ),lacrosse,http://lacrosse.craigslist.org/rid/3404290010.html,thursday 11/15 need a ride to visit some friends and family in menominee but if you are going to eau claire or any surrounding areas let me know please it is much appreciated and a ride there would do just as well. more than happy to pay my part of g [...],2012-11-12T10:41:14-06:00,emailnotfound
ride offered - la crosse to faribault on fri 11/9 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3394014388.html,"i'm offering a ride from la crosse to faribault. 
leaving november 9th returning november 11th. gas prices flexible. if we fill the car we can just all split it. contact me on zimride: http://www.zimride.com/ride/share?ride=520685 i drive a . 
2002 f [...]",2012-11-07T17:42:53-06:00,emailnotfound
ride needed - la crosse to platteville on fri 11/9 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3392059139.html,"i'm looking for a ride from la crosse to platteville. 
leaving november 9th returning november 11th. hey! i'll mostly always be looking for rides from uw-la crosse down to uw-platteville and back. or in those general regions. feel free to contact me  [...]",2012-11-06T21:30:52-06:00,emailnotfound
la crescent to winona m - f,lacrosse,http://lacrosse.craigslist.org/rid/3389201334.html,i live in la crescent and work in winona m-f 8-4:30 pm. wondering if anyone would be interested in making money on a rideshare. i work at the winona county courthouse so hopefully that helps you know i do not have a criminal record. i do have a car b [...],2012-11-05T16:55:10-06:00,emailnotfound
ride offered - la crosse to chicago on fri 11/9 (la crosse),lacrosse,http://lacrosse.craigslist.org/rid/3373827418.html,"i'm offering a ride from la crosse to chicago. 
leaving november 9th returning november 12th. i would consider coming back sunday evening if i could get more riders that way, i could also drop off close off the highway if riders wanted to go only so  [...]",2012-10-29T20:10:12-05:00,emailnotfound
ride needed - winona to minneapolis on fri 11/23 (winona),lacrosse,http://lacrosse.craigslist.org/rid/3371063369.html,"i'm looking for a ride from winona to minneapolis. 
leaving november 23rd around 4pm, and returning november 24th at anytime. we need two open seats 
please send me an email as well as alerting zimride contact me on zimride: http://www.zimride.com/ri [...]",2012-10-28T15:45:36-05:00,emailnotfound
