title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ride offered lakeland to boston (kittery,maine)",lakeland,http://lakeland.craigslist.org/rid/3417613704.html,"leaving lakeland for portsmouth nh on or about the 26th of nov. have a one ton pickup truck with some room in the bed for your items. i'm pretty easy but due to the length of the ride, do have a couple of rules. if bringing a pet ,it rides in your ca [...]",2012-11-17T22:53:30-05:00,emailnotfound
need rides to and from work (lakeland-orlando),lakeland,http://lakeland.craigslist.org/rid/3414642370.html,need a ride to work and back. i live in lakeland and work in orlando text me a price if interested 4013013765,2012-11-16T16:18:40-05:00,emailnotfound
going to minnesota!  ride with me.      (lakeland fl),lakeland,http://lakeland.craigslist.org/rid/3414067273.html,i am leaving to drive to minnesota asap and would like someone to ride along. i am not coming back so there will be no return ride. i can drop you off anywhere or we can part ways in minnesota. please contact me asap. dustin. 8634091843,2012-11-16T12:42:36-05:00,emailnotfound
use your car: need drivers for patient to doctor visits (lakeland and surrounding areas),lakeland,http://lakeland.craigslist.org/rid/3361429944.html,"boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be customer [...]",2012-11-16T10:30:18-05:00,emailnotfound
need a ride to court november 19th (lakeland/kissimme),lakeland,http://lakeland.craigslist.org/rid/3411706703.html,"i need a ride from north lakeland to 2 couthouse square, kissimmee, fl. 34741 on november 19th for a vop status hearing. i have to be there at 8 am and hope to be out by 10-10:30am. if you can help, please let me know. please put ""ride to court"" in t [...]",2012-11-15T12:48:01-05:00,emailnotfound
"driver available 24 hours a day,7 days a week-low cost  (lakeland/polk/all areas)",lakeland,http://lakeland.craigslist.org/rid/3403582596.html,"i am available for rides to any place you need or want to go. i am experienced, pleasant, dependable with 24-hour availability in the lakeland/orlando and outlying areas. short trips or long, one way or round trip-- i will provide you with comfortabl [...]",2012-11-14T18:26:33-05:00,emailnotfound
from fl to tx,lakeland,http://lakeland.craigslist.org/rid/3386153149.html,do you need a ride to tx from florida im going to dallas fort worth my name is debbie 941-204-6888,2012-11-14T08:55:20-05:00,emailnotfound
need someone with pickup or van (eastern polk county),lakeland,http://lakeland.craigslist.org/rid/3405260872.html,"need someone with either a pickup truck ( fuller size bed ) or a ( cargo ) van, same size idea, to take a run from davenport over to wesley chapel ( by zephyrhills ) and retrieve some musical gear for me ; ( i know a shortcut out deen still road to s [...]",2012-11-12T17:23:42-05:00,emailnotfound
"ref: driver available 24 hours a day,7 days a week-low cost  ((lakeland/polk/all areas))",lakeland,http://lakeland.craigslist.org/rid/3404071625.html,to all the people looking for a ride: there are two ads with the same post title. they are ads of two different drivers. one is the ad of the original driver (greendriver4u) and the other ad is of a driver who is not intelligent enough to make his ow [...],2012-11-12T10:19:02-05:00,emailnotfound
driver and a clean toyota prius with amenities available for rides  (all areas),lakeland,http://lakeland.craigslist.org/rid/3403987985.html,to all my clients: all my ads has my picture and one of the cars i use. there is another driver who has copied some of my words in my ads and has posted them in his ad. i guess i should be honored that i do such a good job that somebody wants to be j [...],2012-11-12T09:41:35-05:00,emailnotfound
