title,postingFrom,permalink,shortDescription,postingDate,mailToLink
looking for ride from lbk to dallas on 11/20 or 11/21 (lbk to uptown dal),lubbock,http://lubbock.craigslist.org/rid/3417860074.html,"hey, 
i am looking for a ride back from lubbock to dallas if anyone will be heading that way on tuesday 11/20 or wednesday 11/21, i can leave/arrive at anytime. if you are willing to drive and provide reliable transportation, i will pay for $40 of ga [...]",2012-11-18T02:53:21-06:00,emailnotfound
from lubbock to fort worth thanksgiving (lubbock),lubbock,http://lubbock.craigslist.org/rid/3413702405.html,i will be leaving for fort worth wednesday evening around 11pm or midnight and can expect to be in ft. worth around 4 or 5am. i've done this drive at that time of night multiple times and at normal hours dozens of times. i will be returning saturday  [...],2012-11-16T09:22:34-06:00,emailnotfound
inexpensive travel to any state or city,lubbock,http://lubbock.craigslist.org/rid/3384857998.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T17:54:55-06:00,emailnotfound
dallas /shreport  (from lubbock),lubbock,http://lubbock.craigslist.org/rid/3412292491.html,going to shreveport on the 25 or 26 nov room for one dont need gas money as i am going anyways just would like to see some id just want to be safe room for one ,2012-11-15T15:35:48-06:00,emailnotfound
need ride to austin/waco/san antonio,lubbock,http://lubbock.craigslist.org/rid/3409774531.html,"i'm coming from albuquerque and have a ride as far as lubbock, but really need a ride the rest of the way to the hill country area on the 21st of nov. i'm a 27yro veteran just trying to get home for thanksgiving, any help would be greatly appreciated [...]",2012-11-14T14:13:25-06:00,emailnotfound
looking for a ride to seminole for thanksgiving ,lubbock,http://lubbock.craigslist.org/rid/3409566991.html,"i am looking for a ride for thanksgiving day and pay for my share of gas. if anyone is driving to seminole or passing through, i would appreciate the ride. 
please include your "" phone number and seminole"" in the title of your e-mail. thanks ",2012-11-14T12:57:07-06:00,emailnotfound
going thru big spring??? (from lubbock),lubbock,http://lubbock.craigslist.org/rid/3409380996.html,"hello. i am in lubbock. in serious need of returning to big spring as soon as possible. if u can donate ur time and transportation,plz contact me. i am a 37 yr old white female. thank u.",2012-11-14T11:50:11-06:00,emailnotfound
"traveling to san antonio, tx",lubbock,http://lubbock.craigslist.org/rid/3402587619.html,"i will be traveling to san antonio, tx on sunday, november 18, 2012. will be leaving about 2-3 pm. $40 catches you a ride that way. one way. with 1 stop. must have an id, to share with my family, who is traveling with me for safety and i will provide [...]",2012-11-11T14:18:09-06:00,emailnotfound
round trip from dallas to lubbock and back 11/9-11/11 (plano),lubbock,http://lubbock.craigslist.org/rid/3394319557.html,"i'll be driving from dallas to lubbock on friday and back to dallas on sunday. i graduated from texas tech last fall and am going to visit friends. it would be a huge help if you can contribute for gas, but if you can't then i understand. no wierdos, [...]",2012-11-07T20:25:33-06:00,emailnotfound
going to san antonio (from lubbock),lubbock,http://lubbock.craigslist.org/rid/3355092076.html,"i will be going to san antonio for thanksgiving leaving nov. 21 around 5pm and coming back on nov 25 
if you want a ride let me know and we can arrange something ",2012-11-06T20:53:59-06:00,emailnotfound
christmas break travel (lbb to houston/dallas/oregon),lubbock,http://lubbock.craigslist.org/rid/3375138258.html,"looking to get to either houston or dallas and then fly out from there (cheaper than flying from lubbock) or a rideshare to salem, oregon (could take you beyond that if needed). 
we could use my car or yours for the oregon trip, but i can't leave my  [...]",2012-10-30T13:05:05-05:00,emailnotfound
lubbock to albuquerque for thaksgiving weekend,lubbock,http://lubbock.craigslist.org/rid/3371759622.html,"looking for a ride from lubbock to albuquerque on 11/21 or 11/22, returning to lubbock on 11/24, 11/25, or 11/26.",2012-10-28T22:40:04-05:00,emailnotfound
need ride to dallas area from lubbock,lubbock,http://lubbock.craigslist.org/rid/3369809037.html,"i need a ride from lubbock to dallas fort worth airport area on tuesday oct 30th, 2012. will pay for gas. email me if you are heading there, need to get there by 8pm.",2012-10-27T21:55:55-05:00,emailnotfound
lubbock to dallas ,lubbock,http://lubbock.craigslist.org/rid/3360677648.html,"i'll be driving from lubbock to dallas area , sunday afternoon , in toyota pickup, can take one person, help with gas would be nice. ",2012-10-23T21:29:23-05:00,emailnotfound
"ride from lubbock to austin (lubbock, austin)",lubbock,http://lubbock.craigslist.org/rid/3355910524.html,"dear lubbock and austin residents and commuters , 
i and my friend are planning to go to austin in the first or second week of december. we are searching for people who 
are travelling with there car from lubbock to austin during this period. we are  [...]",2012-10-22T00:16:17-05:00,emailnotfound
rideshare available to houston (lubbock),lubbock,http://lubbock.craigslist.org/rid/3345194166.html,"well, i have room for 2... &lt;100 for each person/ and rountrip! 
text me at calizbak at vtext .com 
smoking ok! air conitioning! on dash mp3 player! via cdr!",2012-10-17T10:36:57-05:00,emailnotfound
we need someone to drive our car behind us to arizona,lubbock,http://lubbock.craigslist.org/rid/3345030643.html,we are looking to drive to arizona tomorrow and need some to drive our car behind us on the way there. we are willing to share on gas and also to help you get to where you need to go as long as it is either on the way to phoenix or around the phoenix [...],2012-10-17T09:31:44-05:00,emailnotfound
matador to co (boulder co),lubbock,http://lubbock.craigslist.org/rid/3343408625.html,needing to get home will pay expenses to boulder co that is home.i am 42 easy going and looking for asap.peace !,2012-10-16T14:14:34-05:00,emailnotfound
lubbock&gt;arizona&gt;california 10/22/12,lubbock,http://lubbock.craigslist.org/rid/3334917252.html,"i will be heading from lubbock to california oct 22 in a new compact rental car 
split everything 50/50 cheap 
i can provide references 
call or text 
925 998 9376 ",2012-10-15T21:15:02-05:00,emailnotfound
