title,postingFrom,permalink,shortDescription,postingDate,mailToLink
t&c's cheap taxi (middle georgia),macon,http://macon.craigslist.org/rid/3378290968.html,"do you need reliable transportation to work,school,doctor appoitments,grocery shopping,pick children up from school, etc.. my car is big enough for car seats, luggage and etc.i've started taxi services that are affordable for you. please text or call [...]",2012-11-17T19:19:14-05:00,emailnotfound
"asking "" please"" for a ride to miami,florida (warner robins)",macon,http://macon.craigslist.org/rid/3417197250.html,"hello, 
my name is tony and i got stuck here in macon, georgia and i really need to get back home !!! 
i have some money and i have a some luggage and i would be "" happy"" to pay half of the cost and buy us lunch. 
i have a valid / clean ,driving lice [...]",2012-11-17T18:29:08-05:00,emailnotfound
macon to pittsburg (and through many cities) (warner robins),macon,http://macon.craigslist.org/rid/3415869708.html,"heading to pittsburg, pa on monday (november 19th). passing through augusta, columbia (sc), charlotte (nc), charlestown (wv), and morgantown (wv). and passing through various cities in between those mentioned. if you'd like to ride along, you're welc [...]",2012-11-17T08:46:44-05:00,emailnotfound
"&#9632;drivers needed -- take workers to their dr/pt appts (macon, ga and surrounding areas)",macon,http://macon.craigslist.org/rid/3350407903.html,"share your vehicle and your driving expertise to help others and earn some extra cash. boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requireme [...]",2012-11-16T10:49:25-05:00,emailnotfound
save more on travel to any state or city,macon,http://macon.craigslist.org/rid/3384889229.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:57:18-05:00,emailnotfound
need ride to atlanta today asap for dollars hehe (macon to atlanta),macon,http://macon.craigslist.org/rid/3411909661.html,"hello hello we are two humans looking for a ride to atlanta like asap today or sometime before 7pm 
we can give you gas dollars for this favor 
thank you :) ",2012-11-15T14:02:43-05:00,emailnotfound
ride needed - macon to phoenix on mon 12/3 (macon),macon,http://macon.craigslist.org/rid/3409978709.html,"i'm looking for a ride from macon to phoenix. 
leaving december 3rd. not me riding, but 16 year old son coming out to visit me. i can direct you to contact him once i'm confident you are a reliable choice. operative mystic...om
rver living in verde v [...]",2012-11-14T16:32:14-05:00,emailnotfound
if you got the money i will take you,macon,http://macon.craigslist.org/rid/3315938064.html,i'm outa work so can use the money . i can take you anywhere in the southeast us . 478-361-4280,2012-10-31T15:55:14-04:00,emailnotfound
big big deals on travel to any city,macon,http://macon.craigslist.org/rid/3332971849.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T20:42:32-04:00,emailnotfound
"one mare needs ride to  fl (jasper, fl)",macon,http://macon.craigslist.org/rid/3373377310.html,"one mare to jasper, fl from locust grove, ga 
if you have space on your trailer let me know. ",2012-10-29T17:23:40-04:00,emailnotfound
if you got the money i will take you,macon,http://macon.craigslist.org/rid/3322575946.html,478-361-4280 anywhere in south east u.s.a.,2012-10-26T20:36:08-04:00,emailnotfound
going to fla (forsyth),macon,http://macon.craigslist.org/rid/3348389254.html,leaving forsyth probably the 24th thru the 27th of october. have a double cab truck with a topper about half full.. anyone needing a ride or something taken to fla? going into gainesville fla or could possibly go a little further south if needed.. $5 [...],2012-10-18T16:27:09-04:00,emailnotfound
i-75 n to knoxville (macon),macon,http://macon.craigslist.org/rid/3329917137.html,driving north on i-75 right now. passing macon shortly (between 5 and 6 pm). happy to give someone a ride long the way in exchange for help with gas $. call brandon 352-321-0202.,2012-10-10T16:37:05-04:00,emailnotfound
rideshare macon to mcdonough (macon),macon,http://macon.craigslist.org/rid/3317503697.html,"looking to form a carpool from macon to mcdonough for evening shift. if interested, please respond asap!! will take on riders to share expenses or pay you to drive.",2012-10-05T01:34:24-04:00,emailnotfound
