title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"tucson, arizona: ride wanted (belfast)",maine,http://maine.craigslist.org/rid/3417980307.html,looking for a ride to tucson in early january ..... i can share both driving and expenses .......... call doug @ 542-9175,2012-11-18T07:43:54-05:00,emailnotfound
i need a ride too treasure chest in waterville  . (newcastle),maine,http://maine.craigslist.org/rid/3417907839.html,need a ride once in a while from newcastle up to waterville . do any guys go too the treasure chest in waterville ? send your number if you do .,2012-11-18T05:37:52-05:00,emailnotfound
bar harbor to boston - monday early morning (bar harbor me),maine,http://maine.craigslist.org/rid/3417570306.html,"hi 
i will be leaving bar harbor maine early monday morning (2am) and plan to arrive in boston at around 7am.... 
if you need a ride along the way, please contact me... expecting a share of gas and toll... please call and email me, as sometimes i hav [...]",2012-11-17T22:19:22-05:00,emailnotfound
"belfast, me to burlington, vt christmas",maine,http://maine.craigslist.org/rid/3416747082.html,"looking for ride around december 20th to burlington. live in monroe, no car but can meet someplace near. would prefer to meet in belfast ahead of time to meet one another before we leave. 
will help pay for gas and drive if its automatic 
please only [...]",2012-11-17T15:03:42-05:00,emailnotfound
ride south for tday? (bar harbor),maine,http://maine.craigslist.org/rid/3416724878.html,"hello, i am a chef working in bar harbor, looking for a ride to connecticut for thanksgiving. please email me if you are heading anypoint south, portland, portsmouth, boston, basically anwhere i can hop on a greyhound for the rest of the leg. i reall [...]",2012-11-17T14:54:40-05:00,emailnotfound
sat. evening to boston (unity),maine,http://maine.craigslist.org/rid/3416708317.html,"leaving unity on saturday evening for boston. can pick up if need be from waterville, augusta, portland areas (if dropped off near hwy). 
gas $ appreciated.",2012-11-17T14:48:09-05:00,emailnotfound
ride offered to boston (mid-coast maine),maine,http://maine.craigslist.org/rid/3392561082.html,"i will be leaving damariscotta, me on thursday night or friday morning 11/22/12 or 11/23/12. i will be headed to malbrough, ma. i can drop you off somewhere along the way to boston. also i have space in my car to move things too. 
email for more info [...]",2012-11-17T11:00:01-05:00,emailnotfound
"offering 1way ride to syracuse, albany, ny nov 21st (portland)",maine,http://maine.craigslist.org/rid/3415582966.html,"driving from portland to syracuse and offering ride. willing to drop off along highway or drive a little out of the way for extra cash. $40 to syr, $30 albany, etc 
non smoking car, small pet in carrier ok. 
heading out on wed nov 21st in late mornin [...]",2012-11-17T01:51:02-05:00,emailnotfound
share moving van down south (nyc-tn),maine,http://maine.craigslist.org/rid/3415438379.html,"looking to share moving costs from nyc to tn and anywhere in between or beyond. 
pennsylvania 
maryland 
dc 
virginia 
west virginia",2012-11-16T23:27:26-05:00,emailnotfound
portland to fort lauderdale fl (portland to fl),maine,http://maine.craigslist.org/rid/3415409446.html,"looking to move south in a few weeks preferably before the first of dec. i am a professional person, artist musician type and wondering if anyone has a truck headed down to fl to add a few of my belongings to. mainly clothes and art. 
get back if you [...]",2012-11-16T23:04:22-05:00,emailnotfound
