title,postingFrom,permalink,shortDescription,postingDate,mailToLink
let me move it / reasonable (memphis),memphis,http://memphis.craigslist.org/rid/3365676689.html,"i can move or haul anything. 
big or small anywhere you want 
very reasonable rates!!!!! 
call mccoy at 901-570-4004",2012-11-18T00:13:05-06:00,emailnotfound
need ride memphis - nola (united states),memphis,http://memphis.craigslist.org/rid/3417678159.html,"hi friends, 
i am currently in little rock, headed to memphis with the hope that it will be easier to score a ride south to new orleans. i am trying to get down there anytime next week. i'm responsible, nice, and friendly. can pitch in for gas. thank [...]",2012-11-17T22:50:17-06:00,emailnotfound
i need a ride to lil rock (mem),memphis,http://memphis.craigslist.org/rid/3416031492.html,i need a ride to lil rock on monday if you can help hit me up,2012-11-17T09:19:05-06:00,emailnotfound
looking for the ride to new york asap (cordova),memphis,http://memphis.craigslist.org/rid/3413998742.html,my dog and i are looking for the rim to new york,2012-11-16T11:17:57-06:00,emailnotfound
chauffeur position available (memphis and surrounding area),memphis,http://memphis.craigslist.org/rid/3394341228.html,"does the idea of a straightforward, low stress driving job appeal to you? if so, boomerang transport is now hiring reliable drivers in and around memphis. our drivers' main duty is to provide rides to injured workers to and from their doctors office  [...]",2012-11-16T09:21:52-06:00,emailnotfound
"ride in style, with out the high price...........!! (in town - out of town)",memphis,http://memphis.craigslist.org/rid/3413425382.html,"i am a lic insured owner operator of a lic & insured. ' legal ' memphis cab,..... but i also offer flat rate rides in and out of town, even out of state!
ride in style with out worry & ' do not pay the meter. '
flat rates are all nego.
a/c, new luxur [...]",2012-11-16T06:28:18-06:00,emailnotfound
chicago for thanksgiving (memphis),memphis,http://memphis.craigslist.org/rid/3413392772.html,"hey! 
i am headed to chicago for thanksgiving. i will be leaving memphis promptly at 3pm on this coming tuesday and returning saturday - leaving chicago at 3 pm. 
i am looking for someone groovy to share the ride with, and split the cost of gas. 
loo [...]",2012-11-16T05:46:15-06:00,emailnotfound
need ride (la vergne to el paso),memphis,http://memphis.craigslist.org/rid/3413184788.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T00:07:39-06:00,emailnotfound
cheap travel deals to any state or city,memphis,http://memphis.craigslist.org/rid/3402726144.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T18:50:37-06:00,emailnotfound
ride to los angeles,memphis,http://memphis.craigslist.org/rid/3411890141.html,"leave: memphis - morning of monday, 19 november 
arrive: los angeles - night of wednesday, 21 november 
would like to have someone along that can do some of the driving. must be drug free, ( except i'll buy you some coffee ) 
i am an artist and write [...]",2012-11-15T12:55:33-06:00,emailnotfound
ride offered - memphis to oxford on sat 11/17 (memphis),memphis,http://memphis.craigslist.org/rid/3410250140.html,"i'm offering a ride from memphis to oxford. 
leaving november 17th returning november 17th. contact me on zimride: http://www.zimride.com/ride/share?ride=532615 ",2012-11-14T17:29:48-06:00,emailnotfound
 nashville game saturday (11/16-17) (memphis 2 nashville),memphis,http://memphis.craigslist.org/rid/3409881491.html,"hello, 
i am seeking a driver who will be attending the game in nashville this saturday!!... willing to help drive and pay for gas..!! anyone interested email me asap!... ",2012-11-14T14:53:50-06:00,emailnotfound
anyone need a ride to sikeston? (shelby county),memphis,http://memphis.craigslist.org/rid/3408071735.html,i am driving to sikeston tomorrow november 14. i will be leaving around 8pm. if you need a ride to there it somewhere sling the way let me know. no smoking ,2012-11-13T19:10:24-06:00,emailnotfound
need ride to knox (knoxville),memphis,http://memphis.craigslist.org/rid/3404579792.html,need ride too knoxville asap will pay for gas please call or text me at 352'228'3498,2012-11-12T12:19:30-06:00,emailnotfound
nashville to st. louis to nebraska (nashville/portland),memphis,http://memphis.craigslist.org/rid/3403044642.html,"i'm going to be in nashville, tn on thanksgiving day and then the day after, the 23rd on friday, i'll be leaving sometime during the day to drive a car i'm purchasing back to beatrice, ne. i'll pretty much be taking the maps.google.com route home. i' [...]",2012-11-11T18:04:48-06:00,emailnotfound
"west to albuquerque nm, las angeles, san francisco, portland, seattle (memphis)",memphis,http://memphis.craigslist.org/rid/3394555612.html,"interested? sometime in november. 
get in touch. 
james 
831.421.2247",2012-11-07T23:20:27-06:00,emailnotfound
"ride in style, with out the high price...........!! (in town - out of town)",memphis,http://memphis.craigslist.org/rid/3328731791.html,"i am a lic insured owner operator of a lic memphis cab, but i also offer flat rate rides in and out of town, even out of state, 
ride in style with out worry & dont pay the meter. 
flat rates are all nego. 
a/c, new luxury vechile 
due to the economy [...]",2012-11-07T04:18:20-06:00,emailnotfound
memphis to gainesville (memphs),memphis,http://memphis.craigslist.org/rid/3392039763.html,"i need a ride to gainesville ga from memphis need to be there by friday moring before 9 if u can help me 
out plz email me and i will get back asap",2012-11-06T21:16:57-06:00,emailnotfound
ride offered memphis to california,memphis,http://memphis.craigslist.org/rid/3364343386.html,"i will be driving from florida to california within the next 2 weeks. gas expense will be split 50/50. willing to drop you off anywhere along the way or most anywhere in the state of california, as i will be driving all the way to oregon. please call [...]",2012-11-06T11:38:30-06:00,emailnotfound
going to florida,memphis,http://memphis.craigslist.org/rid/3390027224.html,"i will be driving to south beach to be with families for thanksgiving 
i will be driving a brand new van i have planty of rooms if you got any luggage 
let me know if you need to ride with me 
i will leave from lr on wednesday around noon or before b [...]",2012-11-06T03:36:17-06:00,emailnotfound
memphis tn  to dallas tx (memphis),memphis,http://memphis.craigslist.org/rid/3387587231.html,leaving on friday the 9th before noon and leaving dallas on sunday at 6pm. $$ asking for $65 one way or negotiable. 2025607150 chepsie,2012-11-05T04:05:15-06:00,emailnotfound
"free trip...  (grand prairie, tx)",memphis,http://memphis.craigslist.org/rid/3385399493.html,"roundtrip memphis to grand prairie, tx nov10 and return to memphis on nov. 13/14 all night ride!! contact tt for details. first come first serve! only 1 ticket available!!!! free ride only. not responsible for anything else. just didnt want to waste  [...]",2012-11-04T01:02:53-05:00,emailnotfound
memphis to colorado springs (need a ride anytime),memphis,http://memphis.craigslist.org/rid/3384922838.html,"need a ride to colorado springs. i'm in memphis now and i can leave anytime,tytyty so much,have a blessed day",2012-11-03T18:44:47-05:00,emailnotfound
memphis to colorado springs (need a ride anytime),memphis,http://memphis.craigslist.org/rid/3370875065.html,"need a ride to colorado springs,,,,,,,,,,,,,,anytime, stuck in memphis,,,,,,,,,,,,,,,,,,,,,,,,have a super day, ty for your time. ready to leave anytime.",2012-11-03T18:35:23-05:00,emailnotfound
ride offered - oxford to memphis on sat 11/17 (oxford),memphis,http://memphis.craigslist.org/rid/3384651264.html,"i'm offering a ride from oxford to memphis. 
leaving november 17th returning november 17th. contact me on zimride: http://www.zimride.com/ride/share?ride=515844 ",2012-11-03T16:24:02-05:00,emailnotfound
"need a ride? to / from, memphis airport plus... (memphis, collier, german, bartl, cordova)",memphis,http://memphis.craigslist.org/rid/3383134743.html,"my name is todd gatton, i am a 33 year old male with a 100% clean driving record. i have had zero wrecks nor tickets since i started driving at the age of 16. i currently drive a black 2012 chevy cruze ltz. i offer my time by driving people to and fr [...]",2012-11-02T23:23:51-05:00,emailnotfound
ride to the casino tonight (memphis),memphis,http://memphis.craigslist.org/rid/3382539923.html,"i would like to go to the casino tonight if anyone going plz let me ride i will pay gas 
email me and i will get right back",2012-11-02T17:14:54-05:00,emailnotfound
need a ride call me tee  (memphis an surrounding areas......),memphis,http://memphis.craigslist.org/rid/3343965720.html,"need a ride call 
me tee very affordable rates. 
no rides after 7p.m. sorry to dangerous. 
9012362945 ",2012-11-02T09:28:11-05:00,emailnotfound
gabe's taxi service & designated driver (horn lake ),memphis,http://memphis.craigslist.org/rid/3370011247.html,"gabe 901-596-0174 
the service itself is a 7 dollar fee. i charge by distance and stops made. no weapons or drugs or anything illegal of any kind allowed in the car. i can easily provide good conversation and your taste of music no matter what that m [...]",2012-11-01T14:01:59-05:00,emailnotfound
"memphis to ky (memphis,tn)",memphis,http://memphis.craigslist.org/rid/3378477336.html,"leaving memphis friday the 2nd at 8am, maybe 9am, depends on traffic, i would like for someone to help with the gas, please email.",2012-10-31T22:14:48-05:00,emailnotfound
ride offered - oxford to memphis on sat 11/17 (oxford),memphis,http://memphis.craigslist.org/rid/3377586113.html,"i'm offering a ride from oxford to memphis. 
leaving november 17th returning november 25th. i have a 4 doors chevy blazer, and one passenger going with me. if a few more other people come with me, i am willing to be flexible with the payment. contact [...]",2012-10-31T14:02:15-05:00,emailnotfound
need a ride from clifton to memphis,memphis,http://memphis.craigslist.org/rid/3376122827.html,"two individuals seeking a ride from clifton to memphis, can help with gas. 
cheers",2012-10-30T20:20:31-05:00,emailnotfound
"headn north to minnesota (leavin fl, oct 31nov1)",memphis,http://memphis.craigslist.org/rid/3370252423.html,"room for 1. goin thru al,tenn,ky,ill... wis. ",2012-10-30T09:40:05-05:00,emailnotfound
need ride memphis to dc,memphis,http://memphis.craigslist.org/rid/3372902912.html,"two english guys looking for a ride to washington dc. both have full english driving license and would be happy to help with driving and the cost of gas. hoping to leave 1st or the 2nd of november. 
if you can help call jordan on 415-528-0533 or just [...]",2012-10-29T13:14:46-05:00,emailnotfound
"driving to lexington nov 6 or 7 (memphis, tn)",memphis,http://memphis.craigslist.org/rid/3372420390.html,"i'm driving back to lexington, ky, passing through nashville, if you need a ride to either or somewhere along the way. pay your share of gas, driving would be cool too. leaving in the morning. plenty of space. 
i can either make the trip on the 6th o [...]",2012-10-29T10:14:56-05:00,emailnotfound
"houston, tx to flint, mi rideshare (memphis)",memphis,http://memphis.craigslist.org/rid/3372398971.html,"hi! my special lady friend and i will be traveling from houston, tx to flint, mi this wednesday morning. we are looking for 2-3 (depending on how many bags) people who would like to rideshare with us. i drive a hyundai suv, so there is room for a few [...]",2012-10-29T10:06:04-05:00,emailnotfound
cheap travel deals to any city or state,memphis,http://memphis.craigslist.org/rid/3351357004.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-10-28T14:17:51-05:00,emailnotfound
ride needed - oxford to memphis on sat 11/17 (oxford),memphis,http://memphis.craigslist.org/rid/3370236664.html,"i'm looking for a ride from oxford to memphis. 
leaving november 17th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=509017 ",2012-10-28T08:19:42-05:00,emailnotfound
"memphis to daytona beach, fl (for 1 bird + 1 person)",memphis,http://memphis.craigslist.org/rid/3369714365.html,"need ride from memphis area (collierville) to ormond beach / daytona beach / port orange, florida. date of travel flexible. the bird is a cockatiel.",2012-10-27T20:40:47-05:00,emailnotfound
memphis to new orleans (downtown),memphis,http://memphis.craigslist.org/rid/3359518025.html,"possibly going to new orleans on sat. if you want a ride and want to bring a few things, that's fine. $40 gets you there. i'm wm with a 2012 ford fiesta, from new orleans, very laid back. you can listen to anything you want on the way. i will need a  [...]",2012-10-26T15:35:02-05:00,emailnotfound
ride offer to nashville/knoxville/asheville/nyc leave 10/27 (memphis),memphis,http://memphis.craigslist.org/rid/3366694645.html,"hello! i am continuing tomorrow on a road trip to new york (brooklyn) and have room for one rider. i'm planning on stopping in some places alng the way (mainly the ones listed in the title, though i am flexible on the destinations and timing). i'm th [...]",2012-10-26T13:22:10-05:00,emailnotfound
"have truck..will haul for you..reasonable and on time!!! (memphis,tn)",memphis,http://memphis.craigslist.org/rid/3366083532.html,"i have an insured pick up truck & will haul most things within reason within 200 miles of memphis if you are willing to pay. my prices start at $30.00 for in town work,outside of 25 miles of memphis or desoto county mississippi prices start at $1.00  [...]",2012-10-26T09:24:20-05:00,emailnotfound
ms to sc &gt; ride offered for pets or cargo (ms),memphis,http://memphis.craigslist.org/rid/3365073928.html,"i am heading home to the greenville, sc area on november 5. if you have pets or cargo needing to go that way or somewhere in between (atlanta, birmingham) let me know! lets work something out. i have a good size suv with a lot of empty space. i do no [...]",2012-10-25T17:58:26-05:00,emailnotfound
need a ride in style with very reasonable rates lic. ins. & bnd.driver (in town/ out town/ out of state),memphis,http://memphis.craigslist.org/rid/3363448989.html,"marcus (901) 949 - 9277 
i own and operate my own taxi, but i am willing to drive you ' anywhere ' in or out of town for a reasonable ' flat ' rate. also 'pet' friendly...... 
i am lic. insured and bonded, so dont ride with the non - insured, un - sa [...]",2012-10-25T04:22:45-05:00,emailnotfound
clifton to memphis,memphis,http://memphis.craigslist.org/rid/3362944322.html,"i will be needing a ride to memphis in the begining of november, two bags will be all. ",2012-10-24T19:57:00-05:00,emailnotfound
ride from memphis to atlanta ga (memphis),memphis,http://memphis.craigslist.org/rid/3359162425.html,"i need a ride to atlanta or gainesville george i will pay gas or a flat 
rate need to go aroun nov 5-7 email and get back asap",2012-10-23T11:00:29-05:00,emailnotfound
need ride to chgo on halloween (memphis),memphis,http://memphis.craigslist.org/rid/3357506706.html,hey thir/ if your headed north down i-57 up chgo way anywhir in that direction i can help you out with gas. please let me know. i would rather pay u than megabus. need to leave memphis around october 30th or shortly there after. thanks and have a gre [...],2012-10-22T16:00:30-05:00,emailnotfound
