title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered (kalispell to cheyenne),montana,http://montana.craigslist.org/rid/3416761967.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:09:53-07:00,emailnotfound
"heading east i-90 friday (wy, mt, id)",montana,http://montana.craigslist.org/rid/3412297421.html,"hello, i'm heading home to nampa, idaho from sheridan, wy. i'm taking the 90 east through billings, bozman, idaho falls, twin, and to boise. if you an help out a little with gas you have a ride. plan on leaving friday morning. give me a call or email [...]",2012-11-15T14:37:53-07:00,emailnotfound
mt-&gt;tx-&gt;mt (montana &amp; texas),montana,http://montana.craigslist.org/rid/3409545232.html,looking for someone who maybe in texas and coming to montana or or doing a round trip! i'm purchasing new seats front and back and am needing them hauled from houston as close to hamilton mt as possible! getting them shipped is way out of budget! so  [...],2012-11-14T11:49:12-07:00,emailnotfound
"need a ride  to denver (deer lodge ,bozeman)",montana,http://montana.craigslist.org/rid/3398362404.html,"looking to leave around nov. 19 or so 1 guy and a backpack and i can help with gas and driving,contact steve",2012-11-09T13:49:19-07:00,emailnotfound
heading east to new york (big arm),montana,http://montana.craigslist.org/rid/3390485371.html,"leaving before the weekend, have room for one person and a bag. share driving and gas. (406) 750-1166",2012-11-06T08:52:28-07:00,emailnotfound
ride to seattle or all points in between on i-90 (from williston ),montana,http://montana.craigslist.org/rid/3379788225.html,i'm heading west on i-90 for seattle area on sunday. anyone wanting a ride and able to chip in on gas call 406-212-7299. i have a van so there is some empty room. thanks,2012-11-01T13:17:19-06:00,emailnotfound
ride from sidney 2 fl (sidney mt.2 pensacola fl),montana,http://montana.craigslist.org/rid/3371399195.html,heading to pensacola florida around the 20th of nov.i have a 06 f350 if you are interested in going south let me know.or text me at 850-426-1221,2012-10-31T19:53:25-06:00,emailnotfound
have a truck? headed south? make some cash! (missoula),montana,http://montana.craigslist.org/rid/3366849687.html,"i have a honda cb 550 motorcycle that i need moved at least out of the snow and mountains in mid november. 
i will ride with you where ever you are going, idaho, utah, nevada, arizona until the roads are clear and the weather is decent. 
i will ride  [...]",2012-10-29T11:19:12-06:00,emailnotfound
sydney montana to california (sydney),montana,http://montana.craigslist.org/rid/3366233111.html,i'm heading to california in monday the 29th going to pismo beach california in a rv. warm place to sleep no hotels all i ask is some gas money there is a lot of food here. email me asap leaving early on monday can pick you up anywhere on the route,2012-10-26T09:28:22-06:00,emailnotfound
ride needed:troy to yellowstone (troy/missoula/west yellowstone),montana,http://montana.craigslist.org/rid/3363086087.html,"i am looking for a ride (or rides) from troy to the west yellowstone area. could be just part way- i can stop in missoula, or meet someone there. 
i am willing to pay all fuel and lunch.",2012-10-24T20:19:14-06:00,emailnotfound
"help haul 34ft 5th wheel (kila tokalispell, mt to watford city, nd)",montana,http://montana.craigslist.org/rid/3359074334.html,"desparately seeking someone who could haul a 34 foot 5th wheel from kila to helena flats road within the next 2 days. in addition, seeking the same haul from kalispell to watford city, north dakota (40 miles south of williston) in the next week or so [...]",2012-10-23T09:29:02-06:00,emailnotfound
ride to ut (glendive mt),montana,http://montana.craigslist.org/rid/3358598987.html,"need a ride from glendive mt to cedar city ut. sometime within the next week if possible. prefer another woman or a family. 
thanks for looking. 
nancy",2012-10-23T04:43:39-06:00,emailnotfound
ride to seattle,montana,http://montana.craigslist.org/rid/3337611585.html,possibly need a ride to seattle around the middle to end of april 2013. details not exact just yet.,2012-10-13T22:22:16-06:00,emailnotfound
** responsible car transport: montana to east coast or reverse ** (montana),montana,http://montana.craigslist.org/rid/3315940792.html,"i will drive your car from montana to the dc metro area or east coast, or from dc metro area or east coast to montana. mature, reliable professional with an excellent driving record. reasonable rate plus gas and tolls. ",2012-10-11T15:24:28-06:00,emailnotfound
lewistown to billings and back (lewistown),montana,http://montana.craigslist.org/rid/3331309643.html,"have a job interview today, really hoping to not have to reschedule. my ride cancelled on me literally minutes before i was supposed to go. if anyone's going to billings from here, or wouldn't mind getting me into billings for said interview before 5 [...]",2012-10-11T08:14:34-06:00,emailnotfound
"ride needed to seattle oct 5,6,or7 (great falls)",montana,http://montana.craigslist.org/rid/3319358646.html,"ride needed from great falls area to the spokane or seattle weekend of october 5,6,7 will pay for gas, call four zero six, 965 two, two, one, four .",2012-10-05T18:12:56-06:00,emailnotfound
