title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"can haul loads under 1500lbs across the country. (seattle, denver, baltimore)",monterey,http://monterey.craigslist.org/rid/3396716363.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T20:39:30-08:00,emailnotfound
carmel to big sure (esalen) $40.00 (carmel),monterey,http://monterey.craigslist.org/rid/3417116610.html,i am going to the esalen institute in big sur tomorrow. i am staying in carmel and would be grateful to hitch a ride with someone who is headed that way. i am happy to pitch in $40.00.,2012-11-17T14:47:57-08:00,emailnotfound
i am driving via sj to palo alto/menlo park (from monterey/pg),monterey,http://monterey.craigslist.org/rid/3416315630.html,"i am driving to the mid-sf-peninsula (menlo park) wednesday morning, nov 21, leaving pg at 8:30. join me, if you like, to sj, its airport, palo alto or all the way to menlo park. $15 to sj, $20 to pa or mp. - peter",2012-11-17T09:16:28-08:00,emailnotfound
ride offered- monterey to san louis obispo tonight,monterey,http://monterey.craigslist.org/rid/3416052000.html,"hi, 
my name is amanda, im 24, responsible, and i have a nice reliable safe car. i'm going down to slo this evening after 5pm and was wondering if anyone wanted a ride and could share the burden of gas. 
i won't be around internet today so i'm taking [...]",2012-11-17T07:28:35-08:00,emailnotfound
"need a ride to la area anytime within the next couple days (hollister, ca)",monterey,http://monterey.craigslist.org/rid/3415566829.html,"i am a full time musician. i need to get to santa clarita with my studio gear specifically by the weekend preferably. i can fit everything in any normal car. 
need to get down there asap! 
wont need a ride back being that i will be staying for weeks  [...]",2012-11-16T22:31:46-08:00,emailnotfound
ride needed - big sur to portland on sat 11/24 (big sur),monterey,http://monterey.craigslist.org/rid/3415402898.html,"i'm looking for a ride from big sur to portland. 
leaving november 24th. hello! i've lived at esalen for a couple of years and just made the move up to portland. i'm coming down for thanksgiving and looking for a rideshare back up! i'm happy to help  [...]",2012-11-16T19:59:17-08:00,emailnotfound
ride offer to los angeles wed nov 21 (united states),monterey,http://monterey.craigslist.org/rid/3414381195.html,"i can offer a ride for up to two passengers from monterey area to los angeles next wednesday, november 21st. willing to pick up or drop off along the route. will take the 68 to salinas and then 101 south to la. asking $45 toward gas etc costs. 
will  [...]",2012-11-16T11:37:08-08:00,emailnotfound
big sur carpool/gas share?~ (palo colorado canyon),monterey,http://monterey.craigslist.org/rid/3413592198.html,moving to the canyon next month and looking for others who work in town daily. i work 9 to 5 in monterey and do not drive due to a health issue. would be happy to chip in for gas if we can arrange a daily carpool. please email me if you can help. tha [...],2012-11-16T06:29:32-08:00,emailnotfound
ride needed - monterrey to sf on sat 11/17 (monterrey),monterey,http://monterey.craigslist.org/rid/3413346430.html,"i'm looking for a ride from monterrey to san francisco. 
leaving november 17th. i could leave earlier than 8.00 also. thanks! contact me on zimride: http://www.zimride.com/ride/share?ride=536546 ",2012-11-16T02:23:56-08:00,emailnotfound
monterey (monterey/salinas ),monterey,http://monterey.craigslist.org/rid/3413317782.html,"i drive very often monterey to salinas 
female prefered 
clean no pets 
some gas money on exchange ",2012-11-16T01:24:38-08:00,emailnotfound
room in truck for cargo (sd to santa cruz),monterey,http://monterey.craigslist.org/rid/3412964043.html,my sister and i are leaving sd tomorrow morning the 16th and coming back on the 18th to go see our aunt whose finishing up her second round of chemotherapy. we'll help cook and clean for her the first few days that she's back home to help her adjust. [...],2012-11-15T19:14:19-08:00,emailnotfound
rideshare/carpool app (ios/android),monterey,http://monterey.craigslist.org/rid/3345431561.html,"hello ride-sharers/carpoolers, 
imagine going on daily commute locally or on long distance trip! 
you just put your start and destination on system and leave the match/sort on to the system intelligence. filter results by ratings, etc. 
using android [...]",2012-11-15T16:57:50-08:00,emailnotfound
rides 4 less to any city or state look,monterey,http://monterey.craigslist.org/rid/3344319660.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-11-15T16:50:15-08:00,emailnotfound
vegas to norcal and back,monterey,http://monterey.craigslist.org/rid/3412243244.html,"i'm driving from vegas to norcal and am looking for rideshare(s) that can chip in for gas (equal shares). i'm willing to drop off anywhere between pismo beach and burlingame/san francisco. small cargo is ok. i'm looking to leave today/tomorrow. 
i am [...]",2012-11-15T13:15:03-08:00,emailnotfound
need ride to yuma az or el centro ca (monterey co),monterey,http://monterey.craigslist.org/rid/3408413275.html,hello im in need of a ride to the fore mentioned locations next weekend nov 24 or 25th or 26th any day is fine...i can help with gas and can drive i have a valid license. i am a male 25 years old and need to get down to that are to finish my hiring p [...],2012-11-13T20:40:54-08:00,emailnotfound
"tuesday early ride to sj, sf or oakland (pg, monterey)",monterey,http://monterey.craigslist.org/rid/3404260111.html,"i am driving to oakland tuesday a.m. - to be there by 10:30. need a ride to sj, sf or oakland? $15 to sj, $23 to sf or $20 oakland. leave at 8 am. peter ",2012-11-12T08:30:38-08:00,emailnotfound
need ride- big sur to sf 11/16 (big sur),monterey,http://monterey.craigslist.org/rid/3403616414.html,"looking for a ride from big sur to san francisco.. i can't drive but willing to pitch in for gas! only thing is i need to be in the city by 4pm because i work at 5. i'm a chill mellow girl, was gonna get a ride down to go camping for a night but i wo [...]",2012-11-11T23:24:15-08:00,emailnotfound
two need ride from santa cruz to portland 11-21-12 or 11-22-12 (santa cruz),monterey,http://monterey.craigslist.org/rid/3400832866.html,hey myself and my friend need a ride from santa cruz to portland on 11-21-12 or 11-22-12 will help gas. smoking or none smoking is fine with us. (831) 809-4670,2012-11-10T14:22:32-08:00,emailnotfound
need a ride carmel to la 11/11,monterey,http://monterey.craigslist.org/rid/3400048346.html,"need a ride tomorrow morning or afternoon. can be dropped off at any amtrak location south of paso robles, final destination is orange county. will share the gas. 
mike",2012-11-10T08:56:21-08:00,emailnotfound
ride wanted carmel to santa barbara 11/11,monterey,http://monterey.craigslist.org/rid/3398904158.html,"hi i am looking for a ride, preferably early sunday morning to santa barbara. if you are headed there or through there and are willing to take a non-sketchy, gas sharing, good road partner please email me asap. prefer not to give phone here but can d [...]",2012-11-09T16:58:06-08:00,emailnotfound
