title,postingFrom,permalink,shortDescription,postingDate,mailToLink
who is going to the tri-cities?? (moses lake),moseslake,http://moseslake.craigslist.org/rid/3417491252.html,"hi, 
i attend big bend community college. my name is jackie, i am 20 years old. 
i would like to say that if anyone goes down to the tri-cities i would love to come with you. my parents live down there. 
i would prefer to be a female, i would feel mo [...]",2012-11-17T18:22:24-08:00,emailnotfound
to yakima please (moses lake to yakima),moseslake,http://moseslake.craigslist.org/rid/3414445779.html,i am trying to get to yakima today or no later the sunday for my kids. just found out my 3 year old had type one dietbiedis and he wants his daddy.. please someone help me,2012-11-16T12:01:43-08:00,emailnotfound
share the ride daily (ephrata -wenatchee),moseslake,http://moseslake.craigslist.org/rid/3405667755.html,"i work in wenatchee (mon-fri from 6.45 am to 3.15 pm) and live in ephrata. looking for someone who drives this direction to share the ride. or at least wenatchee-quincy would also work. i do not drive. 509 393 7121 
thank you ",2012-11-12T17:30:43-08:00,emailnotfound
m-f 5am -3 pm moses to othello daily  (moses/othello),moseslake,http://moseslake.craigslist.org/rid/3398157128.html,my schedule is from 6 am to 2:30 pm from moses lake to othello monday - friday . i am looking to share a ride w someone w similar schedule with in a hour difference is ok :-) i would help w the cost of gas . pls contact me 509 seven nine three 8753 w [...],2012-11-09T11:31:13-08:00,emailnotfound
really need help (moses lake to yakima),moseslake,http://moseslake.craigslist.org/rid/3396557754.html,"i really need a ride from moses lake to yakima on either nov. 9, 10 trying to get home to my kids. just found out my son of 3 years old that he hasx type one diebidies. it is very important that i get to my family. may have 20 or 30 bucks for gas plz [...]",2012-11-08T17:16:42-08:00,emailnotfound
"ride needed (11/21), bellingham to quincy (i-90 east)",moseslake,http://moseslake.craigslist.org/rid/3395845500.html,"im looking for a ride from bellingham to quincy on wednesday (11/21) evening. trying to get out there for thanksgiving. ill pitch in for gas. if you are heading that way, shoot me an email. 
levi",2012-11-08T11:58:06-08:00,emailnotfound
to seatac (moses lake area),moseslake,http://moseslake.craigslist.org/rid/3345959824.html,"i will be driving from quincy (through wenatchee, ellensburg) to seattle on saturday - 20th oct (around 9:00 - 9:30 am) .. can pick or drop on the way within reasonable distance ( not more than 5 mins off freeway) .. will follow i 90 ... can meet on  [...]",2012-10-17T13:14:09-07:00,emailnotfound
need a ride from moses lake to florida/georgia,moseslake,http://moseslake.craigslist.org/rid/3334950226.html,"wanting to leave asap, i want to find someone thats heading towards florida or georgia. it's just myself and my little boy, with a couple bags. non smoker. message me please!",2012-10-12T15:46:12-07:00,emailnotfound
regular commute ellensburg-moses lake (moses lake),moseslake,http://moseslake.craigslist.org/rid/3334547392.html,i'm currently commuting from ellensburg to moses lake tuesday-saturday and would like to share the drive with someone at least part of the time. shoot me an e-mail if interested!,2012-10-12T12:54:43-07:00,emailnotfound
need ridethurs or fri -12th 5-8pm ish t (ellensburg to moseslake),moseslake,http://moseslake.craigslist.org/rid/3327933339.html,i need a ride either thursday or friday evening flexible to leave around 5pm up to -8ish from ellensburg to moses lake- no luggage -some cash 4 gas. just call - 509 3061569,2012-10-09T15:00:30-07:00,emailnotfound
carpool (quincy),moseslake,http://moseslake.craigslist.org/rid/3326232714.html,saturday noon ... i will be driving from quincy to seattle .. can take up to 2 people .. going to airport ... can drop on the way ... i have my own luggage ... so no space for much luggage .. one way .. will start about noon - 12-12:30 pm from quincy [...],2012-10-08T21:34:26-07:00,emailnotfound
carpool back to seattle (moses lake ),moseslake,http://moseslake.craigslist.org/rid/3312748920.html,"hi would anyone like to carpool back to seattle with me this weekend 10/4? gas is just too much sometimes. i typically would like to go back as often as possible on a weekend basis 
if youre interested just text/call me at 206-992-2653. thanks!",2012-10-02T21:10:31-07:00,emailnotfound
