title,postingFrom,permalink,shortDescription,postingDate,mailToLink
driving cross country!!! (nmb to vegas),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3408981776.html,"i am leaving on the 30th of november to drive cross country....final destination is las vegas...i will be driving thru many states, and i am looking for someone who needs a ride west bound....the trip is one way.....when i reach vegas...los angeles i [...]",2012-11-17T12:22:33-05:00,emailnotfound
ride needed every now and then (s. myrtle near airport),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3414967906.html,"hello....i am a senior guy from nyc who needs a ride every now and the. want to be able to go to the goodwill in surfside on weds. now and then and possibly to the mall, etc. if you like to go to goodwill or consignment shops and spend some time, i w [...]",2012-11-16T18:41:30-05:00,emailnotfound
need a ride to ft myers fl,myrtlebeach,http://myrtlebeach.craigslist.org/rid/3414476126.html,need a ride to ft myers sunday after thanksgiving can give 100 towards gas,2012-11-16T15:13:23-05:00,emailnotfound
&#9758; professional driver available ( nice clean american male ),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3360826634.html,"hello - 
do you need a professional private driver. 
i am a professional, great, easy going mature male. 
my services are - work, school, airports, shopping, traveling, etc ... 
my prices are very reasonable. 
please call to discuss. 
thank - you ver [...]",2012-11-16T10:45:56-05:00,emailnotfound
driving job - use your own car (myrtle beach and surrounding area),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3390878143.html,"are you looking for a low stress driving job? boomerang transport is currently hiring reliable drivers in charleston. our employees' primary job is to provide rides for injured workers to and from their doctors office/physical therapy appointments. 
 [...]",2012-11-16T10:22:42-05:00,emailnotfound
myrtle beach to mt pleasant (myrtle beach),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3402969033.html,"need ride from myrtle beach airport to mt pleasant 
will pay for gas 
november 21th ~ 8am",2012-11-16T08:24:05-05:00,emailnotfound
going to vegas ..anyone need a ride west (nmb),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3413475392.html,"i am leaving myrtle beach in 2 weeks and i am looking for someone who is going west but can't get there...i am going to vegas however i can drop you where ever you need to go on the way, must pay for 1/2 gas and 1/2 room stay to your destination....l [...]",2012-11-16T08:14:11-05:00,emailnotfound
florence sc to myrtle beach sc need ride fri or sat paying gas$$$ (florence/darlington),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3413279677.html,"i am a mature down to earth, respectable well educated, clean cut male, that lives in a nice home that cannot drive at the moment. i need a ride to myrtle beach right off hwy 501, from florence sc. 
i need a ride from florence sc to myrtle beach sc o [...]",2012-11-16T03:12:58-05:00,emailnotfound
viejes e consular en raleigh nc (socastee sc),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3412777563.html,"yo hago viejes a consulado de mexico una ves en la semada en los jueves. salgo a las 3 en la manana para estar en el consulado a la 7. tambien puedo ajullar con los papelles de matricular. 
$100.00 dollares ir y de vuelta.",2012-11-15T20:25:02-05:00,emailnotfound
cheap travel to any state or city,myrtlebeach,http://myrtlebeach.craigslist.org/rid/3395887911.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:04:58-05:00,emailnotfound
my lovely friend lisa needs ride to raleigh (raleigh area from myrtle),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3412199812.html,please call her at 8434464673 lisa,2012-11-15T15:57:02-05:00,emailnotfound
need a ride (ws greensboro hickory),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3411380271.html,i will be leaving the shallotte area next wednesday or am thursday. i am dring an extened pick up an will carry a small load. i am asking help for gas. 910-540-0825,2012-11-15T10:41:14-05:00,emailnotfound
need a ride (ws greensboro boone),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3411369088.html,i will be leaving the shallotte area next wednesday or am thursday. i am driving an extended pick up and will carry a small load. i am asking half for gas. 910-540-0825,2012-11-15T10:36:22-05:00,emailnotfound
anyone want a ride to chicago? 28th 29th (myrtle beach to chicago),myrtlebeach,http://myrtlebeach.craigslist.org/rid/3398243517.html,"driving to chicago from myrtle beach . leaving mid next week or the end of november 28th or 29th 
only taking people who would be kind enough to help out with gas, i am being kind enough to provide transportation. would not mind dropping off somewher [...]",2012-11-14T10:45:14-05:00,emailnotfound
