title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed: nola to the bay area,neworleans,http://neworleans.craigslist.org/rid/3417833864.html,"hellooooo craigslist! 
i am looking for a ride to the bay area next week. i need to make it out there by december 1st at the latest, ideally a day or two sooner. i have money for gas. please let me know if you'll be heading that way! thank you :) ",2012-11-18T02:04:04-06:00,emailnotfound
ride offered nola to atl (new orleans),neworleans,http://neworleans.craigslist.org/rid/3417661700.html,"on thanksgiving morning around 7am, i am driving from new orleans to atlanta to see family. i am looking for a hygienic rideshare to split gas in my economical hyundai accent. please send me an email if you are interested. 
nate",2012-11-17T22:35:03-06:00,emailnotfound
philly/nj to nola (s. jersey to nola),neworleans,http://neworleans.craigslist.org/rid/3417586643.html,"trying to leave tuesday morning from s. jersey to go to nola. would prefer to stop one night in tn. e-mail me for details. smoking is okay, stick shift, honda civic. really no room for your possessions unless very small. ",2012-11-17T21:31:53-06:00,emailnotfound
to houston/austin (metairie),neworleans,http://neworleans.craigslist.org/rid/3417428964.html,"rider needed leaving from new orleans sunday nov 18., 6am to houston, final destination austin. share driving, $50 for gas. 
contact. five hundred and four 621-5910",2012-11-17T19:41:32-06:00,emailnotfound
are u headed to morgan city/new iberia/laf/baton rouge fm airport/area (monday @ louis armstrong airport 2 sw la),neworleans,http://neworleans.craigslist.org/rid/3417424317.html,any1 going to new iberia/morgan city/lafayette/baton rouge or the sw la. area that can give me a ride monday after 10:30 from louis armstrong airport or the surrounding area of n.o? i am not asking any1 to transport me that is not goin that way. must [...],2012-11-17T19:38:32-06:00,emailnotfound
"to portland oregon or kansas city mo (nola to ore, mo)",neworleans,http://neworleans.craigslist.org/rid/3373619344.html,"hello, myself and 2 well trained, non destructive pups kenneled who have been on long ride shares before with zero issues are in serious need to get to either portland or kansas city mo. i've reposted 2 seperate ride share postings now for a month an [...]",2012-11-17T17:48:22-06:00,emailnotfound
looking for ride to philly (nola to philly),neworleans,http://neworleans.craigslist.org/rid/3417042740.html,hey me and my dog are looking to catch a ride home for the holidays. i have gas money so if anyone is heading north i would love to catch a ride. im a skateboarder with a small pup and a few bags if you can help me out at all lemme know!@!,2012-11-17T16:12:35-06:00,emailnotfound
"ride or split a cab to airport, tuesday, 11/20",neworleans,http://neworleans.craigslist.org/rid/3416858296.html,"looking for a ride to msy or someone to share a cab with on tuesday, november 20th, around 5:30 a.m., can go earlier. also looking for a ride or cab share from the airport back into town, preferably somewhere around the garden district on saturday, n [...]",2012-11-17T14:49:49-06:00,emailnotfound
need a ride to ca by thanksgiving (nola),neworleans,http://neworleans.craigslist.org/rid/3407627042.html,"looking for a ride to los angeles or the bay area in time for thanksgiving (nov22) 
split gas, tolls, driving. licensed dl, clean record,can drive stick. 
we are 2 humans, one sweet & super chill 5month puppy & minimal baggage.",2012-11-17T14:48:25-06:00,emailnotfound
rideshare offered philly/nj to nola (nj to nola),neworleans,http://neworleans.craigslist.org/rid/3416558013.html,"hello, 
leaving southern nj outside of philadelphia on nov. 29th in a stick shift car for new orleans. spending one night in tn, location up for discussion. looking for someone to help with driving, gas, company on this long drive. 
please e-mail me. [...]",2012-11-17T12:49:05-06:00,emailnotfound
anybody needing a ride anywhere ? call anytime !!!! (only in s. louisiana // s. mississippi !),neworleans,http://neworleans.craigslist.org/rid/3416366308.html,"if u have to go somewhere in louisiana or mississippi then call me anytime . 
(504) 579 - 9044 mark ",2012-11-17T11:36:02-06:00,emailnotfound
offered to louisville today/lleva a louisville hoy,neworleans,http://neworleans.craigslist.org/rid/3415609061.html,"we will be driving a small rental car from new orleans to louisville today (saturday) and pushing on thru the night to get there by sunday at noon to turn in the car. 
not much room for bags, room for 1-2 people. 
call me asap: sevenseven3-791-1455 
 [...]",2012-11-17T01:25:33-06:00,emailnotfound
"kenner to raleigh nc (kenner,la)",neworleans,http://neworleans.craigslist.org/rid/3415301048.html,"heading to raleigh, nc on nov. 21 around noon and coming back on the nov. 25. 
if your heading that way lets ride together and let the hours go by.",2012-11-16T20:46:18-06:00,emailnotfound
