title,postingFrom,permalink,shortDescription,postingDate,mailToLink
i need a ride to nsu (norfolk--near nsu and ingleside sq apts),norfolk,http://norfolk.craigslist.org/rid/3417616675.html,i need someone to take me from my apartment in ingleside square apartments to norfolk state university's library tomorrow afternoon. i need to be there by 2:45. thanks. i will pay you $5 to drop me off. that is why it is best that you live near me... [...],2012-11-17T22:55:58-05:00,emailnotfound
leaving hampton roads within a week to ca (va to ca),norfolk,http://norfolk.craigslist.org/rid/3417117640.html,"i'm 24 and like bluegrass 
i'm not really wanting to rideshare but if someone is in need of a ride i felt i should offer. 
i plan on driving to northern ca and will be stopping 40minutes off course in omaha nebraska to purchase a camper shell for my  [...]",2012-11-17T17:48:29-05:00,emailnotfound
car service  (anywhere ),norfolk,http://norfolk.craigslist.org/rid/3416716246.html,"flat rates , we take you anywhere airports, hotels, hospital appt, busses and etc. call me 472-9060 no more high taxi rates!we go anywhere! 
moving services: cheaper than uhaul, no deposits, no gas per mileage and etc. you tell me where you wanna go, [...]",2012-11-17T14:51:13-05:00,emailnotfound
mobile auto mechanics   cheap and quick  757-580-0358 (beach norfolk chesapeake hampton ),norfolk,http://norfolk.craigslist.org/rid/3356505005.html,"we come to you 
no problem too big or small 
any make or model 
we fix it quick 
call or text anytime for questions or quotes at 757-580-0358 
thanks for looking",2012-11-17T11:58:11-05:00,emailnotfound
need ride (nashville tn to el paso tx),norfolk,http://norfolk.craigslist.org/rid/3416134034.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:04:42-05:00,emailnotfound
need a ride to walmart on nimmo pkwy at 2 (va beach),norfolk,http://norfolk.craigslist.org/rid/3416026089.html,my hubby really need a ride to nimmo pkwy at two. all he have is $10 and dats both ways or if anybody that is nice enough to give him a ride please call 757-528-6680 asap. we live in kempsville by da way. thank u so much.,2012-11-17T10:16:32-05:00,emailnotfound
newport news --&gt; roanoke area (newport news),norfolk,http://norfolk.craigslist.org/rid/3415582531.html,"looking for a ride from newport news to roanoke, va area or nearby. 
can leave late on tuesday 11/20 or early on 11/21. 
drop an email if you are headed that way. i'll respond with a call or my cell number. 
thanks 
jim",2012-11-17T01:50:31-05:00,emailnotfound
helping hands...... (all over),norfolk,http://norfolk.craigslist.org/rid/3415267026.html,"we do it all to: just laborers , movers, painters, skilled labors , cleaners ect.... we do it all if you want the lowest rates please call helping hands service at 757-6160732 or 757-779-6727 we will come to you we also provide all the man power or l [...]",2012-11-16T21:24:18-05:00,emailnotfound
newport news shipyard 1st shift (gloucester-northyard),norfolk,http://norfolk.craigslist.org/rid/3360396516.html,"i am looking for a reliable ride to the north yard for 1st shift from hayes/ordinary area, from some one who works there. please no replies from someone offering transportaion services. 
or looking for a passenger who wants a ride to the north yard.  [...]",2012-11-16T20:24:55-05:00,emailnotfound
odu to jmu tomorrow for the game (norfolk),norfolk,http://norfolk.craigslist.org/rid/3415122788.html,i am heading to harrisonburg to see those monarchs play tomorrow. i can take up to 3 people with me. i am just asking for you to pay some gas and help with parking. call or text if you need a ride. my cell is 804 615 1072 i do have an extra ticket av [...],2012-11-16T20:00:18-05:00,emailnotfound
va beach to quantico  (va beach),norfolk,http://norfolk.craigslist.org/rid/3413858008.html,im leaving from va beach to quantico taking 64 to 295 to 95 if you need a ride to somewhere in between let me know i could leave tonight or tomorrow,2012-11-16T11:25:41-05:00,emailnotfound
transportation services for seniors (hampton roads),norfolk,http://norfolk.craigslist.org/rid/3390012533.html,"transportation services for seniors 
references 
licensed 
please call wendy at 757-376-4740 ",2012-11-16T10:30:15-05:00,emailnotfound
swm driving south via 85 (norfolk-alabama),norfolk,http://norfolk.craigslist.org/rid/3413413211.html,"hey cl. my name is freddie. i'll be driving down 85 to alabama wednesday evening. i'll be coming back to va sunday. if anyone is going south anywhere off 85, i can giveu a ride. i know the atl is on the way but not sure what else. passengers must not [...]",2012-11-16T07:14:40-05:00,emailnotfound
