title,postingFrom,permalink,shortDescription,postingDate,mailToLink
needed from minocqua to chicagoland area (minocqua),northernwi,http://northernwi.craigslist.org/rid/3407203009.html,"looking for ride from minocqua, manitowish waters, or close proximity to chicagoland area specifically brookfield, il which is near main highways i294 and i55 
gas $ and willing to drive if needed 
i am looking to get back before new year, any date a [...]",2012-11-13T13:10:38-06:00,emailnotfound
needed: ashland to green bay or door county before/on thanksgiving (ashland),northernwi,http://northernwi.craigslist.org/rid/3406713741.html,"looking for a ride from ashland to either green bay or door county (specifically, sturgeon bay/forestville) over the thanksgiving holiday. probably one-way, since i'll be moving along south from there. i can pitch in on gas! thanks!",2012-11-13T10:15:16-06:00,emailnotfound
looking for ride from ashland to chicago/northwest indiana (ashland),northernwi,http://northernwi.craigslist.org/rid/3405427802.html,"looking for a ride to chicago/ northwest indiana sometime in the last weekend of november. 
can help pitch in for gas. 
flexible on the day/time of departure. 
please call (219) 921-4998",2012-11-12T17:34:29-06:00,emailnotfound
ride needed - platteville to madison on fri 11/16 (platteville),northernwi,http://northernwi.craigslist.org/rid/3404921370.html,"i'm looking for a ride from platteville to madison. 
leaving november 16th. i'm pretty laid back. if you want company and decent conversation to make the ride feel shorter i'm pretty good at that. i'm a psych major and love to meet people and hear st [...]",2012-11-12T14:17:11-06:00,emailnotfound
offering: webster wi to michigan and anywhere along the way! (wisconsin/michigan),northernwi,http://northernwi.craigslist.org/rid/3403317860.html,"im leaving webster wi hopefully on wed the 21st and returning that sunday the 25th. can pick up and drop off anywhere along the way. depending on your pick up and drop locations itll be about $20-40 a person. 
call or text 
715-338-6401. ",2012-11-11T20:46:18-06:00,emailnotfound
webster to michigan - need help moving!,northernwi,http://northernwi.craigslist.org/rid/3379745299.html,"i am moving to michigan from webster wi. if youre headed that way and have a truck i will be more than happy to compensate for gas and time. i am looking to move towards the end of the month possibly. 
715-338-6401",2012-11-01T14:00:32-05:00,emailnotfound
needing ride to boise idaho asap (pembine wi to idaho),northernwi,http://northernwi.craigslist.org/rid/3372795709.html,"hello all i need a ride from pembine wi, and heading to wisconsin. so if anyone can discuss money let me know i will do my best to accomdate when you email me we will discuss more please can someone help me asap",2012-10-29T12:35:40-05:00,emailnotfound
florida bound (rhinelander),northernwi,http://northernwi.craigslist.org/rid/3369296943.html,"husband and i are leaving for central florida tomorrow anyone wanting to help drive or pitch in for gas hauling an old camper trying to get there in three or four days 
call ruth at 715 three six two 2599",2012-10-27T16:28:46-05:00,emailnotfound
"needed: ashland to madison, week of nov. 26th (ashland)",northernwi,http://northernwi.craigslist.org/rid/3366234658.html,"howdy! i'm looking for a ride from ashland to madison sometime the week of nov. 26th, preferably before that friday. i'm attending a nerdy steampunk convention in madison that weekend, in case you're wondering. (it's called teslacon.) i'd be happy to [...]",2012-10-26T10:28:58-05:00,emailnotfound
needing ride to boise idaho (wisconsin to idaho),northernwi,http://northernwi.craigslist.org/rid/3349014733.html,"if anyone is heading to idaho or beyond that hits boise idaho please email me as soon as possible,i am looking to visit out there and will get way back just need way there so please hit me up 
niagara wi to boise id",2012-10-18T20:21:05-05:00,emailnotfound
ride needed to ashland mid-to-late oct. (madison to ashland),northernwi,http://northernwi.craigslist.org/rid/3328116971.html,"i need a ride from madison (or nearby) to ashland (or nearby) sometime mid-to-late october. i'm willing to go in for gas cost, and i can help drive, as well. contact me via email, and perhaps we can work something out! 
thanks!",2012-10-09T18:25:27-05:00,emailnotfound
r/t chicago to n.wisconsin (minoqua),northernwi,http://northernwi.craigslist.org/rid/3315744444.html,"want to leave from deerfield fri,sat,orsun--------------can take most any route call randy-------847 894 0648",2012-10-04T10:16:47-05:00,emailnotfound
