title,postingFrom,permalink,shortDescription,postingDate,mailToLink
a-reliable transportation services (marion county),ocala,http://ocala.craigslist.org/rid/3372354058.html,"do you need to go somewhere and have no way to get there? 
i have the solution! 
airports-school-work-church-doctor-disney-shopping or anywhere else, 
i can get you there cheaper than a taxi, safe and sound and at a price you can afford, 
full size s [...]",2012-11-17T19:07:42-05:00,emailnotfound
"share rides and earn money! (ocala, fl and surrounding region)",ocala,http://ocala.craigslist.org/rid/3407767700.html,"we are currently looking to fill available driving positions at boomerang transport, a health services transportation company dedicated to providing transportation to and from doctors appointments to injured workers. our workers enjoy a very rewardin [...]",2012-11-16T10:22:45-05:00,emailnotfound
truck headed to nc (75 north),ocala,http://ocala.craigslist.org/rid/3413499592.html,"we drove down from nc to see the family in central fl and are returning home on the 11/25. we have a topper on the bed of our truck and can deliver items anywhere along the i75 corridor, for a reasonable rate. ",2012-11-16T08:32:34-05:00,emailnotfound
"driving from fl to ca leaving tonight in truck 4 u/your stuff sat 17th (from naples, fl to los angeles, ca)",ocala,http://ocala.craigslist.org/rid/3382265112.html,"hi... 
hubby is returning back to los angeles from naples florida leaving tonight saturday 17th at about 5-6ish pm est. 
feel free and give me a call (much better than email and txt) to touch base if interested in a ride for you or ""stuff"" transporte [...]",2012-11-16T07:53:42-05:00,emailnotfound
discount travel for less to any state or city,ocala,http://ocala.craigslist.org/rid/3384888290.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:57:27-05:00,emailnotfound
travel anywhere to any state or city ,ocala,http://ocala.craigslist.org/rid/3398838648.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:02:49-05:00,emailnotfound
"need a ride to atlanta, ga (crystal river, fl)",ocala,http://ocala.craigslist.org/rid/3412380881.html,"i have 100+ bucks for a ride from crystal river, florida to atlanta, ga any time around the end of the month, thru early december. 
i'm moving up there, but i can travel light (just a few luggage cases, bags of clothes, some rubbermade bins). i could [...]",2012-11-15T17:13:42-05:00,emailnotfound
xmas  in michigan (w chapel),ocala,http://ocala.craigslist.org/rid/3412201095.html,going to michigan leaving dec23 return approx 10 days later people or transport ??,2012-11-15T15:57:33-05:00,emailnotfound
need ride to elkhart indiana south bend (forest corners ocala forest),ocala,http://ocala.craigslist.org/rid/3400666391.html,hello iam looking for a ride to elkhart indiana south bend area or close if anyone is heading this way can pay 80.00 to help with gas maybe 100.00 if i can get real close my cell is 727-251-8413 or email me anytime thanks for the help and good week t [...],2012-11-15T12:15:17-05:00,emailnotfound
going to west palm beach (ocala),ocala,http://ocala.craigslist.org/rid/3410514471.html,"i'm traveling through ocala going south - west palm beach, lake worth, etc. i'll be in ocala tomorrow in the afternoon between 2-5pm. 
i'm a responsible, upstanding, professional and easy-going male. 
if interested, contact me immediately. you must b [...]",2012-11-14T20:45:30-05:00,emailnotfound
over the river & through the woods (marion county),ocala,http://ocala.craigslist.org/rid/3370339360.html,"over the river & through the woods- 
(scroll down to see rest of ad) 
if its to grandmas house 
shopping 
school 
airport 
or somewhere in-between 
maybe i can help 
retired police officer can take you there and back if you desire for less than the p [...]",2012-11-14T16:05:18-05:00,emailnotfound
i need a ride to tallahassee wed 11/14 any time (villages / lady lake/wildwood),ocala,http://ocala.craigslist.org/rid/3408567618.html,"wed today 11 /14/12 i need a ride to tallahassee 
i a in the villages or can meet you at 1-75 and 44 
michele 352-223-8262",2012-11-14T02:38:25-05:00,emailnotfound
looking for carpool daily to gainesville (hwy 19 n inglis ),ocala,http://ocala.craigslist.org/rid/3402382194.html,i am looking to carpool to gainesville daily from inglis area. i work in nw gainesville by the college. i leave inglis at 6:15 am and return from gainesville at approx. 6 pm mon- friday. if you do a similar commute we can share the gas expense!!! i t [...],2012-11-11T13:45:32-05:00,emailnotfound
