title,postingFrom,permalink,shortDescription,postingDate,mailToLink
share gas to texas dallas fort worth (dallas),okaloosa,http://okaloosa.craigslist.org/rid/3417905749.html,anyone interesting to get a ride from fort walton beach to dallas/fort worth share the gas expense. anywhere in between can drop you off. need reference driver license to ensure not a criminal. will be leaving on tuesday afternoon nov. 20 and will be [...],2012-11-18T05:33:07-05:00,emailnotfound
"idaho falls, idaho (fort walton beach)",okaloosa,http://okaloosa.craigslist.org/rid/3402034503.html,"is anyone heading out west towards idaho? not planning on leaving until january 2013. single woman needing to start over. of course i will pay my share. but remember, this is business only. thank you and have a blessed day.",2012-11-16T19:08:42-05:00,emailnotfound
going west for thanskgiving (from fwb),okaloosa,http://okaloosa.craigslist.org/rid/3385480863.html,driving to california for thanksgiving. anybody need a ride. can drop off. should be a 4 or 5 day trip. small animal and smokers ok. gay or bi a plus john fwb. ,2012-11-16T16:41:51-05:00,emailnotfound
san diego (from fwb),okaloosa,http://okaloosa.craigslist.org/rid/3384897393.html,driving to san diego for thanksgiving. any body need a ride. small anamial and smoking ok: gay or bi a plus john fwb ,2012-11-16T16:41:34-05:00,emailnotfound
new transportation jobs open (okaloosa/walton and surrounding area),okaloosa,http://okaloosa.craigslist.org/rid/3397326366.html,boomerang transport is now hiring reliable individuals to fill recently available medical chauffeur positions. boomerang transport drivers are primarily responsible for taking injured workers to and from their physical therapy sessions and doctors ap [...],2012-11-16T10:22:17-05:00,emailnotfound
"school/work transportation (fort walton, mary esther, hurlburt field, eglin)",okaloosa,http://okaloosa.craigslist.org/rid/3339486894.html,"jackson transportation services is now offering a daily shuttle service. if you would like to be a passenger please contact our dispatch at 850-357-1200. 
work rate for fort walton beach/mary esther (excluding florosa)/wright/shalimar 
transport to w [...]",2012-11-12T12:41:32-05:00,emailnotfound
going to minnesota/wis (minneapolis/spooner),okaloosa,http://okaloosa.craigslist.org/rid/3370228482.html,"hi, im leaving either the 31st or the 1st of november to minneapolis. so, i go thru al, tenn, ky,ill, wisconsin..... would be nice to have some company along the way... maybe help with the drive? not necessary tho. let me know...... ",2012-10-30T10:44:02-04:00,emailnotfound
looking for traveling companion (fwb),okaloosa,http://okaloosa.craigslist.org/rid/3317620586.html,"looking for a traveling companion around my age 70. prefer fem. smoker and small pet ok. must have drivers license and be in good health, and share expenses and not snore and watch tv in bed. drinking ok but not a drunk. i don't drink or smoke. widow [...]",2012-10-29T09:42:34-04:00,emailnotfound
ride from pan handle to new england  (defuniak),okaloosa,http://okaloosa.craigslist.org/rid/3368219600.html,looking for someone heading north next weekend i'm going to nh if there is anyone out there email please thanks steve,2012-10-27T09:29:48-04:00,emailnotfound
bike ride,okaloosa,http://okaloosa.craigslist.org/rid/3360330539.html,new in town and looking for someone to ride with. preferably street bikes ,2012-10-23T19:28:21-04:00,emailnotfound
to ky,okaloosa,http://okaloosa.craigslist.org/rid/3341092412.html,"i am looking to catch a ride with anyone that is heading north . im heading to frankfort,ky but any where in ky i can get a ride from there . i have not money just want to go back home to work so i can have some money",2012-10-15T16:18:47-04:00,emailnotfound
looking for rideshare (mary esther to hurlburt field),okaloosa,http://okaloosa.craigslist.org/rid/3337185624.html,need rideshare or van pool weekdays approximately 7:00 to 4:30. ,2012-10-13T19:13:16-04:00,emailnotfound
ew ride share  (bwb to pen  eve/am),okaloosa,http://okaloosa.craigslist.org/rid/3335511364.html,looking for help with fuel to car pool bwb area to pensacola late shift sun-thur,2012-10-13T01:02:10-04:00,emailnotfound
cab or ride? ?,okaloosa,http://okaloosa.craigslist.org/rid/3334515440.html,"i need a ride for myself and two boys to the airport tomorrow, and the shuttles say it'll be 30 dollars, even thought i'm only 7 miles from the airport.. any cheaper suggestions? it'd be appreciated :)",2012-10-12T15:42:15-04:00,emailnotfound
"fwb to greensboro, nc",okaloosa,http://okaloosa.craigslist.org/rid/3321098990.html,looking for a ride in the next week or so if anybody is headed up north. i do have a little luggage and i'm willing to help out on gas until my stop.,2012-10-06T16:28:58-04:00,emailnotfound
