title,postingFrom,permalink,shortDescription,postingDate,mailToLink
gay guy looking for a ride to dhs (palm springs),palmsprings,http://palmsprings.craigslist.org/rid/3417899284.html,"gay guy is looking for a ride between ps and dhs. day has not been set up but soon. using a spa for part of a day.also, is there any resorts that cater to gay guys. really would like to spend an evening there before going back. small motel, even a ga [...]",2012-11-18T02:18:17-08:00,emailnotfound
need a ride to oklahoma citt ,palmsprings,http://palmsprings.craigslist.org/rid/3417713943.html,my fiance and i would love a ride to oklahoma city or as close as possible we would like to leave as close to thanksgiving as possible we will pitch in for gas we would really appreciate this :) feel free to call us at 7606609697 hope to hear from yo [...],2012-11-17T21:25:07-08:00,emailnotfound
going to las vegas 11-20-2012 (coachella valley),palmsprings,http://palmsprings.craigslist.org/rid/3417171036.html,"i will be travelling to las vegas on 11-20-2012 through yucca valley. i have room for 2 riders and some luggage. mature, non smoker here in a safe suv. share gas. use email contact above with your contact information asap.",2012-11-17T15:15:22-08:00,emailnotfound
my car & gas - you drive san diego - palm desert (going 11/21 reverse 11/23),palmsprings,http://palmsprings.craigslist.org/rid/3416724692.html,i am going from the san diego area to palm desert on 11/21 afternoon. i don't like driving and am offering free transportation to someone willing to drive my car. i'm returning on 11/23 - same deal. you need to provide personal references and know th [...],2012-11-17T11:54:36-08:00,emailnotfound
need ride from ps to phx nov fri 23rd (indian cyn &amp; 10 fwy),palmsprings,http://palmsprings.craigslist.org/rid/3416397582.html,"easy going creative professional male needs ride to phx to pick up my car in cent phx camelback and 7th ave, day after thanksgiving. non smoking mellow. clean respectful. appreciate the lift. have a great day. call adam *cell 808 281 8088, thanks",2012-11-17T09:47:58-08:00,emailnotfound
"spiritual caregiver  ride's to doctor's grocery shop,errands (looking for a few hours a day part time )",palmsprings,http://palmsprings.craigslist.org/rid/3360176128.html,"spiritual caregiver - 420 friendly just be you . namaste (looking for a few hours a day part time ) 
daily assistance with: 
taking medications 
preparing meals 
laundry 
grocery shopping 
errands 
light housekeeping 
encouraging support keeping your [...]",2012-11-17T07:32:51-08:00,emailnotfound
"anyone going to dallas, texas 11/22",palmsprings,http://palmsprings.craigslist.org/rid/3409845089.html,"need a ride to dallas, texas next wednesday will share and help with gas anmd driving chores. just need room for 2 adults. 
e mail me your contact info and internary.",2012-11-16T12:43:59-08:00,emailnotfound
best airport shuttle (951) 275-7799 (inland empire airports rides),palmsprings,http://palmsprings.craigslist.org/rid/3374114649.html,"we offer the best rates to all airports. unlike other shuttle services we are a non stop service to your destinationand we do not charge per customer and only you and the driver will be in the car, this is a non stop service with a private driver and [...]",2012-11-16T09:43:10-08:00,emailnotfound
la quinta/palm spgs to l.a. need ride (to my repaired car w/la),palmsprings,http://palmsprings.craigslist.org/rid/3413826921.html,"need a ride to pick up my car in la....i went to visit newborn grandson and car broke.....my daughter can pick me up somewhere there, so..i can get a ride from most anywhere in la once i am there....so the drop off point is not too important......i a [...]",2012-11-16T08:13:56-08:00,emailnotfound
personalized driver (cochella valley),palmsprings,http://palmsprings.craigslist.org/rid/3384493935.html,"need a reliable ride? i'm your man. want to sit back and enjoy the ride and not have to fight traffic? rides out on the town, out of town, to the airports etc.. i have a clean driving record. i have my driving record available from the dmv. reference [...]",2012-11-15T23:43:35-08:00,emailnotfound
carpool/rideshare (ios/android),palmsprings,http://palmsprings.craigslist.org/rid/3345419868.html,"hello ride-sharers/carpoolers, 
best carpool/rideshare app (ios and android) 
240 cities, 28 countries and growing... 
you just put your start and destination on system and leave the match/sort on to the system intelligence. filter results by ratings [...]",2012-11-15T16:57:41-08:00,emailnotfound
ride offered fri 11/16 (palm desert to san diego),palmsprings,http://palmsprings.craigslist.org/rid/3412514757.html,"driving from palm desert to san diego friday nov. 16, leaving between 4 and 5 pm. if interested in a ride back, will return on sunday, time is flexible. can accept up to three passengers and have luggage space. shared gas between total number of peop [...]",2012-11-15T15:13:41-08:00,emailnotfound
cheap rides to any state or city,palmsprings,http://palmsprings.craigslist.org/rid/3400896789.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T15:02:52-08:00,emailnotfound
"ride offered today nov.15th, san bernadino to pheonix, then tucson, az (san bernadino pheonix tucson/ stops made)",palmsprings,http://palmsprings.craigslist.org/rid/3411951270.html,"call for ride asap 425-269-8094. going today, nov. 15th, from san bernadino, california to pheonix then tucson, arizona, sometime afternoon. can make stops in between to pick-up or drop-off. call me for arrangements. i am in bakersfield now, driving  [...]",2012-11-15T11:18:02-08:00,emailnotfound
"palm springs to santa cruz , ca or sf (i'm in palm springs now)",palmsprings,http://palmsprings.craigslist.org/rid/3411763480.html,"hi there 
looking for a ride up to santa cruz. 
or if going to sf 
let me know 
thank you a lot ",2012-11-15T10:09:02-08:00,emailnotfound
rent my 2010 jeep patriot for $49.00/day (palm springs),palmsprings,http://palmsprings.craigslist.org/rid/3410936865.html,"rent my 2010 jeep patriot in desert hot springs this is a nice jeep, it has shiftless shifting which is pretty cool. runs smoothly, nice sound system, and the seats fold down flat so it's great for moving things. there's also a roof rack so you can t [...]",2012-11-14T23:37:44-08:00,emailnotfound
have room for traveler (29 palms - san diego),palmsprings,http://palmsprings.craigslist.org/rid/3410613651.html,hola - leaving friday afternoon from 29 palms mcb heading to n san diego county area on my weekly commute home. those in need of transportation through this area can send me a note and perhaps we can make plans. please only what most idividuals would [...],2012-11-14T18:43:54-08:00,emailnotfound
sharing my ride (indio-orange county),palmsprings,http://palmsprings.craigslist.org/rid/3409769741.html,"sharing my ride to oc ( garden grove)4 gas...friday's @3pm , car 350 er lexuse 2012.. .... you can reach me via. email via craigslist. thanx daniel ",2012-11-14T12:11:36-08:00,emailnotfound
need ride to long beach/ la,palmsprings,http://palmsprings.craigslist.org/rid/3408574208.html,"hi, looking for ride to la or long beach, can pitch in for gas 
cheers 
shawn",2012-11-13T23:49:57-08:00,emailnotfound
"roundtrip, p.s. to san bernadino (palm springs)",palmsprings,http://palmsprings.craigslist.org/rid/3408485123.html,"need ride to medical appointment, and back. will make appt soon. please call with & contact information, & cost. thank-you, (760)-567-7115",2012-11-13T21:47:43-08:00,emailnotfound
ride needed from ps to phx (palm springs),palmsprings,http://palmsprings.craigslist.org/rid/3390052213.html,"looking for a ride from palm springs to phoenix any day this week. i am traveling with my small dog, i have a travel dog crate and she is no problem at all and travels well. i am in warm sands and can be dropped off on the west side of phoenix and so [...]",2012-11-13T21:21:20-08:00,emailnotfound
