title,postingFrom,permalink,shortDescription,postingDate,mailToLink
nepa to fl or between (18706 to 32952),poconos,http://poconos.craigslist.org/rid/3412466886.html,"haul u or ur items 
11/22 239-745-5265",2012-11-18T00:17:32-05:00,emailnotfound
personal driver available regional or east coast to florida (nepa/ nj/ ny to/fm fl),poconos,http://poconos.craigslist.org/rid/3387601986.html,"retired professional driver with 30 years driving experience available for hire 24 /7. i can do local or long distance runs anywhere along the east coast from ny to florida in your vehicle or in one of my vehicle's, 4 door sedan or mini-van, both reg [...]",2012-11-16T22:39:25-05:00,emailnotfound
i can take you to work (stroudsburg),poconos,http://poconos.craigslist.org/rid/3411447840.html,"hi i am registered with the website, rides2work.com, and i can provide rides to people in the pocono region. 
i work first shift 7:00 am to 3:00pm in the butler industrial park in stroudsburg. and i live in tannersville. 
if anyone lives in tannervil [...]",2012-11-15T11:09:46-05:00,emailnotfound
rides to any where any time (any),poconos,http://poconos.craigslist.org/rid/3406023416.html,"need a ride just give a call anytime to anywhere low rates. don't pay alot of money give us a call 570-446-4086 ask for john here are some rates if you don't see it here call. 
scranton to scranton $5.00 
scranton to moscow $15.00 
scranton to bingha [...]",2012-11-13T00:27:42-05:00,emailnotfound
driver available (poconos monroe county),poconos,http://poconos.craigslist.org/rid/3395352595.html,"mature gentleman willing to take you locally to get your chores done-grocery shopping, doctor's visits,shopping at the mall,etc.job priced when you call- ralph 570-233-0167",2012-11-08T11:58:01-05:00,emailnotfound
snowbird vehicle transport (pa),poconos,http://poconos.craigslist.org/rid/3385361077.html,"winter is on its way! if you are heading south and would like to have your vehicle driven to you, i am the man for the job. i am 43, with no tickets or accidents in the past 20 years. i can provide references, and i am a non-smoker and non-drinker. i [...]",2012-11-04T01:16:07-04:00,emailnotfound
ride offered - jim thorpe to king of prussia on mon 10/29 (jim thorpe),poconos,http://poconos.craigslist.org/rid/3372746139.html,"i'm offering a ride from jim thorpe to king of prussia. leaving today or tomorrow. i'm leaving from bear creek lake on 903. will pick up anywhere near by. jim thorpe, lehighton, beltzville, penns peak
leaving october 29th returning november 1st. $30  [...]",2012-10-29T13:18:07-04:00,emailnotfound
heading to utah,poconos,http://poconos.craigslist.org/rid/3372125467.html,"i'm looking to head out to utah by about november 4. then heading back around the 15th. if you're looking to go somewhere in that direction, and willing to share expenses, drop me a line. 
thanks.",2012-10-29T08:34:41-04:00,emailnotfound
need ride from whippany to lords valley tomorrow (lords valley pa),poconos,http://poconos.craigslist.org/rid/3370784458.html,have no wheels to get home from storm tomorrow and not looking to be stuck in nj. anybody heading from nj up to the poconos after 10 am monday the 29th?,2012-10-28T14:27:45-04:00,emailnotfound
asap -driver needed! (tobyhanna),poconos,http://poconos.craigslist.org/rid/3357250650.html,"hired a driver - he drove for us several times and i paid him per trip. last week i paid him in advance - he left my husband, me and our 6 week old at the doctor in stroudsburg with no way home. 
currently, i must get to rite aid in carriage square a [...]",2012-10-22T15:26:20-04:00,emailnotfound
ride needed to miami (stroudsburg),poconos,http://poconos.craigslist.org/rid/3339734993.html,"i am looking for a ride from stroudsburg, pa to miami, fl. end of of this week or asap. 
will help with expenses. 
please contact me if you are going in that direction. 
john",2012-10-15T03:16:44-04:00,emailnotfound
fifth wheel (stroudsburg pa),poconos,http://poconos.craigslist.org/rid/3336755498.html,"hi,we need a 38 ft fifth wheel moved from stroudsburg pa zipcode 18360 to jensen beach florida october 22-october 31 flexible with these dates.the trailer weighs 11,680 pounds.if interested please call lydia or bryan 772-621-0904,",2012-10-13T15:44:01-04:00,emailnotfound
drivers wanted: east stroudsburg to milford area (monroe &amp; pike co.),poconos,http://poconos.craigslist.org/rid/3326938489.html,"due to our rapid growth we are in need of reliable drivers for our daily routes from east stroudsburg to milford, dingmans ferry area for local real estate foreclosure inspections. our typical route is about 4-6 hours per day mon-sat. we offer the hi [...]",2012-10-09T11:48:50-04:00,emailnotfound
"fem wanted for carpool to nyc (bushkill, pa)",poconos,http://poconos.craigslist.org/rid/3325873375.html,"looking for female to carpool to nyc. must smell nice. no funky monkeys...smokers probably wont qualify, or people that are constantly sick. commuting with male in newer economy car that knows how to take care of himself hygienically. leaves pa at 5: [...]",2012-10-08T20:33:04-04:00,emailnotfound
looking for a ride,poconos,http://poconos.craigslist.org/rid/3323222848.html,"i am looking for someone to drive me into valhalla, ny to westchester medical center. i live in kunkletown,pa . please contact me for i will need help for more that a few months time.",2012-10-07T18:05:56-04:00,emailnotfound
"commute daily from milford to wharton (milford, pa to wharton, nj)",poconos,http://poconos.craigslist.org/rid/3320319939.html,"share the ride monday through friday, leaving milford, pa at 7:15 am then leaving wharton, nj at 3:30 pm. 
1 block from saint clair's hospital on r. t46.",2012-10-06T11:09:30-04:00,emailnotfound
looking for rideshare from jimthorpe to lehighton (4:45 p.m depart jt),poconos,http://poconos.craigslist.org/rid/3319415636.html,"hello, 
i have just aquired a job on first street in lehighton and am in need of tranportation leaving from jim thorpe anywhere between 4-4:30 p.m. thursday and friday on a weekly bases. i am willing to chip in on gas for whoever may be goin that way [...]",2012-10-05T20:45:09-04:00,emailnotfound
