title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ride needed december 1st, am (albany, ny)",providence,http://providence.craigslist.org/rid/3417940851.html,will pay $20.,2012-11-18T06:47:06-05:00,emailnotfound
opportunities for car owner (providence),providence,http://providence.craigslist.org/rid/3416655353.html,use your car to make money relayrides car sharing marketplace. nationwide liability insurance policy. click here ,2012-11-17T14:27:02-05:00,emailnotfound
fort lauderdale bound have some $ to share need ride (ri),providence,http://providence.craigslist.org/rid/3390764273.html,please contact it's gonna be a cold winter here i'm southbound,2012-11-17T10:22:21-05:00,emailnotfound
pvd to philadelphia- thanksgiving day,providence,http://providence.craigslist.org/rid/3414342088.html,will leave in mid-morning from pvd. ,2012-11-16T14:22:32-05:00,emailnotfound
moving and storage: man with a van (rhode island),providence,http://providence.craigslist.org/rid/3414102439.html,"man with a van with enclosed cargo trailer for new or used furniture, light moves, and appliance pick-up etc. very reasonable. call doug 401-433-4921 24 hours a day.",2012-11-16T12:55:12-05:00,emailnotfound
airport transportation (rhode island),providence,http://providence.craigslist.org/rid/3414078523.html,"reliable and dependable non-smoking, non-drinking 42 year old man with comfortable ls mini van for pickups to and from airports for 2-4 passengers and luggage. 
tf green $50 one way or $75 round trip to or from anywhere in ri 
logan $75 one way or $1 [...]",2012-11-16T12:46:40-05:00,emailnotfound
moving and storage: man with a van (rhode island),providence,http://providence.craigslist.org/rid/3414075226.html,"man with a van with enclosed cargo trailer for new or used furniture, light moves, and appliance pick-up etc. very reasonable. call doug 401-433-4921 24 hours a day.",2012-11-16T12:45:27-05:00,emailnotfound
need driver to ny from ri (coventry to ny),providence,http://providence.craigslist.org/rid/3413926484.html,we are going to ny on noveber 28th-30th. rented a 15 passenger van and need a driver. your hotel will be paid for and we can negotiate pay for your time. we will also pay for all of your meals needed for the 3 days. you can choose to help us with the [...],2012-11-16T11:51:11-05:00,emailnotfound
carpool to providence or so. attleboro train station,providence,http://providence.craigslist.org/rid/3413808667.html,need ride to either south attleboro or providence train station monday through friday from johnston. must be to train station by 7 am.,2012-11-16T11:06:49-05:00,emailnotfound
offering thanksgiving ride: pvd to rochester ny,providence,http://providence.craigslist.org/rid/3413655138.html,"i'll be driving from providence to rochester ny and back, probably wednesday-sunday around thanksgiving. let me know if you want a ride. ",2012-11-16T10:01:21-05:00,emailnotfound
share a party bus  (seekonk),providence,http://providence.craigslist.org/rid/3413375061.html,party bus gone wild $45 a person 16 person minimum fits 20 people ri prices for the winter . please dont drink and drive call 1-401-523-7550 . https://www.facebook.com/limo.dinsmore,2012-11-16T06:17:31-05:00,emailnotfound
