title,postingFrom,permalink,shortDescription,postingDate,mailToLink
birdsboro to tampa (birdsboro),reading,http://reading.craigslist.org/rid/3402675288.html,leaving around thanksgiving or sooner. looking to share cost 50/50,2012-11-17T21:26:40-05:00,emailnotfound
rideshare from reading area to fredericksberg (reading pa to fredericksberg va),reading,http://reading.craigslist.org/rid/3411898675.html,"hi, 
i'm from england and travelling around the us. i would like to head down to fredericksberg on or around the 20th november from the reading area. 
i am happy to split fuel costs. 
please get in touch with me if you are heading in that direction,  [...]",2012-11-15T13:58:44-05:00,emailnotfound
new york to pottsville/pottsville to new york needed occasionally (pottsville),reading,http://reading.craigslist.org/rid/3398061054.html,"new york to pottsville 
or 
pottsville to new york 
one way or two ways needed. 
can share for gas. 
thanks 
sonia 
917-285-1150",2012-11-12T13:16:43-05:00,emailnotfound
looking for ride nc to pa (pa),reading,http://reading.craigslist.org/rid/3380304387.html,"looking for someone who may be moving north that possibly has room for a 10x 10 storage full of stuff to get from fayetteville nc to near reading pa can help with gas money , or even someone with a truck and trailer doees not have to be right away le [...]",2012-11-07T09:56:55-05:00,emailnotfound
need ride from jfk or nyc to harleysville 12/19,reading,http://reading.craigslist.org/rid/3381188972.html,"hi i need a ride from jfk on 12/19 about 1:30-2:00pm or after, going to harleysville or lansdale souderton doylestown area. i can also take the train into nyc to meet you. i will have only a small carry-on. will share gas money, tolls, and driving if [...]",2012-11-02T08:59:51-04:00,emailnotfound
travel for less to anywhere look,reading,http://reading.craigslist.org/rid/3334580991.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T20:56:51-04:00,emailnotfound
limousine service,reading,http://reading.craigslist.org/rid/3310726516.html,"make your special event more special. we provide limousine service at great rates. we do wedding, proms, anniversaries, sweet sixteen, and airport runs. why drink and drive when you can hire a limo for your bachelor party, eagles game, or a night on  [...]",2012-10-28T16:21:04-04:00,emailnotfound
limousine service,reading,http://reading.craigslist.org/rid/3308597066.html,"make your special event more special. we provide limousine service at a great price! we do weddings, anniversary, proms, sweet sixteen, and airport rides. why drink and drive, hire us for your bachelor party, eagles games, or a night on the town. cal [...]",2012-10-28T11:57:52-04:00,emailnotfound
need a ride to union city nj  (allentown pa ),reading,http://reading.craigslist.org/rid/3368456681.html,"if you need a ride to union city or nearby 
im leaving allentown tonight around 6pm 
$20.00 a person ",2012-10-27T11:30:29-04:00,emailnotfound
 do u need a ride anywhere  (sinking spring/travel ),reading,http://reading.craigslist.org/rid/3368378377.html,my name is jonathan rivera i have a nice 2002 mercades benze ml320 suv it is insured and i have my licens looking to make money will take u we're u need to go and pic u up we're ever u are u can call or tex for faster respons @ 6107904461 thank you ,2012-10-27T10:55:51-04:00,emailnotfound
ride from reading to philadelphia airport (reading),reading,http://reading.craigslist.org/rid/3360323626.html,anyone need a ride on friday 2nd november early morning to philadelphia airport from reading or somewhere on my way from reading to philly! $30 - $40 cash!!!,2012-10-23T19:25:08-04:00,emailnotfound
driver available,reading,http://reading.craigslist.org/rid/3314095018.html,"call for rates, any time, any place. 610-780-0142",2012-10-22T13:43:01-04:00,emailnotfound
ride needed (sch. haven to minersville),reading,http://reading.craigslist.org/rid/3332422388.html,"my son is in need of a ride home from work 5 days a week, weds thru sunday.... he works til 11/11:30 most nights. if anyone can help him, this would be greatly appreciated., .. he is willing to pay for your time and gas, if resonable! thanks for your [...]",2012-10-11T17:22:36-04:00,emailnotfound
needed: delivery of items from pa (pine grove to co ),reading,http://reading.craigslist.org/rid/3327940245.html,i am looking for someone who is coming to colorado or through colorado that has some room in truck or trailer to deliver some of my belongings that i had to leave behind. if you think you can help email me please. ,2012-10-09T18:03:35-04:00,emailnotfound
