title,postingFrom,permalink,shortDescription,postingDate,mailToLink
salem to eugene  sunday 18th (united states),salem,http://salem.craigslist.org/rid/3417662638.html,sunday 18th need ride salem to eugene 8:30 am and also return 6:45pm leaving eugene back to salem...can help with gas.....jim,2012-11-17T20:35:57-08:00,emailnotfound
reg rideshare wanted (mcminnville to salem),salem,http://salem.craigslist.org/rid/3405569377.html,"want to share costs of commuting to salem mon- fri. i work at willamette university and live in mcminnville. have reliable transportation, but want to share ride costs. share by taking your car then my car, or you ride with me and just share cost of  [...]",2012-11-17T09:10:07-08:00,emailnotfound
"small truck to medford, or.  (salem)",salem,http://salem.craigslist.org/rid/3381461618.html,"i want to travel to medford, or sometime in nov. will need to drive my 14' van truck for business purpose in medford. will be going south empty so am able to haul items up to 2500lbs in weight. have a sturdy power lift to haul something as heavy as a [...]",2012-11-17T08:14:58-08:00,emailnotfound
salem to portland today very soon (salem),salem,http://salem.craigslist.org/rid/3414505105.html,"i'm a 29 yo female that's in need of a ride to portland here very soon and i don't have any money, but i really need to get there. if you can help please email me asap. thanks ",2012-11-16T12:24:29-08:00,emailnotfound
emergency ride to roseburg (salem to roseburg),salem,http://salem.craigslist.org/rid/3413586368.html,"good morning facebookers... i have a granddaughter that is having a baby today, and i need a ride to roseburg. this is my 'first' great-grandchild, and i'd like to be there. 
if i don't hear from a ride by 10am, i'll hitchhike... 
i know this is a lo [...]",2012-11-16T06:26:25-08:00,emailnotfound
salem to seattle sunday 18th (salem to seattle),salem,http://salem.craigslist.org/rid/3413267129.html,"i'm driving up to seattle from eugene, but i can stop by salem if someone needs a ride up to seattle. i'm be on a tight time limit so we would need to meet up right off of i-5. i'll be leaving eugene at noon. i'll make it up to salem within 1pm. $30  [...]",2012-11-15T23:52:45-08:00,emailnotfound
"ride offered to estacada, oregon (salem-estacada)",salem,http://salem.craigslist.org/rid/3410093675.html,"estacada is past mollala, which is north east from salem. 
we (2 of us) are leaving tomorrow morning around 7am. 
help with gas and you can ride 
http://www.pdxarea.com/map.asp?cid=15",2012-11-14T14:20:08-08:00,emailnotfound
rides to/from bay area (from salem/portland area),salem,http://salem.craigslist.org/rid/3408448969.html,my 13 year-old son and i need to be in the bay area from the november 29th through december 2nd and we are looking for rideshare opportunities. he is acting in a movie and the final scenes will be shot on november 30th & december 1st. we can leave as [...],2012-11-13T21:12:15-08:00,emailnotfound
need ride from keizer to woodburn,salem,http://salem.craigslist.org/rid/3407634004.html,"need ride from keizer to woodburn starting tm at 5:00 am going 
to a waste service my number is 850-376-2585 will pay for gas",2012-11-13T13:52:37-08:00,emailnotfound
ride needed to pdx 11/19 (salem to pdx),salem,http://salem.craigslist.org/rid/3405207776.html,"need a ride from salem to portland airport. or, a ride to portland so i can take the max straight to the airport. hoping to leave salem by 4p so i have enough time to catch my flight. 
will pay for gas money. 
please email so i can text/call and plan [...]",2012-11-12T14:02:44-08:00,emailnotfound
salem-portland/vancouver & back! (salem &amp; portland),salem,http://salem.craigslist.org/rid/3403462095.html,"hey guys. i'm chris. i'm a 27 year old headed from south salem to the portland/vancouver area on the 22nd. i'm going to be leaving in the morning around 10. i'll be driving a small neon and due to all the crap piled up in the back seats, i can carry  [...]",2012-11-11T20:32:17-08:00,emailnotfound
ride to california (bay area),salem,http://salem.craigslist.org/rid/3402664848.html,"ride offered south to northern cali 
possibly leaving tomorrow but more likely on tuesday 
want to ride along? help with gas 
going to bay area ",2012-11-11T12:54:27-08:00,emailnotfound
today--salem- i-5 south to grants pass (salem),salem,http://salem.craigslist.org/rid/3402405945.html,"in a couple of hours, i will be leaving salem to go to grants pass area and i have room for one rider cost with $25. email contact number if interested.",2012-11-11T10:56:10-08:00,emailnotfound
hare krsna (hillsboro(portland)),salem,http://salem.craigslist.org/rid/3402085688.html,"anyone want to ride with me to the hare krsna feast tonight? 
starts at 5pm wanna leave around 3pm from salem i think 
help cover the gas cost 
http://www.iskconportland.com/newsite/ssns/index.html",2012-11-11T08:30:23-08:00,emailnotfound
***do u want  something hauled/towed or a ride? im going to phoenix. * (971-388-5955),salem,http://salem.craigslist.org/rid/3394476496.html,"do u need a ride or something towed/hauled? i'm going to phoenix on monday the 12th. can take passenger s, tow 4 u, or haul something 4 u? i can drop u and/or your item off anywhere along way. eugene, medford/ashland,yreka, redding, sacramento,fresno [...]",2012-11-10T21:30:23-08:00,emailnotfound
ride from salem to seattle (salem or),salem,http://salem.craigslist.org/rid/3400695387.html,"hi, i would like to join anyone driving from salem, or, to seattle, wa anytime between 15th-17th of november. i am a responsible driver if you would like me to take over at the wheel for a bit. i can also provide snacks and probably a few stories. i  [...]",2012-11-10T13:17:01-08:00,emailnotfound
need ride south on 11/10 (salem to grants pass),salem,http://salem.craigslist.org/rid/3398824132.html,looking for a ride sat. from salem to grants pass. please call 503-580-7913. thank you.,2012-11-09T16:15:28-08:00,emailnotfound
