title,postingFrom,permalink,shortDescription,postingDate,mailToLink
personal / designated driver for hire.,sanantonio,http://sanantonio.craigslist.org/rid/3417760418.html,"you could just hire me by the hour to drive your own vehicle: 2 hour minimum required. 
$35 per hour to drive your own car as long as your car is insured. 
$47 per hour to drive my own insured vehicle. 
210.781.7244 
from san antonio, tx; 
san marcos [...]",2012-11-18T00:17:36-06:00,emailnotfound
"san antonio / austin to san francisco,ca nov30 later (san antonio, tx)",sanantonio,http://sanantonio.craigslist.org/rid/3378175665.html,"seek want san antonio, tx (take megabus downton to austin/ dallas / houston if need ) to san francisco bay area northern california (100 mile radius) destination after nov 30 . leaving departure time flexible asianleah (at) gmail (dot) com . share fu [...]",2012-11-17T15:58:00-06:00,emailnotfound
your ride is here!!!! (greater san antonio area ),sanantonio,http://sanantonio.craigslist.org/rid/3416928992.html,"if you need a ride to run an errand or just to get out for a ride somewhere, just call me and i will take you wherever you want to go. 
contact me now and lets discuss your needs. roomy ford taurus with tint windows, you sit in back and i drive you l [...]",2012-11-17T15:20:33-06:00,emailnotfound
in need of a ride to laredo texas for the weekends( fri-sun) (sa (nc)),sanantonio,http://sanantonio.craigslist.org/rid/3411902750.html,looking for a ride from here sa tx to laredo tx for the weekends from friday thru sunday coming back.will help with gas and driving if possible.i am clean cut. drug free and have never had any problems with the law.also a marine corps veteran with an [...],2012-11-17T13:06:03-06:00,emailnotfound
need ride to laredo tx  (sa tx),sanantonio,http://sanantonio.craigslist.org/rid/3411894650.html,"hello, 
i am in need of a ride to laredo tx if possible for the weekend if not just to be drop off.i can provide gas money and help with driving if possible.i am drug free with no bad habits and respectful.if you can help me please contact me at 956  [...]",2012-11-17T13:05:28-06:00,emailnotfound
"need ride to tacoma, wa (san antonio, tx)",sanantonio,http://sanantonio.craigslist.org/rid/3415880860.html,"i need a ride to tacoma, wa. will share gas/driving. anytime between the 20th & 25th of november. (210) 324-0335 ralph",2012-11-17T07:54:12-06:00,emailnotfound
"on time, everytime...taking you where you need to go s.a.! (san antonio)",sanantonio,http://sanantonio.craigslist.org/rid/3415691745.html,"seeking new clients... 
holidays are coming up make your reservation(s) today! 
need to get to work/school? on a budget? want to try out the service and see what others are admiring of it? 
experience this today! like the facebook page today and rece [...]",2012-11-17T03:53:25-06:00,emailnotfound
car pool / rideshare (downtown / dezavala 1604),sanantonio,http://sanantonio.craigslist.org/rid/3415546716.html,"hi i work monday thru friday off dezavala, going in the morning i drive from woodlawn area towards dezavala everyday of the week between 10am and returning in the evening around 8pm, so i am looking for someone to car pool with in my car. i have a sp [...]",2012-11-17T00:08:50-06:00,emailnotfound
"your very own personal / designated driver (san antonio, tx)",sanantonio,http://sanantonio.craigslist.org/rid/3415453448.html,"from san antonio to: 
victoria $115 
san marcos $45 
austin $77 
houston $175 
dallas $210 
corpus c $135 
bryan $135 
round rock $85 
laredo $155 
del rio $130 
uvalde $85 
eagle pass $135 
round trips for only $25 extra 
& includes 30 minutes of wa [...]",2012-11-16T22:39:57-06:00,emailnotfound
"need a ride to park city, utah?",sanantonio,http://sanantonio.craigslist.org/rid/3415218765.html,driving to park city/salt lake area between 11/25 & 11/28. looking for someone to split the gas and help me stay awake on the long trip. my dates are somewhat flexible.,2012-11-16T19:54:31-06:00,emailnotfound
san antonio(texas) to anaheim hills(cali) (10 interstate),sanantonio,http://sanantonio.craigslist.org/rid/3414895892.html,"i'm driving from houston texas to anaheim hills cali. i'm using the 10 interstate the whole way. i'll be leaving sometime saturday 11-17-2012. 
texas cities passing through. 
houston(main city), sugar land, seguin, san antonio(main city), boeme, comf [...]",2012-11-16T17:06:54-06:00,emailnotfound
dallas area for holidays (floresville - san antonio),sanantonio,http://sanantonio.craigslist.org/rid/3414181172.html,im going to the dallas area (waxahachie) for thanksgiving leaving monday 11-19- 12 coming back monday 11-26-12 have room for a non smoking drug free female to ride no pets unless caged going in the white p.u. im a white male nonsmoker 56,2012-11-16T12:23:31-06:00,emailnotfound
offering rides to the community... (sa tx),sanantonio,http://sanantonio.craigslist.org/rid/3409185733.html,"need a ride, just call me.... 
hello, i am available and offering rides to locals or tourist here locally in sa.i offer very reasonable and competitive rates depending on where we are going,if its a one way or roundtrip,and if i would have to wait fo [...]",2012-11-16T11:38:02-06:00,emailnotfound
full size truck to haul ur stuff (sa tx),sanantonio,http://sanantonio.craigslist.org/rid/3409179285.html,"full size truck to haul ur stuff (sa tx) 
hello, i have a full sized ford f 150 that i am offering to the community for them to haul anything personal or business from point a to point b.i offer very reasonable and competitive rates depending on wher [...]",2012-11-16T11:36:23-06:00,emailnotfound
needing ride to college station today (78238),sanantonio,http://sanantonio.craigslist.org/rid/3413366142.html,hello i need to get to college station before this afternoon. will pay for gas. 2107011708,2012-11-16T05:02:16-06:00,emailnotfound
needing a ride to alabama,sanantonio,http://sanantonio.craigslist.org/rid/3404395320.html,"hi i'm looking for a ride to alabama. if anyone is heading that way please email me to discuss the options. 
thank you",2012-11-15T23:37:42-06:00,emailnotfound
ride to any city or state for less,sanantonio,http://sanantonio.craigslist.org/rid/3384854790.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T17:57:33-06:00,emailnotfound
nationwide travel to any state or city for cheap,sanantonio,http://sanantonio.craigslist.org/rid/3402653531.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T17:06:58-06:00,emailnotfound
i am driving to new england (san antonio),sanantonio,http://sanantonio.craigslist.org/rid/3412195448.html,"i am driving to new england. i am leaving...i dunno, probably no later than monday. if you were to come along i would need gas money. hotel is negotiable. can't bring much more than a backpack, cuz i have all my stuff. 1 person only. 
get at me via e [...]",2012-11-15T14:55:17-06:00,emailnotfound
