title,postingFrom,permalink,shortDescription,postingDate,mailToLink
carpool app (ios/android),santabarbara,http://santabarbara.craigslist.org/rid/3394483069.html,"hello ride-sharers/carpoolers, 
best carpool/rideshare app (ios and android) 
you just put your start and destination on system and leave the match/sort on to the system intelligence. filter results by ratings, etc. 
using android/ios device? post yo [...]",2012-11-18T01:47:07-08:00,emailnotfound
ride offered - sb to bay area sunday 11/18,santabarbara,http://santabarbara.craigslist.org/rid/3417756396.html,"hey friends, 
my name is danny, i'm a 25 year old male, driving my 2006 jeep laredo to oakland tomorrow, sunday afternoon. i am a nice and trusting man. 
i'm looking for riders anywhere in between who can help with cost of gas. 
either e-mail the cra [...]",2012-11-17T22:12:37-08:00,emailnotfound
sb&gt;bay area... nov 19th,santabarbara,http://santabarbara.craigslist.org/rid/3417566952.html,"hey y'all! 
ill be heading up to the bay on monday around 2. i can drop you off as far north as the 101&92 intersection. 
if you don't smell, hit me up for a ride! 
i'm asking $25 for this trip! 
that's about all. ",2012-11-17T19:16:48-08:00,emailnotfound
"need a ride from sb to oc (westminster, orange county)",santabarbara,http://santabarbara.craigslist.org/rid/3417564705.html,"just looking for a ride from isla vista to oc. preferably tuesday night or wednesday morning. i got an appointment at 5pm on wednesday. go ahead and send me an email with your number if you're looking for someone to ride with you. 
thanks!",2012-11-17T19:15:04-08:00,emailnotfound
ride offered - santa barbara to berkeley on sun 11/18 (santa barbara),santabarbara,http://santabarbara.craigslist.org/rid/3416995679.html,"i'm offering a ride from santa barbara to berkeley. 
leaving november 18th. taking the 101 all the way, leaving early afternoon contact me on zimride: http://www.zimride.com/ride/share?ride=535247 
i drive a 2004 toyota solara. ",2012-11-17T13:50:34-08:00,emailnotfound
ride needed goleta-&gt;lax tues am--30$ (goleta),santabarbara,http://santabarbara.craigslist.org/rid/3416659271.html,"hi there-- 
two of us need a ride to lax from goleta/iv area on tuesday 11/18. our fight is a little after 12pm, so we are looking to depart anytime before ~8:30am. happy to throw in 30$ for gas. 
we have 1 pair of skis with us. 
please email me if y [...]",2012-11-17T11:28:34-08:00,emailnotfound
ride offered: goleta to east bay (goleta to danville),santabarbara,http://santabarbara.craigslist.org/rid/3416649822.html,"hey there, headed to bay area this afternoon/early evening or potentially tomorrow early. hoping to split gas ($35 for you) up there in my truck. plenty of space for bike or whatever. i am easy going, i teach gardening to kids at a local elementary s [...]",2012-11-17T11:24:51-08:00,emailnotfound
ride offered - santa barbara to sf on mon 11/19 (santa barbara),santabarbara,http://santabarbara.craigslist.org/rid/3416520019.html,"i'm offering a ride from santa barbara to san francisco. 
leaving november 19th returning november 20th. my dad is driving up from santa barbara to pick me up in sf and we will be driving back to sb on tuesday.*we are still looking for another person [...]",2012-11-17T10:34:27-08:00,emailnotfound
"ride offer: sb--&gt;tahoe 11/24 (i-5, sb, north lake, sac, bay, sf)",santabarbara,http://santabarbara.craigslist.org/rid/3416414172.html,"i am driving back up to school to incline village, nv (north lake tahoe) after thanksgiving. 
planning to leave on saterday 11/24 and taking the 1-5 up. if i can help you make it to tahoe 
or anywhere along the way just give me a call. (805)-403-8860 [...]",2012-11-17T09:54:15-08:00,emailnotfound
ride needed: ucsb to oc 11/20,santabarbara,http://santabarbara.craigslist.org/rid/3406369253.html,"hey. looking for a ride from ucsb to fountain valley on the 11/20 or 11/21. id like to leave in the evening after all my classes, but its up to you since you're driving lol. i can chip in $20 for gas. text me at 714-494-5929 thanks!",2012-11-17T07:18:47-08:00,emailnotfound
