title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride to abq. in santa fe  (unm),santafe,http://santafe.craigslist.org/rid/3416929190.html,"rideshare i would like to go to abq. today 
thank you",2012-11-17T14:20:38-07:00,emailnotfound
anyone like a passenger to flagstaff on nov 21st?  (santa fe/burque),santafe,http://santafe.craigslist.org/rid/3416306730.html,"hey there peeps, i am looking to hitch a ride to flagstaff,az on nov 21nd. i live in santa fe but could meet you in alburquerque at the train station. i am headed to flagstaff and only have one bag... i am a chill mello fello and could chip in some d [...]",2012-11-17T10:13:11-07:00,emailnotfound
offer taos/santa fe to austin nov 23 early (taos-austin),santafe,http://santafe.craigslist.org/rid/3415869669.html,"leaving early morning of 23rd from taos. 
you share driving, we will be in austin that evening. 
me: friendly, easy-going older guy on a work trip. 
you: non-smoking (even outside the vehicle), no pets, contribute to gas, drive. 
vehicle: a small rv, [...]",2012-11-17T06:46:43-07:00,emailnotfound
"ride offered: santa fe --&gt; durango --&gt; moab, ut",santafe,http://santafe.craigslist.org/rid/3393014200.html,"ride round trip santa fe to moab, ut via chama, pagosa springs, durango, co. leaving santa fe wednesday or thurs (11/21 or 11/22). returning from moab to santa fe on saturday or sunday (11/24 or 25). room for at least 1 person and some stuff. gas mon [...]",2012-11-16T20:38:41-07:00,emailnotfound
driving home for thanksgiving (sfe to nola),santafe,http://santafe.craigslist.org/rid/3415371737.html,"i'm driving from santa fe to new orleans, and i'd like some company on the long drive home for thanksgiving.. i haven't figured out when exactly i'll leave for new orleans, but it'll definitely be before wednesday, november 21st.. anytime from tomorr [...]",2012-11-16T20:35:54-07:00,emailnotfound
"ride needed sante fe to lawrence, ks asap! (sante fe- lawrence, ks)",santafe,http://santafe.craigslist.org/rid/3415201846.html,"hi i am a friendly and clean, 26 y/o male traveling to lawrence, ks for thanksgiving. i have a train ticket for monday the 19th, but i would be willing to cancel my ticket (by sunday for full refund) and split gas up to $70 and help with driving to l [...]",2012-11-16T18:44:39-07:00,emailnotfound
"phoenix/scottsdale, az (santa fe, nm)",santafe,http://santafe.craigslist.org/rid/3414220458.html,"i am going to the phoenix/scottsdale area, leaving 4;00 a.m. sunday nov 18th. you pay portion of gas. 
contact daniel 505 204 1504....no smoking in vehicle..peace",2012-11-16T11:37:36-07:00,emailnotfound
commuting from las vegas to santa fe,santafe,http://santafe.craigslist.org/rid/3412395388.html,"looking to commute with 1-2 persons from las vegas, nm to santa fe, nm (capital area) m-f. departing at 7am and returning at 5pm. some flexibility in the times. gas will be shared. willing to take my car, but open to join a current car pool. 
please  [...]",2012-11-15T15:19:58-07:00,emailnotfound
santa fe to tucson 11/16 or 17 (santa fe),santafe,http://santafe.craigslist.org/rid/3412272853.html,"a last minute call to work in tucson and a dead truck prompts my plea. 
if you should happen to be heading to tucson for the el tour bike race or any other reason, i would be happy to offer some cash, intelligent conversation (or mindful silence) and [...]",2012-11-15T14:27:26-07:00,emailnotfound
"looking for thanksgiving ride to ft. collins, boulder, denver (santa fe)",santafe,http://santafe.craigslist.org/rid/3411624328.html,"greetings, 
i want to visit family in ft. collins, co for thanksgiving. i'm looking for a ride up on wednesday evening or thursday morning. i'm also looking for a ride back on saturday or sunday. 
anyone going to colorado for turkey day? 
thanks, 
pa [...]",2012-11-15T10:17:50-07:00,emailnotfound
"santa fe, flagstaff, la  (santa fe)",santafe,http://santafe.craigslist.org/rid/3411339801.html,"my wife and i are offering a ride to flagstaff, az leaving the morning of nov. 20 and then onward to la the next day to arrive on nov. 21st. share gas expense. please call joshua, 505-570-9484. i don't respond to text messages.",2012-11-15T08:23:01-07:00,emailnotfound
"santa fe, nm to austin tx (downtown santa fe)",santafe,http://santafe.craigslist.org/rid/3410733713.html,"friday 16th leaving from santa fe. i plan on leaving santa fe around 3.30pm and i will be driving to austin tx. if you're fun, chip in for gas a lil help with driving would be great. please text 505 310 4627. i'm male in early 30s respetiful and fun. [...]",2012-11-14T21:03:12-07:00,emailnotfound
ride from albuquerque to central new york (roch or syr),santafe,http://santafe.craigslist.org/rid/3410258874.html,"hello, my name is mark.my twin brother and i want to share a ride with someone who will be going from albuquerque 
to the rochester or syracuse,new york area around december 12th or 13th.",2012-11-14T16:33:53-07:00,emailnotfound
ride offered: santa fe to the sf bay area 12/15-12/17,santafe,http://santafe.craigslist.org/rid/3409043660.html,my husband and i are moving to the bay area. we are driving both a 16' moving truck and our own car and have room for passengers. we also have room extra space in the truck for some stuff if you need anything moved. we are happy to drop you off anywa [...],2012-11-14T08:43:59-07:00,emailnotfound
"going to vail, colorado (santa fe/albuquerque)",santafe,http://santafe.craigslist.org/rid/3408879653.html,"i am heading to vail, colorado on thursday november 15th, you pay gas. contact daniel 505 204 1504 
peace.",2012-11-14T07:26:15-07:00,emailnotfound
"need ride from taos, nm to fort worth, texas",santafe,http://santafe.craigslist.org/rid/3407403636.html,couple with baby and dog need ride to fort worth. have some gas money. middle of december ,2012-11-13T13:24:34-07:00,emailnotfound
"rides from in and around taos. (taos, new mexico)",santafe,http://santafe.craigslist.org/rid/3382300204.html,"if you are looking for a ride and can pay gas i can get you there:) feel free to get ahold of me at 765-277-4844. my rates are pretty cheap, depends on the distance. in taos= $5, the mesa $7, las vegas or santa fe= $20, albuquerque=$40. anything furt [...]",2012-11-13T10:20:49-07:00,emailnotfound
new mexico to minnesota asap (taos),santafe,http://santafe.craigslist.org/rid/3406111245.html,hello. my name is alex. i am trying to get back to minnesota for the holidays. if anyone is heading thata way between now and the 22nd of november i would appreciate a ride. i can help drive and pay my share of the fuel and food. it would be just me  [...],2012-11-13T00:05:40-07:00,emailnotfound
taos to san miguel de allende mx (taos or close by),santafe,http://santafe.craigslist.org/rid/3405731305.html,"looking for a ride from taos or nearish back to san miguel de allende mexico 
i cant drive but am a good navigator and and will share costs 
anytime between nov 27th onwards 
am pretty flexible with dates.",2012-11-12T19:05:00-07:00,emailnotfound
ride needed towards detroit on 18/19th of nov 2012 (taos),santafe,http://santafe.craigslist.org/rid/3403579979.html,"bowing to the divine in all, 
hi. i'm a young monk and will be looking for a ride to go visit my meditation master in detroit and then return back to the ashram in taos, new mexico. 
would like to leave taos/santa fe/denver/albuquerque on the afterno [...]",2012-11-11T23:33:06-07:00,emailnotfound
santa fe to denver leaving 11/12/12,santafe,http://santafe.craigslist.org/rid/3402975711.html,leaving monday afternoon to denver will return to sf on thursday. let me know if ride is needed in either direction.,2012-11-11T16:27:57-07:00,emailnotfound
have your car waiting for you in nyc for xmas (brooklyn),santafe,http://santafe.craigslist.org/rid/3402002948.html,"hello, i will drive your car to nyc (or nearby cities) for the holidays. i live in brooklyn and work for inc. magazine, but i am from santa fe originally. i drive cars between nyc and santa fe (both ways) as a means of getting home for christmas. i a [...]",2012-11-11T08:49:11-07:00,emailnotfound
santa fe to boulder,santafe,http://santafe.craigslist.org/rid/3398207456.html,"leaving on the 14th to boulder (early). i have room for 1 or 2. 
call gaia 
505-920-8018",2012-11-09T12:49:56-07:00,emailnotfound
taos/santa fe to seattle/portland & points in between (taos),santafe,http://santafe.craigslist.org/rid/3389733629.html,i'm driving a large empty van from taos/santa fe to seattle/portland area on monday the 12th of nov. i'm willing to take paid cargo to either city or points along my route. if you have anything you need delivered along my route call me (575) 751-9069 [...],2012-11-09T04:47:43-07:00,emailnotfound
"need ride to san antonio, tx (angel fire)",santafe,http://santafe.craigslist.org/rid/3396314994.html,"hi, i would like to find a rideshare to get me to san antonio, tx in time for thanksgiving but hopefully the monday before. i am off of work as of the afternoon of friday, november 16 and can leave anytime after that. i am a single man with light lug [...]",2012-11-08T16:13:01-07:00,emailnotfound
seeking ride from taos to oakland (taos),santafe,http://santafe.craigslist.org/rid/3395642498.html,i am seeking a ride from taos to oakland california by or before the 17th of november i can share driving and some gas $$......call me at 510-418-6397 jacob ,2012-11-08T11:42:41-07:00,emailnotfound
driving to guadalajara (ajijic),santafe,http://santafe.craigslist.org/rid/3395112234.html,"i am driving to ajijic dec 15th from santa fe via the coastal route. i am moving there, so not much room for stuff in the truck, but your gear. i speak spanish, and know mexico very well. share some driving (though not necessary), and gas and tolls.  [...]",2012-11-08T08:24:38-07:00,emailnotfound
"flagstaff to santa fe, tues, nov. 6 or wed. nov. 7",santafe,http://santafe.craigslist.org/rid/3394351951.html,"hi, 
i'm driving to austin (or possibly denver) on the 9th, 10th (or maybe) the 11th. i'm on a cross usa roadtrip and i'm looking for some one for company and to share gas costs and potentially driving. i'm in santa fe right now and considering going [...]",2012-11-07T19:45:56-07:00,emailnotfound
ride needed taos-abq 11/8 (taos),santafe,http://santafe.craigslist.org/rid/3391947668.html,"i'm looking for a ride fromtaos to the albuquerque airport on thursday, 11/8. i need to leave taos by 11am. will help with gas $ of course. 
please email if you can help.",2012-11-06T19:15:42-07:00,emailnotfound
ride needed east (taos),santafe,http://santafe.craigslist.org/rid/3390974580.html,"hello! 
i am looking to rideshare with people heading toward the east coast - - i want to visit my family for thanksgiving, so dates around that time would be the best. eventually i am heading to north carolina but if you're going so far as to nashvi [...]",2012-11-06T11:53:37-07:00,emailnotfound
"wanted: ride east to columbus, ms or anywhere close (taos)",santafe,http://santafe.craigslist.org/rid/3389810386.html,"i am looking for a ride back to columbus, ms or anywhere close. i can help with gas and driving. i won't have much luggage either. i'm wanting to leave this week or weekend, any day past the 7th. if you are headed that way soon then send me an email. [...]",2012-11-05T21:35:49-07:00,emailnotfound
need my scooter moved!!,santafe,http://santafe.craigslist.org/rid/3389774054.html,"i just got the best scooter deal.....but the scooter lives in the bay area, and i live here! 
i am looking for someone that may be driving out this way and that has a little left over room in their truck for my scooter. it is small-ish. it's. 150cc s [...]",2012-11-05T21:07:34-07:00,emailnotfound
ride needed nov 7th taos to abq airport (taos),santafe,http://santafe.craigslist.org/rid/3388710198.html,"hi, 
i need a ride from taos to abq airport by 3pm on wed, nov 7th. 
i have 2 bags and gas money. 
and i would really appreciate the ride- 
thanks! 
503-758-0899 
-j.j.",2012-11-05T12:43:23-07:00,emailnotfound
ride offered to seattle nov 8 (taos),santafe,http://santafe.craigslist.org/rid/3388272558.html,"room for one to seattle, leaving november 8 in the morning. split gas, be good, and you're in! email or call 206 eight five six 4512.",2012-11-05T10:11:27-07:00,emailnotfound
christmas santa fe to st louis and back (santa fe to st louis),santafe,http://santafe.craigslist.org/rid/3387422047.html,i am planning to go to st louis mo for about a week(more or less) over the christmas holiday. the dates of leaving and returning are flexible as is the length of the stay. i do need to be there christmas eve and also christmas day. i am looking for o [...],2012-11-04T22:48:05-07:00,emailnotfound
"11/5 nm-tx & 11/6 tx-la my car, your gas money (new orleans, la)",santafe,http://santafe.craigslist.org/rid/3387243594.html,"driving from santa fe to new orleans via 
amarillo, wichita falls/sheppard afb, fort worth, dallas, tyler, shreveport/barksdale afb, alexandria, lafayette, baton rouge 
-or- clovis/cannon afb, lubbock, abilene/dyess afb, austin, houston, beaumont, la [...]",2012-11-04T20:12:38-07:00,emailnotfound
santa fe &gt; new orleans (santa fe/taos/abq),santafe,http://santafe.craigslist.org/rid/3386800898.html,flexible as hell. thinking about stopping off in austin or oklahoma city. if you have a preference i am willing to accomadate. some gas pitch would be nice but is not necessary. just be chill. my phone is broken so leave a message. area code 360 (oly [...],2012-11-04T15:52:00-07:00,emailnotfound
ride needed denver to taos/santa fe,santafe,http://santafe.craigslist.org/rid/3386800873.html,"ride for one woman and carry-on bag needed from denver airport or nearby on friday, nov. 9 after 11 am. heading to santa fe or taos. can help with driving and gas. donna",2012-11-04T15:51:59-07:00,emailnotfound
ride needed to tucson (from taos),santafe,http://santafe.craigslist.org/rid/3382395169.html,"mandolin player needs ride to tucson or close to it, have gas money also valid liscense and a good driver. call or text me at 575-776-7849. could also leave from santa fe. would like to leave monday november 5th, flexible.",2012-11-02T15:11:49-06:00,emailnotfound
santa fe - bay area,santafe,http://santafe.craigslist.org/rid/3381672526.html,"share company, driving and gas expense via i-40 and i-5 to bay area, continuing north to harbin hot springs, ca, leaving as soon as possible. please email and phone, azlan, (505) 983-7071. ",2012-11-02T10:35:46-06:00,emailnotfound
ride needed to denver asap (taos),santafe,http://santafe.craigslist.org/rid/3380891277.html,ride needed to denver before sat. nov. 3 or asap. i am in taos & can help w/gas & driving. call or text manual @ 803-571-6135. i am a nice guy & mechanic.,2012-11-01T23:22:32-06:00,emailnotfound
looking for rider to new mexico (mendecino),santafe,http://santafe.craigslist.org/rid/3377283664.html,"i am driving to taos, nm this weekend and would love to find someone to share the driving and pitch in on gas. ",2012-10-31T11:05:25-06:00,emailnotfound
i need a ride to denver tomorrow nov.1st (santa fe),santafe,http://santafe.craigslist.org/rid/3376737088.html,hi -i am a male needing a ride to denver tomorrow nov. 1st. i can share gas. please contact me sometime today if you are traveling in that direction. thanks,2012-10-31T06:55:15-06:00,emailnotfound
santa fe--&gt;flagstaff--&gt;la--&gt;san francisco,santafe,http://santafe.craigslist.org/rid/3376416124.html,"student and dog leaving santa fe wednesday 31st, around 4pm. 
space for up to 3people. flexible on leaving time and can pick you up. 
help with gas and possibly driving. 
thanks! 
alex 
415 489 8536",2012-10-30T22:56:21-06:00,emailnotfound
"driving north? need transport of signs for obama, to pueblo, colorado (santa fe - pueblo)",santafe,http://santafe.craigslist.org/rid/3376345282.html,"we have a package of obamanos signs to energize the voters around pueblo, colorado, where we're helping get out the vote. need a way to get them here as soon as possible. please call if you can help -- we'll meet you anywhere! 
thank you, 
tom and el [...]",2012-10-30T21:51:27-06:00,emailnotfound
ride needed from taos to santa fe/albequerque (taos),santafe,http://santafe.craigslist.org/rid/3375085528.html,we are two lovely ladies needing a ride to albeqerque to catch a flight on november 3rd. thanks :),2012-10-30T11:45:37-06:00,emailnotfound
santa fe to flagstaff (and points in-between),santafe,http://santafe.craigslist.org/rid/3372231133.html,"hey! we're a traveling music duo going from santa fe to flagstaff leaving mid-morning saturday 
come with us for the price of splitting gas! ($40 gets you all the way). we'll also drop you off along the way. 
we're fun to ride with and we'll keep the [...]",2012-10-29T07:44:56-06:00,emailnotfound
"hypnotist needs ride to boulder (santa fe, nm to nederland)",santafe,http://santafe.craigslist.org/rid/3370979506.html,"hello all the wonderful people of craigslist, 
my name is ajna. i am looking for a ride to nederland from santa fe, boulder is good too. i am looking for someone departing between nov 2nd friday and 4th sunday. i will be moving, but all i really will [...]",2012-10-28T14:03:18-06:00,emailnotfound
santa fe/albuquerque to san miguel de allende or mexico city (northern nm),santafe,http://santafe.craigslist.org/rid/3369933631.html,responsible couple looking for one-way transportation from northern new mexico to central mexico. we are planning on traveling by land all the way to columbia this winter. it costs too much to fly to mexico city so we are looking at some other option [...],2012-10-27T23:01:55-06:00,emailnotfound
need a ride to dallas (santa fe),santafe,http://santafe.craigslist.org/rid/3369865422.html,"i need a ride to dallas nov 21, from the sf/abq area. 
i'm willing to contribute an appropriate amount of cash to the driver. 
i cannot drive, will have a backpack and carry-on suitcase. 
thanks",2012-10-27T21:48:32-06:00,emailnotfound
ride needed to austin tx. i have gas money,santafe,http://santafe.craigslist.org/rid/3368639712.html,im a polite clean rider and i can help with gas. give me a call or text 707-601-2040,2012-10-27T10:45:51-06:00,emailnotfound
ride needed taos to alamosa-durango (taos-alamosa-durango),santafe,http://santafe.craigslist.org/rid/3364633289.html,"hi i'm looking for ride from taos to durango on friday 26th oct. either via alamosa or along hwy 64. a ride only as far as alamosa would be a help. thanks in advance, ben 720570605one",2012-10-25T13:48:54-06:00,emailnotfound
need ride durango to vail (avon),santafe,http://santafe.craigslist.org/rid/3362444764.html,need one way ride from durango to vail area in the next week or so. dates flexible. will share expenses. please email.,2012-10-24T15:01:34-06:00,emailnotfound
"driving to austin this friday, oct 26th (espanola or santa fe)",santafe,http://santafe.craigslist.org/rid/3348060906.html,"leaving early, returning monday 29th. 
share driving and gas. 
need a personal reference for me to call - thanks 
plenty of room for luggage",2012-10-24T07:17:06-06:00,emailnotfound
looking for ride from taos to durango (taos to durango),santafe,http://santafe.craigslist.org/rid/3359422873.html,"hi i'm looking for a ride from taos to durango (my eventual destination is indian creek in utah). sometime in the next few days. please call me on 720570605one. if i don't answer please text me and i'll call you back. thanks , ben",2012-10-23T11:32:47-06:00,emailnotfound
offer ride to denver november 1 (santa fe),santafe,http://santafe.craigslist.org/rid/3333886704.html,"hello! 
i'm driving to denver from santa fe (la cienega) the afternoon of november 1st. have spots for two people. my ultimate destination is wheat ridge, co near kipling and i70. 
vehicle is an equinox - very roomy. 
shoot me an email if you're inte [...]",2012-10-22T23:17:10-06:00,emailnotfound
need ride to santa fe today (taos),santafe,http://santafe.craigslist.org/rid/3357215038.html,"looking to get to santa fe today to catch rail runner for a flight out of abq tonight..... 
have only one duffle and a backpack....will pay gas $$ 
thanks",2012-10-22T13:13:02-06:00,emailnotfound
i need a ride to florida,santafe,http://santafe.craigslist.org/rid/3355939729.html,"i need a ride from austin, texas to venice, or sarasota, or tampa, florida i can help pay for gas and i have a valid drivers license so i can do some of the driving if needed. 
i can leave any time on mon or any day of the week. 
i'm traveling around [...]",2012-10-21T23:52:29-06:00,emailnotfound
driving to cruces - sunday (santa fe to nmsu area),santafe,http://santafe.craigslist.org/rid/3353141379.html,"leaving for cruces on sunday at about noon. will have large dog. can take two riders. send name, phone # if itnerested.",2012-10-20T15:17:44-06:00,emailnotfound
"ride needed to pagosa springs , colo.",santafe,http://santafe.craigslist.org/rid/3352950059.html,need a ride in the next 2/3 days to pagosa springs / will help with gas - cat must go as well (well behaved in cars) .,2012-10-20T13:51:57-06:00,emailnotfound
ride needed to nevada (vegas to vegas),santafe,http://santafe.craigslist.org/rid/3305861228.html,"i will be needing a ride to las vegas, nevada on any weekend to pick up a vehicle. if anyone is going to be heading that way from the las vegas area, please let me know. i can pitch in on gas. thanks for looking and safe travels!",2012-10-17T19:15:42-06:00,emailnotfound
going to denver or nearby? (durango),santafe,http://santafe.craigslist.org/rid/3345634563.html,"hi! i am looking for someone who is headed north on thurs oct 25th, wants some help with gas money and wouldn't mind coming through durango. personable, respectful, outgoing 33-year old outdoorsy female. 
thanks for your help! 
please reply via email [...]",2012-10-17T12:13:57-06:00,emailnotfound
ride from santa fe to ft. worth/ dallas 20/21st (santa fe nm),santafe,http://santafe.craigslist.org/rid/3345565903.html,"hey! 
i am driving east this weekend on either saturday, sunday, or monday from santa fe to ft. worth/dallas. 
i have a large car with plenty of room, and am comfortable with dogs and animals. 
i am a 24 year old student from new mexico, who currentl [...]",2012-10-17T11:49:50-06:00,emailnotfound
