title,postingFrom,permalink,shortDescription,postingDate,mailToLink
sfsu student needs carpool (richmond / point / annex),sfbay,http://sfbay.craigslist.org/eby/rid/3406186638.html,i'm a sfsu student looking for 2 more people to carpool over the bay bridge to save on toll and gas. i leave around 8 to 830 am tuesdays and thursdays..,2012-11-18T03:03:13-08:00,emailnotfound
rideshare/carpool app (ios/android),sfbay,http://sfbay.craigslist.org/scz/rid/3394476163.html,"hello ride-sharers/carpoolers, 
35 countries, 480 cities and growing.. 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all your preferences loaded on either device. 
fun, fa [...]",2012-11-18T01:45:50-08:00,emailnotfound
ride offered to la tues 11/20 (berkeley),sfbay,http://sfbay.craigslist.org/eby/rid/3417853470.html,ride offered to la area tues 11/20. email me for more details. please include a little bit about yourself when responding to ad. ,2012-11-18T00:40:48-08:00,emailnotfound
new 420 dr--come to vallejo (concord / pleasant hill / martinez),sfbay,http://sfbay.craigslist.org/eby/rid/3417837298.html,"we've got the nicest doctor you will ever met! dr. goldstein just moved in to our clinic and she's like the jewish mother you wish you had. she takes the time to talk to you and get to know what your problems are, and then she can tell you what kind  [...]",2012-11-18T00:10:31-08:00,emailnotfound
ride offer to sacramento from san jose one way saturday 12/01/2012 (san jose to sacramento),sfbay,http://sfbay.craigslist.org/sby/rid/3417831161.html,"leave san jose saturday, deecember 1, 2012 around 10:00pm - 12:30am. 
no return trip. 
willing to pick up and drop off along the way, including bart & cal train. 
everything must fit in front and back seats because the trunk will be filled with my st [...]",2012-11-17T23:59:13-08:00,emailnotfound
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/eby/rid/3417811785.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:27:49-08:00,emailnotfound
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/pen/rid/3417811516.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:27:26-08:00,emailnotfound
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/nby/rid/3417810605.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:26:03-08:00,emailnotfound
ride needed from sf to la,sfbay,http://sfbay.craigslist.org/scz/rid/3417803681.html,"hi, everyone! 
this is karina, a traveler from argentina, looking for a ride on november 29th from san francisco to los angeles. good vibe and sweet company guaranteed! 
thanks so much for your help!",2012-11-17T23:15:43-08:00,emailnotfound
seeking ride to eugene/portland on 21nd return25th (mission district),sfbay,http://sfbay.craigslist.org/sfc/rid/3417797564.html,"hello all! 
i am looking for a ride to eugene oregon to visit a dear friend for t-giving. 
i would love to leave on the 22nd or 21st and am looking to return on the 25th. 
i'll pay for 1/2 the gas and i just might bring delicious snacks! also...i won [...]",2012-11-17T23:06:51-08:00,emailnotfound
san jose area only monday 11/26 leaving to la $30/oc $35/sd $40 9 am (san jose south),sfbay,http://sfbay.craigslist.org/sby/rid/3417794061.html,"hey i'm heading to la $30, oc $35, and sd $40. 
on nov 26 monday at 9 am 
if you need the ride let me know and only limited to one bag. 
have a good day. 
714-675-4555 text or call me.",2012-11-17T23:01:56-08:00,emailnotfound
planetary alignment trip (equatorial ocean/pacific),sfbay,http://sfbay.craigslist.org/nby/rid/3417783998.html,"looking for a crew to sail from northern california southwest toward the equator for the 2012 planetary alignment.. looking for someone with a boat of some folks to throw in on the purchase of one... 
on the upful tip, positivity, no drama. 
contact  [...]",2012-11-17T22:48:01-08:00,emailnotfound
seeking a ride sj or sf to la sunday (woodside),sfbay,http://sfbay.craigslist.org/pen/rid/3417782106.html,"hello! i'm hoping to find a ride to los angeles from either san jose or san francisco, sometime tomorrow afternoon or evening. is that something you could help me with? let me know, and we'll discuss details. thanks so much! 
g",2012-11-17T22:45:32-08:00,emailnotfound
offer: delivery or ride (santa rosa),sfbay,http://sfbay.craigslist.org/nby/rid/3417771694.html,"using only half of my 16 ft. truck, from little rock, ar to santa rosa, ca 11/26-12/1. open to sharing options and/or riders for companionship and to offset moving costs. ",2012-11-17T22:31:38-08:00,emailnotfound
ride offered: berkeley -&gt; claremont/la 11/18 (sunday)  (berkeley),sfbay,http://sfbay.craigslist.org/eby/rid/3417768007.html,"i'm driving down to claremont (east of la) sometime in the late morning, and have space for three on the way down. i plan to go straight through, minus (of course) a trip to in n out. i ask that you pitch in for gas, and you can help drive if you wan [...]",2012-11-17T22:27:05-08:00,emailnotfound
oakland/berkeley to redding - 11/24 (oakland lake merritt / grand),sfbay,http://sfbay.craigslist.org/eby/rid/3417758467.html,"hi there 
the i-5 sure is boring! wanna carpool with me to redding around early eve/eve this wednesday? i will be coming back friday morning, as well. 
i have a nice clean, economically fueled car. 
thanks, 
jenny",2012-11-17T22:15:09-08:00,emailnotfound
finish line driving services (san jose east),sfbay,http://sfbay.craigslist.org/sby/rid/3381835295.html,i can drive you anywhere on the state all you need to do is call and just like fly on terd ill be there a bootleg taxi 415.504.5643 any time any reason trades welcome ,2012-11-17T21:47:20-08:00,emailnotfound
finish line driving serv. anywhere in the bay (san jose east),sfbay,http://sfbay.craigslist.org/sby/rid/3378387305.html,i can drive you anywhere on the state all you need to do is call and just like fly on terd ill be there a bootleg taxi 415.504.5643 any time any reason trades welcome ,2012-11-17T21:45:23-08:00,emailnotfound
