title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need a ride to st. paul in december (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3396712277.html,"i am looking for someone to give me a ride to mpls/st. paul probably the 1st or 2nd weekend in december. would prefer to go up on a friday and be back sunday afternoon. 
i would like to find someone who would have an hour or so to stop in medford on  [...]",2012-11-17T19:51:59-06:00,emailnotfound
"usd student needs ride to seattle (kirkland, wa )",siouxfalls,http://siouxfalls.craigslist.org/rid/3413751150.html,"usd student would love to come home for thanksgiving. family can only afford to fly him home at christmas. would be willing share fuel costs. if someone can get him anywhere in the state of washington, we can pick him up there. ",2012-11-16T09:43:23-06:00,emailnotfound
i'm looking for a rideoffer from brookings to minneapolis,siouxfalls,http://siouxfalls.craigslist.org/rid/3402235297.html,"i live in brookings and need to go to minneapolis to spend thanksgiving there. 
there is a bus to go to minneapolis, but it costs $63 for one way and it takes 8 hours to get there... 
so if anyone go to minneapolis/richfield or around that area in no [...]",2012-11-11T11:39:13-06:00,emailnotfound
"looking to get a ride for a friend (appleby, sd to sioux falls, sd)",siouxfalls,http://siouxfalls.craigslist.org/rid/3401147110.html,"a friend of mine is looking to get a ride from appleby, sd to sioux falls. right now she is pretty low on funds and wants to move to sioux falls to be with her family. 
if anyone could help out that would be greatly appreciated.",2012-11-10T19:18:01-06:00,emailnotfound
looking for ride from sf (des moines),siouxfalls,http://siouxfalls.craigslist.org/rid/3397870202.html,wanted ride from sioux falls to des moines on or about november 17. one person and a suitcase/backpack.,2012-11-09T11:47:06-06:00,emailnotfound
sf to rapid to sf (sd),siouxfalls,http://siouxfalls.craigslist.org/rid/3334609079.html,i make a weekly round trip (each saturday) between sioux falls and rapid city transporting freight in my personal vehicle. i usually have extra room and could use a larger vehicle if necessary to transport your [legal] freight across the state. under [...],2012-11-09T10:18:14-06:00,emailnotfound
ride offered - sioux falls to kansas city on wed 11/7 (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3392193950.html,"i'm offering a ride from sioux falls to kansas city. 
leaving november 7th. no smoking, drugs etc. contact me on zimride: http://www.zimride.com/ride/share?ride=519624 ",2012-11-06T23:30:04-06:00,emailnotfound
sioux falls to denver (sf),siouxfalls,http://siouxfalls.craigslist.org/rid/3391940587.html,"leaving sioux falls thanksgiving day and heading to colorado springs, then back again on sunday, depending on anything u want shipped or brought back and on prices ill be driving a car mini van or truck, could get trailer if need be, will be travaili [...]",2012-11-06T20:11:11-06:00,emailnotfound
seeking ride for dog to ca (rapid city),siouxfalls,http://siouxfalls.craigslist.org/rid/3387539590.html,"hello! my boyfriend and i recently moved out west and had to leave our four-legged friend at home. now we have the ability to keep him and he's looking for a ride out - we are willing to help out on gas expenses. if you're coming this way, he's a ver [...]",2012-11-05T02:29:40-06:00,emailnotfound
spearfish to portland or anywhere along way (spearfish),siouxfalls,http://siouxfalls.craigslist.org/rid/3384274543.html,"we will be traveling from spearfish south dakota to portland oregon sometime in april. we have a 2006 dodge 1-ton with 18000 lb b&w 5th wheel/turnover ball hitch and 8000 lb bumber pull hitch. we are full-time rvers and tippically pull our home, a 30 [...]",2012-11-03T13:43:58-05:00,emailnotfound
28 year old female looking for a ride to montana asap (siouxfalls to greatfalls),siouxfalls,http://siouxfalls.craigslist.org/rid/3384084024.html,hey i am looking for a eide to greatfalls montan or any were near their asap. i do have a lil dog and cant take a bus with her. call or text me six05 four9 six six six 7 six...... yhank you and have a safe drive....,2012-11-03T12:29:34-05:00,emailnotfound
28 year old female needs ride to greatfalls montan (siouxfalls sd),siouxfalls,http://siouxfalls.craigslist.org/rid/3376245626.html,"i am a 28 year old female and am looking for a safe ride home, i cant take a bus with my little dog otherwise i would. i dont want to have to deal with a perv who is trying to offer me a ride in hope to get laid...i am not a lot lizard.. lol anyways  [...]",2012-10-30T21:37:16-05:00,emailnotfound
ride offered - sioux falls to minneapolis on fri 11/2 (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3370790071.html,"i'm offering a ride from sioux falls to minneapolis. 
leaving november 2nd returning november 2nd. contact me on zimride: http://www.zimride.com/ride/share?ride=509119 ",2012-10-28T13:30:26-05:00,emailnotfound
need ride asap (sioux falls to great falls mt),siouxfalls,http://siouxfalls.craigslist.org/rid/3368706213.html,"28 year old female looking for ride from sioux falls sd to great falls mt no perves please need asap call or text 6 zero 5 four 9 six six six 7 six 
need today or to maro",2012-10-27T12:12:37-05:00,emailnotfound
leaving souix falls and headed to montana.,siouxfalls,http://siouxfalls.craigslist.org/rid/3366744319.html,"i am leaving souix falls on nov. 2 for montana. anybody needing a ride, i can be reached at six0five-two5one-55twothree. sure would like some company. ",2012-10-26T13:41:14-05:00,emailnotfound
69th and cliff to lincoln hs (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3363942107.html,need a dependable ride in the mornings from near 69th and cliff to lincoln high school. classes start at 8:20 so need to be picked up about 8 or earlier. will pay for the rides to help with gas. if you are picking someone up at the school i would lik [...],2012-10-25T10:34:46-05:00,emailnotfound
"trying to get to bemidji, mn (bemidji, mn)",siouxfalls,http://siouxfalls.craigslist.org/rid/3359057066.html,"trying to get to bemidji, minnesota by the end of this week to start a job which will last through the winter. i am supposed to winterize someone""s house in exchange for staying there throught until spring. really need this ride, have gas money. also [...]",2012-10-23T10:22:45-05:00,emailnotfound
"oct 24, 2012 sioux falls  (to denver)",siouxfalls,http://siouxfalls.craigslist.org/rid/3358807078.html,"taking a pick up to denver. if you need stuff to go it will be empty... if you just need to go i have a back seat too. 
let me know.. will leave around 1:00 in the afternoon. 
chere",2012-10-23T08:37:00-05:00,emailnotfound
need ride to sioux falls friday (msp airport),siouxfalls,http://siouxfalls.craigslist.org/rid/3358248028.html,i might be flying into minneapolis on friday oct. 26 and would need a ride from the airport to s.f. would pay for gas up to $60. email through craigslist or call 678-266-8256.,2012-10-22T21:59:47-05:00,emailnotfound
ride needed: east on 90,siouxfalls,http://siouxfalls.craigslist.org/rid/3348712855.html,"hi, 
my lovely non-dangerous boyfriend ray needs a ride to nyc (to see me!). he is currently hitching down the 90 somewhere near sheridan, in wyoming. if you're going east he might be able to help you with gas $. if you're leaving sometime in the nex [...]",2012-10-18T17:44:50-05:00,emailnotfound
ride offered - sioux falls to omaha on fri 10/19 (sioux falls),siouxfalls,http://siouxfalls.craigslist.org/rid/3347151930.html,"i'm offering a ride from sioux falls to omaha. 
leaving october 19th. i have been a flight attendant for 26 years, live in sioux falls now, based in phoenix. i often drive between sioux falls to minneapolis, or to omaha depending on where i can get f [...]",2012-10-18T06:36:30-05:00,emailnotfound
"sioux falls to bismarck, nd (sioux falls)",siouxfalls,http://siouxfalls.craigslist.org/rid/3343773045.html,"is there anyone traveling from sioux falls to bismarck,nd in the next couple weeks? i am looking for a ride up there. i will help with gas thank you",2012-10-16T16:35:51-05:00,emailnotfound
