title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rent my 2010 kia soul for $50.00/day (massachusetts),southcoast,http://southcoast.craigslist.org/rid/3412917762.html,"rent my 2010 kia soul in berkley great car. 4 cylinder great on gas. has a sun roof and very clean car only has 48,000 miles on it. has ipod outlet, usb port and bluetooth access. $10.00/hour $50.00/day $275.00/week (insurance included) my car is ava [...]",2012-11-15T21:45:33-05:00,emailnotfound
ride needed to/from work from thanksgiving until christmas (fairhaven (home) to downtown new bedford),southcoast,http://southcoast.craigslist.org/rid/3409798401.html,"i'm a working professional in need of a ride to-and-from work on tuesdays, thursdays and fridays. i'm hoping for a non-smoking driver who has reliable transportation. i live in fairhaven (closest major corner to me is weeden road/route 6, just east o [...]",2012-11-14T15:22:18-05:00,emailnotfound
s. florida after christmas...senior males only (southcoast/r.i.),southcoast,http://southcoast.craigslist.org/rid/3395028136.html,"ride share available to southern florida after christmas ....senior male here/you be also please (min. over 50)....no pets (allergies) 
travel dates are flexible........i will be there until april and will be looking for someone to drive back with as [...]",2012-11-08T09:46:34-05:00,emailnotfound
ma/ri/  (orlando nov 12),southcoast,http://southcoast.craigslist.org/rid/3381089885.html,"driving to orlando got room 1 person and bag. looking to drive straight through ive done it 3times. must help with gas and tolls any question email please... looking to leave nov 12 6-8pm exactly can drop off anywhere off 95 or orlando 
420 friendly",2012-11-02T07:31:05-04:00,emailnotfound
going to nyc thursday 10/25 (from dartmouth),southcoast,http://southcoast.craigslist.org/rid/3338115518.html,i'm leaving on thursday evening around 8 for nyc. i am willing to drop you off in nyc by a train station or if you're going somewhere near where i live i'll drop you off. i'm going to queens. i ask that you chip in for gas/tolls. i'll be returning fr [...],2012-10-24T12:51:35-04:00,emailnotfound
do you need a ride (fall river),southcoast,http://southcoast.craigslist.org/rid/3339903372.html,"doctor appt school, shopping i have small car good on gas i can take you so long as i get 1 days notice i live off of s.main st no long distance rides sorry give me a call no emails ! 508-567-6308",2012-10-15T08:18:29-04:00,emailnotfound
patriots game 10/07/12,southcoast,http://southcoast.craigslist.org/rid/3318800985.html,need a ride to the stadium on sun. from new bedford . willing to help with gas money. need to be there by 12 noon. thanks...,2012-10-05T16:01:31-04:00,emailnotfound
to work new bedford to onset and back (new bedford ),southcoast,http://southcoast.craigslist.org/rid/3313578695.html,i am employed at a computer store in onset mass untill recently i was car pooling with a friend who worked in mashpee mass. it was convienint for us both not too far out of his way and helped me get back an forth to work. as of friday 10/5 he will be [...],2012-10-03T12:25:32-04:00,emailnotfound
10/3 early south to s.c. (cape-s.car.),southcoast,http://southcoast.craigslist.org/rid/3310958546.html,"sienna van, will take you all or part way. 508-776-3637",2012-10-02T10:45:35-04:00,emailnotfound
southcoast to braintree,southcoast,http://southcoast.craigslist.org/rid/3310821576.html,"hello, i travel from the fall river/new bedford area to braintree everyday for work. i leave at the southcoast at 7am and arrive in braintree close to 8am sometimes a little later and leave usually around 4:30-5. i could pick anyone up along the rout [...]",2012-10-02T09:41:55-04:00,emailnotfound
