title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offer to savannah,staugustine,http://staugustine.craigslist.org/rid/3417990325.html,"ride offer to savannah. 
sunday november 25, 2012 in the afternoon. 
leaving deland, florida around noon. 
can pick up anywhere along the way on 95. 
drop of sentient bean, savannah, ga. 
asking for gas. 
there is a chance i may leave on saturday. 
c [...]",2012-11-18T07:55:36-05:00,emailnotfound
"long distance travel (fl, nc, sc)",staugustine,http://staugustine.craigslist.org/rid/3394194559.html,for safe reliable and comfortable transportation call vantransit 336-986-0575. vantransit2go.com ,2012-11-16T17:51:25-05:00,emailnotfound
get paid to use your car: drive patients to doctor visits (st augustine and surrounding area),staugustine,http://staugustine.craigslist.org/rid/3366446954.html,"boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be customer [...]",2012-11-16T10:30:28-05:00,emailnotfound
heading to nyc next week (need a ride?),staugustine,http://staugustine.craigslist.org/rid/3411120082.html,"i am heading to nyc next week. i am looking for a (hopefully) sane person to share gas expenses with. i am leaving, probably, on the 20th and will return after thanksgiving. i am looking for some one that needs a ride up. coming back is still up in t [...]",2012-11-15T08:06:48-05:00,emailnotfound
driving to clearwater beach 11/21 (from st. augustine),staugustine,http://staugustine.craigslist.org/rid/3383867669.html,"leaving mid-morning 11/21: i-95 to i-4 to i-75. any guys need a ride? returning 11/24, same route. let me know.",2012-11-14T05:59:44-05:00,emailnotfound
drive your vehicle (jerseyshore),staugustine,http://staugustine.craigslist.org/rid/3389649098.html,"heading to nj from st augustine area hopefully before thanksgiving .i was going to wait until christmas but since the storm has hit there i've decided to leave sooner.my daughter needs my help,if you are looking for a driver to help you with the trip [...]",2012-11-05T21:44:17-05:00,emailnotfound
need a ride ? (st augustine),staugustine,http://staugustine.craigslist.org/rid/3381167111.html,"if you need a ride weekdays 11am-9pm weekends 6am -10pm can do earlier or later if i am notified in advance,i will get you there on time,load & unload merchandise,will wait for you if wanted or return to get you your choice,airport runs,grocery,docto [...]",2012-11-02T08:44:23-04:00,emailnotfound
i'm driving to nyc area 11/4 (eastern li),staugustine,http://staugustine.craigslist.org/rid/3379446029.html,depart sun night or mon am--non-drivers ok--late model extended cab pick up!,2012-11-01T13:07:08-04:00,emailnotfound
going to nyc on tues.... (st aug),staugustine,http://staugustine.craigslist.org/rid/3371697656.html,"leaving for ny around the first couple of days in november...would like company and someone to share the ride....save money is the thing...split everything. 
i am posting it here but i would like this person to be a gay man.....more things to talk ab [...]",2012-10-28T22:51:57-04:00,emailnotfound
ride share: i-95 from pcoast to ny (li area),staugustine,http://staugustine.craigslist.org/rid/3349895212.html,"planning on driving a u-haul to ny within the next 3-4 weeks. 
not sure on the exact departure date yet. 
stay tuned if interested...call me to discuss options, dates, etc 
will consider drop off anywhere along the way as long as it is no longer than [...]",2012-10-19T11:17:59-04:00,emailnotfound
need ride to key west (key west),staugustine,http://staugustine.craigslist.org/rid/3344825292.html,hi i need ride to key west this week myself and my dog she is medium size and very well behaved clean.,2012-10-17T08:39:57-04:00,emailnotfound
ocala area to new orleans for halloween,staugustine,http://staugustine.craigslist.org/rid/3337891320.html,"headed to new orleans from florida a few days before halloween, want to share has money???",2012-10-14T08:28:01-04:00,emailnotfound
looking towards asheville  (brunswick ga),staugustine,http://staugustine.craigslist.org/rid/3325705030.html,"at the hostel outside brunswick, looking to get to asheville. can pay for gas. hostel of the forest, very special place; can meet at exit 29. call or email. thanks. 
828-216-2190",2012-10-08T19:11:19-04:00,emailnotfound
"heading to chattanooga (chattanooga, tn)",staugustine,http://staugustine.craigslist.org/rid/3316520697.html,"headed to chattanooga, tn on 10/11/12 evening up 75. let me know if you need a ride. depending where you are getting dropped off is depending on the cost. ",2012-10-04T16:08:02-04:00,emailnotfound
