title,postingFrom,permalink,shortDescription,postingDate,mailToLink
stockton to concord (stockton),stockton,http://stockton.craigslist.org/rid/3416538211.html,"looking for a ride share/carpool situation form stockton to concord in the morning and back in the evening, monday through friday, every week. open to suggestions on how to arange the ride share/carpool. i can do the driving some of the time and look [...]",2012-11-17T10:41:30-08:00,emailnotfound
stockton to san francisco (ucsf hospital!!),stockton,http://stockton.craigslist.org/rid/3403415483.html,"hello traveler's!! 
i'm traveling from stockton to ucsf hospital on the morning of monday november 19th..3 people are traveling and i have a 5 passenger car. i will have plenty of trunk space! also returning that night if you need round trip! 
drop o [...]",2012-11-17T02:56:23-08:00,emailnotfound
will pay $$$ to ride as a passenger on a harley or streetbike rider ,stockton,http://stockton.craigslist.org/rid/3360897592.html,"my is dave, and if your interested in given a 3 hour ride and get paid for your time please email with your response. i used to ride but a friend crashed my streetbike. so, i decided to use the money to pay off my bills. i not interested in purchasin [...]",2012-11-16T07:40:22-08:00,emailnotfound
will pay $$$ to ride as a passenger on a racing motorcycle ,stockton,http://stockton.craigslist.org/rid/3369803601.html,"my is dave, and if your interested in given a 3 hour ride and get paid for your time please email with your response. i used to ride but a friend crashed my streetbike. so, i decided to use the money to pay off my bills. i not interested in purchasin [...]",2012-11-16T07:39:29-08:00,emailnotfound
"stockton to medford, or (stockton to or)",stockton,http://stockton.craigslist.org/rid/3405837000.html,"hi. i will be driving from stockton to medford, oregon on friday, november 16th. i'll be leaving around noon. the drive takes about 5 hours, barring any heavy traffic. i'll be driving straight up the 5 so i could drop you off anywhere along the way ( [...]",2012-11-15T10:35:45-08:00,emailnotfound
ride share for girls (stockton ),stockton,http://stockton.craigslist.org/rid/3394378785.html,"ride share for girls to any where,tell me how you wish to pay or trade do you get it? text pics and #",2012-11-14T15:48:11-08:00,emailnotfound
ride offered - stockton to santa clarita on wed 11/21 (stockton),stockton,http://stockton.craigslist.org/rid/3409338732.html,"i'm offering a ride from stockton to santa clarita. 
leaving november 21st returning november 25th. going from: university of pacific, stockton to: santa clarita, ca (magic mountain or bus/train station)around 5:30 pm.... i am open minded, willing to [...]",2012-11-14T09:35:06-08:00,emailnotfound
"party and get home safely - i'll ride ya to the bar tonite (stockton, lodi. manteca)",stockton,http://stockton.craigslist.org/rid/3408503947.html,"don't chance a dui..call beth i will be your sober driver. i will drop you off and pick you up. 
cheaper than a taxi, safe and reliable and there as soon as you need. 
call beth 209-817-9908 ",2012-11-13T22:08:51-08:00,emailnotfound
$5 to franklin high-need morning rides (stockton),stockton,http://stockton.craigslist.org/rid/3408502680.html,"i have a child who is a franklin student that i take to school each mornin 
keep your child dry, the rain and cold weather will be here soon. 
having trouble getting your child to school (franklin high) each day. i can help. 
only $5 if your in the s [...]",2012-11-13T22:07:25-08:00,emailnotfound
$5 to franklin high-need morning rides (stockton),stockton,http://stockton.craigslist.org/rid/3408501720.html,"i have a child who is a franklin student that i take to school each mornin 
keep your child dry, the rain and cold weather will be here soon. 
having trouble getting your child to school (franklin high) each day. i can help. 
only $5 if your in the s [...]",2012-11-13T22:06:22-08:00,emailnotfound
"$10-$15 rides-stockton only-se habla espanol (stockton, lodi, manteca, tracy)",stockton,http://stockton.craigslist.org/rid/3408501034.html,"i can give rides anytime of day. 
all rides only $10.00, $ 15.00 
need a daily ride weekly rates avail. depending on where you need to be. 
i'm available 
resposible driver, clean record. clean car with great air conditioning for this summer weather. [...]",2012-11-13T22:05:36-08:00,emailnotfound
ride offered: las vegas,stockton,http://stockton.craigslist.org/rid/3408458025.html,"need a ride to las vegas?? 
leaving sacramento 4am 11/16 headed down the 99 to las vegas 
leaving las vegas by 3p 11/18 back to sacramento 
need a ride to vegas or along the route with drop off or pick up point at freeway send a message. 
2 travelers [...]",2012-11-13T21:20:49-08:00,emailnotfound
from lodi area to redding day before thanksgiving (lodi area),stockton,http://stockton.craigslist.org/rid/3407279440.html,my boyfriend and i are traveling from the lodi area to redding the day before thanksgiving. we are looking for someone who is going that way to share gas money. anywhere along the way will probably work too. we will be returning on the sunday after t [...],2012-11-13T11:39:36-08:00,emailnotfound
rent my 1994 toyota pickup for $50.00/day,stockton,http://stockton.craigslist.org/rid/3402500428.html,"rent my 1994 toyota pickup in stockton great condition truck! super dependable, 4 cylinder gas saver, automatic transmission. great for moving things, running errands, or anything else you can think of. also, extra cab for storage or additional passe [...]",2012-11-11T11:38:22-08:00,emailnotfound
driving pickup fri nov 15th long beach to portland can haul your cargo (long beach/bay area/portland),stockton,http://stockton.craigslist.org/rid/3399866683.html,65 semi retired references driving one ton dually pickup friday nov 15th long beach to bay area to portland can haul your cargo to any location along the way can tow (small) trailer have room for one clean person five-62- 253- six 256 thanks doug,2012-11-10T07:42:40-08:00,emailnotfound
are you looking for a ride? the ride guy and woman 24/7 rides offer (where do you need to go?),stockton,http://stockton.craigslist.org/rid/3398766673.html,"do you need a ride but don't want to pay for expensive taxi cab? 
i can drive you local or long distance, shopping, dr. appointments, errands, school, work, or whatever. 
i am a father and husband looking to make some extra money to take care of my f [...]",2012-11-09T15:46:17-08:00,emailnotfound
