title,postingFrom,permalink,shortDescription,postingDate,mailToLink
tallahassee to jacksonville/lake city - tues. nov 20th a.m. (fsu),tallahassee,http://tallahassee.craigslist.org/rid/3416909096.html,"i'll be driving from tallahassee to jacksonville on tuesday, november 20th. i plan on leaving around 11:00-11:30 am. i'd be willing to stop in lake city or anywhere else off of i-10 on the way. i'm asking $20 to help out with gas! email if interested [...]",2012-11-17T16:11:40-05:00,emailnotfound
ride needed - tallahassee to tifton on sat 11/17 (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3416257558.html,"i'm looking for a ride from tallahassee to tifton. 
leaving november 17th. contact me on zimride: http://www.zimride.com/ride/share?ride=538969 ",2012-11-17T11:53:54-05:00,emailnotfound
"need ride to macon / atlanta this saturday nov 24th (tallahassee, fl)",tallahassee,http://tallahassee.craigslist.org/rid/3407677537.html,"i need to leave (in the morning) from tallahassee to go to macon, ga. 
perfect for those going to atlanta because macon is along the way. 
i am a sane, friendly person. i can make a reasonable gas donation. 
thank you 
941 735 zero one two one",2012-11-17T11:26:16-05:00,emailnotfound
need ride to atlanta 11/21 (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3408176164.html,i need a ride to atlanta next wednesday and a ride back to tally that following sunday on the 25th. i am willing to pay gas money. please let me know and hit me up asap.,2012-11-16T23:13:03-05:00,emailnotfound
ride offer to panama city (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3414547736.html,"round trip ride offered to panama city for the thanksgiving weekend. leaving wednesday afternoon, returning saturday afternoon.",2012-11-16T15:41:00-05:00,emailnotfound
tallahassee to atlanta,tallahassee,http://tallahassee.craigslist.org/rid/3414263066.html,"looking for rideshare from tallahassee to atlanta next week. im looking for tuesday or wednesday. 
i will pay the gas money. 
i have 2 suitcase with me. 
shoot me an email. ",2012-11-16T13:53:14-05:00,emailnotfound
get paid to use your car: drive patients to doctor visits (tallahassee and surrounding area),tallahassee,http://tallahassee.craigslist.org/rid/3367581992.html,"boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be customer [...]",2012-11-16T10:48:28-05:00,emailnotfound
need ride to orlando  (from tally),tallahassee,http://tallahassee.craigslist.org/rid/3406682010.html,need ride one way to downtown orlando....512-815-6672 by like friday or something near that .......don,2012-11-16T10:28:00-05:00,emailnotfound
"driving from fl to ca leaving tonight in truck 4 u/your stuff sat 17th (from naples, fl to los angeles, ca)",tallahassee,http://tallahassee.craigslist.org/rid/3382233782.html,"hi... 
hubby is returning back to los angeles from naples florida leaving tonight saturday 17th at about 5-6ish pm est. 
feel free and give me a call (much better than email and txt) to touch base if interested in a ride for you or ""stuff"" transporte [...]",2012-11-16T07:57:41-05:00,emailnotfound
ride needed - tallahassee to naples on sat 11/17 (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3412800620.html,"i'm looking for a ride from tallahassee to naples. 
leaving november 17th. i'm a chill guy that's just looking for a ride home for thanksgiving. call/text me for more info. 2395373657 i like all types of music, i keep my car clean and friendly. just  [...]",2012-11-15T20:37:47-05:00,emailnotfound
ride needed from c.k. steele plaza (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3394754685.html,i need ride from c.k. steele plaza between the hours of 4&5pm mon.-fri to sandstone ranch on hwy 20. i can help with gas each week. please call 574-4697,2012-11-15T19:16:18-05:00,emailnotfound
cheap travel anywhere to any state or city,tallahassee,http://tallahassee.craigslist.org/rid/3369663822.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-15T18:59:03-05:00,emailnotfound
deep discount travel to any state or city,tallahassee,http://tallahassee.craigslist.org/rid/3398839726.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:01:47-05:00,emailnotfound
tally to palm beach (boyton beach),tallahassee,http://tallahassee.craigslist.org/rid/3412358423.html,"i am leaving tally on 11/21 before 6pm to west palm beach, if you need a ride text me at 850 228 9989 prefer text because i do work and i let you know how much it cost.",2012-11-15T17:03:52-05:00,emailnotfound
ride offered - tallahassee to fort myers on thu 11/15 (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3412148849.html,"i'm offering a ride from tallahassee to fort myers. 
leaving november 15th returning november 25th. also have a trip to tampa contact me on zimride: http://www.zimride.com/ride/share?ride=535280 ",2012-11-15T15:36:09-05:00,emailnotfound
ride offered - tallahassee to tampa on thu 11/15 (tallahassee),tallahassee,http://tallahassee.craigslist.org/rid/3412147965.html,"i'm offering a ride from tallahassee to tampa. 
leaving november 15th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=535292 ",2012-11-15T15:35:47-05:00,emailnotfound
