title,postingFrom,permalink,shortDescription,postingDate,mailToLink
greeneville to knoxville or the other way (greeneville / knoxville),tricities,http://tricities.craigslist.org/rid/3372675372.html,almost daily for some gas money...865 6886686,2012-11-17T11:05:59-05:00,emailnotfound
ride offered: upstate sc early thanksgiving day (bristol va),tricities,http://tricities.craigslist.org/rid/3414901758.html,"i will be driving to the spartanburg area of sc early thanksgiving day; would be nice to have some company and a little help on the gas. planning on leaving bristol around 7am and driving straight there. i'll be returning saturday, but not directly;  [...]",2012-11-16T18:09:38-05:00,emailnotfound
chauffeur position available (tri-cities and surrounding area),tricities,http://tricities.craigslist.org/rid/3394506762.html,"boomerang transport currently has medical chauffeur positions available in the greater tri-cities area. our drivers are primarily responsible for taking injured workers to and from their physical therapy/doctors office visits. 
our minimum requiremen [...]",2012-11-16T10:21:59-05:00,emailnotfound
need ride (nashville to el paso),tricities,http://tricities.craigslist.org/rid/3413183178.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:05:59-05:00,emailnotfound
"need ride to pottstown, pa (or surrounding) for thanksgiving! (asheville to pa)",tricities,http://tricities.craigslist.org/rid/3410666668.html,"hi! 
my name is mare and i am 32, seeking a ride to pottstown pa (or the philadelphia area) on tuesday 11/20 or wednesday 11/21 and returning saturday 11/24 or sunday 11/25. i am open to a one-way ride, as i am also planning to journey to ca for a fe [...]",2012-11-14T22:17:07-05:00,emailnotfound
need driver (tricities),tricities,http://tricities.craigslist.org/rid/3408713350.html,"from kingsport to key's florida. must have valid dl and share gas expenses. must be willing to leave within a week . my car cannot be towed behind a uhaul or budget truck. it is one way , serious inquirers only.",2012-11-14T07:19:08-05:00,emailnotfound
need a ride to portland  a.s.a.p (tri~city),tricities,http://tricities.craigslist.org/rid/3398168593.html,needing a ride to portland. have the money to cover gas.. gay boy here trying to get to portland.. going on a road trip... willing to take care of the trip anyway possible;),2012-11-09T14:35:28-05:00,emailnotfound
need ride to n va (exit 321 va),tricities,http://tricities.craigslist.org/rid/3386785261.html,i need a ride to pick up a vehical i bought on ebay. my oridginal ride cancelled at the last minute leaving me scrambleing to get there. i will pay the fuel cost to get there and would like to leave as soon as possible. thank you mike email or call e [...],2012-11-04T17:44:00-05:00,emailnotfound
i need to go to fl-me and my 49cc scooter (jc to fl),tricities,http://tricities.craigslist.org/rid/3386562088.html,i need a ride for me and my 49cc scooter from jc to tampa fl(or anywhere in fl and i can ride the rest of the way on my scooter). need to leave on or around thanksgiving. will share the price of gas. send me an email telling me when u plan on leaving [...],2012-11-04T15:55:12-05:00,emailnotfound
free ride tri-cities to buffalo ny (buffalo),tricities,http://tricities.craigslist.org/rid/3382662616.html,leaving nov 10 to buffalo ny if you need a ride .or any ware in route is welcome,2012-11-02T19:13:59-04:00,emailnotfound
going to knoxville nov. 6th (greeneville),tricities,http://tricities.craigslist.org/rid/3377102995.html,i'm heading down to the airport on november 6th at about 1pm. i'd be happy give someone a ride in exchange for splitting gas costs. thanks! ,2012-10-31T11:54:48-04:00,emailnotfound
ride needed - johnson city to lansing mi on thu 11/15 (johnson city),tricities,http://tricities.craigslist.org/rid/3373774307.html,"i'm looking for a ride from johnson city to lansing , mi. 
leaving november 15th returning november 26th. or any other future dates beyond this. contact me on zimride: http://www.zimride.com/ride/share?ride=510579 ",2012-10-29T20:39:18-04:00,emailnotfound
going west (farmington new mexico),tricities,http://tricities.craigslist.org/rid/3373580562.html,small family moving back west will share the gas hotel and cover all food two adults and a dog plus our stuff(will fit in a car) if your going that way text us at 5054025669,2012-10-29T18:57:55-04:00,emailnotfound
anyone heading north on 81? (wytheville to roanoke),tricities,http://tricities.craigslist.org/rid/3356017288.html,"i will be getting into wytheville, va somewhere around 5pm on monday. if anyone is heading north on 81, i will be trying to get north to roanoke. i could really use a lift, it will be the last leg of my journey back home to bedford, va from michigan. [...]",2012-10-22T04:03:19-04:00,emailnotfound
thanksgiving in pa (johnson city to devon pa),tricities,http://tricities.craigslist.org/rid/3341681724.html,my son and i will like to spend thanksgiving in pa. will help with gas to and from. if you are leaving on nov 21 and back by the nov 25.,2012-10-15T20:40:55-04:00,emailnotfound
personnel transport offered (tri-cities (tn)),tricities,http://tricities.craigslist.org/rid/3306728732.html,"local personnel transport (75 miles or less) offered in tri-cities area. 
- reliable 
- licensed and insured 
- reasonable mileage rates 
email or call/text 276-791-2559 ",2012-10-15T01:14:38-04:00,emailnotfound
musician seeking ride from jc to nashville  oct 10th or after (jctn),tricities,http://tricities.craigslist.org/rid/3296443475.html,"musician seeking ride from jc to nashville oct 10th or after.. 
i am a 33 year old musician that is need of a ride to nashville from johnson city october 10th or after...",2012-10-09T16:52:54-04:00,emailnotfound
"will give local rides in kingsport/johnson city area (kingsport,tn)",tricities,http://tricities.craigslist.org/rid/3310629882.html,"i will give local rides in kingsport,tn. i can give rides to johnson city too. i'm safe and a clean driving record. i live in kingsport area, if your interested or in need please reply with some info about you and ill email you back or text you if yo [...]",2012-10-02T06:59:13-04:00,emailnotfound
