title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered to nyc tuesday 11/20 afternoon (i-91),westernmass,http://westernmass.craigslist.org/rid/3417984031.html,"i'm driving a pickup from new hampshire with a large piece of furniture into brooklyn tuesday afternoon. i'm happy to offer a ride to someone who can help me navigate in, and possibly help me move the furniture in to the apartment. i will then leave  [...]",2012-11-18T07:48:08-05:00,emailnotfound
seeking a ride from amherst to fitchburg tues pm or wed & sun pm,westernmass,http://westernmass.craigslist.org/rid/3417214588.html,"hi my sister and i are seeking a ride from the sunderland/amherst area to fitchburg on tuesday night after 10:30pm or wednesday morning to arrive by 10am, as well as a return ride on sunday any time after 9pm. we have a ride home(to new bedford) for  [...]",2012-11-17T18:38:27-05:00,emailnotfound
ride offered noho-&gt; hudson valley 11-21 via rt 84 (monroe ny),westernmass,http://westernmass.craigslist.org/rid/3417167058.html,i am heading to monroe ny on wednesday evening via rt 84. i can drop you off anywhere along the way. ,2012-11-17T18:13:21-05:00,emailnotfound
wmass to san francisco ,westernmass,http://westernmass.craigslist.org/rid/3417166561.html,"hello, 
i am looking for someone to share driving and gas expense out to california. i am a 26 year old female. i am moving out there to attend grad school in january. we would be taking a toyota corolla. i will have my stuff in the car, so not a who [...]",2012-11-17T18:13:07-05:00,emailnotfound
"seeking: boston or maine, tues. (northampton)",westernmass,http://westernmass.craigslist.org/rid/3416684149.html,"hello! i am looking for a ride to boston or maine on tuesday, any time. portland would be great, or even further would be fantastic! (final destination waldo county.) if you're heading up for thanksgiving and wouldn't mind some company, i may be your [...]",2012-11-17T14:38:25-05:00,emailnotfound
ride offered: bdl to springfield/noho/amherst / or to bdl./ - anytime! (chicopee),westernmass,http://westernmass.craigslist.org/rid/3416525130.html,"service offered - one-way 
bdl to springfield/nearby - $50 
bdl to noho/amherst - $60 
springfield to bdl - $50 
noho/amherst to bdl - $60 
also to nyc $150/160 
call for anything else. cheapest rides available! not by the mile, flat-rates only. 
no  [...]",2012-11-17T13:36:28-05:00,emailnotfound
urgent ride needed (amherst to boston),westernmass,http://westernmass.craigslist.org/rid/3415995246.html,"hey hey everyone, i need a ride from amherst to boston today, the earlier the better. i will split the cost with you, and provide great conversation along the way. please let me know, thanks. ",2012-11-17T10:01:16-05:00,emailnotfound
we go anywhere  (hampshire cty. ma.),westernmass,http://westernmass.craigslist.org/rid/3415881308.html,"we can provide transportation anywhere for very reasonable rates, we are licensed and insured to do this. call american knight limousine at 413 586 limo (5466) before you ride with a stranger",2012-11-17T08:54:31-05:00,emailnotfound
ride needed from amherst/noho to nyc thanksgiving week (nyc),westernmass,http://westernmass.craigslist.org/rid/3415804639.html,umass student willing to leave from the amherst area to nyc from tuesday night until anytime on wednesday. will chip in for gas and other expenses.,2012-11-17T07:56:11-05:00,emailnotfound
ride needed to north carolina  (amherst),westernmass,http://westernmass.craigslist.org/rid/3415384008.html,"my sister and i are looking for ride back down to asheville, north carolina on saturday november 24th or sunday the 25th. we have gas money to share! ",2012-11-16T22:44:51-05:00,emailnotfound
need a ride to nyc from amherst on wednesday (amherst-nyc),westernmass,http://westernmass.craigslist.org/rid/3415332014.html,"hi, 
i need a ride to amherst- nyc on wednesday. 
happy to split the cost.",2012-11-16T22:07:32-05:00,emailnotfound
