title,postingFrom,permalink,shortDescription,postingDate,mailToLink
durango to phoenix (ride offered),westslope,http://westslope.craigslist.org/rid/3417533852.html,"ride offered from durango to phoenix. leaving on 22nd and return on 25th. if u r heading that way, text me @ 970-903-2235",2012-11-17T19:52:27-07:00,emailnotfound
need a few items transported from silt to denver or ft. collins (silt or carbondale),westslope,http://westslope.craigslist.org/rid/3416581347.html,"hi, 
i need a mountain bike, a guitar, and a few fishing poles transported to denver or ft. collins before thanksgiving. give me a call if you are heading over and have some room. i could possibly have the stuff brought to carbondale if needed. 970-3 [...]",2012-11-17T11:58:06-07:00,emailnotfound
vail to colorado springs (edwards),westslope,http://westslope.craigslist.org/rid/3416141737.html,"i'm traveling from vail to cos this coming tuesday. i'll be leaving around 6:30am. i don't have too much extra room for luggage, but i do have an extra seat.",2012-11-17T09:07:49-07:00,emailnotfound
durango to seattle no passangers only cargo/ trailer (durango),westslope,http://westslope.craigslist.org/rid/3415457591.html,"full size truck headed north west, hitch open for a trailer, i have no room for passengers will be leaving durango co dec 8-9, reasonable pricing . i am a safe responsible driver 
thanks ",2012-11-16T21:43:27-07:00,emailnotfound
"offered: santa fe-&gt;durango-&gt;indian creek (indian creek, ut)",westslope,http://westslope.craigslist.org/rid/3407668935.html,"ride round trip santa fe to indian creek, ut via chama, pagosa springs, durango, co. leaving santa fe wednesday or thurs (11/21 or 11/22). returning from moab to santa fe on saturday or sunday (11/24 or 25). room for at least 1 person and some stuff. [...]",2012-11-16T20:38:48-07:00,emailnotfound
"ny to co anyone? (oneonta, ny to glenwood springs, co)",westslope,http://westslope.craigslist.org/rid/3415169188.html,"hello, 
i am moving to glenwood springs, co from oneonta, ny and i am looking for a ride? i can pitch in with gas, etc.",2012-11-16T18:26:03-07:00,emailnotfound
seeking: durango to telluride 11/30 or 12/1 (airport to telluride),westslope,http://westslope.craigslist.org/rid/3415072991.html,"i'm flying into durango on the 30th and trying to find my way up to telluride. if you're heading that general direction (or that exact direction, if i may be so lucky) let's carpool. i don't stink and i can chip in for gas. depending on circumstances [...]",2012-11-16T17:34:05-07:00,emailnotfound
ride needed: 11/21 (telluride to denver),westslope,http://westslope.craigslist.org/rid/3414991713.html,"hi! 
i would love to see my family this thanksgiving and i can do that if i can get to denver. 
if you are going from telluride to denver or vail i would love to help with gas to join. 
leaving wed (11/21) or thurs (11/22) would be ideal. 
thank you  [...]",2012-11-16T16:53:06-07:00,emailnotfound
durango to phoenix (11/22 - 11/25),westslope,http://westslope.craigslist.org/rid/3414724507.html,i am planning to go to phoenix for thanksgiving. i am looking for a ride from durango to phoenix either on wednesday evening or thursday morning... or possibly rent a car and offer a seat for a fuel costs. i come back on sunday. please hit me up (970 [...],2012-11-16T14:52:10-07:00,emailnotfound
durango to telluride 11-24/25/26 (durango airport),westslope,http://westslope.craigslist.org/rid/3414006782.html,"hey, i fly into durango on the 24th; looking to catch a ride to telluride, or possibly rent a car and offer a seat for a share of fuel costs. i'm flexible. 26yo male, chill. text preferred initially...708-337-5111",2012-11-16T10:20:44-07:00,emailnotfound
