title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride to asheville from wilmington,wilmington,http://wilmington.craigslist.org/rid/3417301671.html,"i need a person with a pick-up or large truck going to asheville. have got a good bit of luggage (4suitcases and 2 duffles). can leave any time or day. thanks 
dana 
910-274-6748",2012-11-17T19:25:28-05:00,emailnotfound
wilmington to cleveland txgiving,wilmington,http://wilmington.craigslist.org/rid/3417056294.html,"i'm driving from wilmington up 40 and then 77 all the way to cleveland for thanksgiving. 
i'll be leaving wilmington tuesday night or wednesday and drive straight through. 
if anyone is interested in a ride i could use someone to split the gas, i'll  [...]",2012-11-17T17:19:03-05:00,emailnotfound
affordable transportation (truck) available (wilmington or other nc cities),wilmington,http://wilmington.craigslist.org/rid/3364751819.html,"i am self-employed, so my schedule is fairly flexible. i am available to drive you locally or as far as fayetteville or raleigh some days. i have a truck if you need to move things. i would charge a fair price for my time and fuel. contact me at the  [...]",2012-11-17T14:55:25-05:00,emailnotfound
person with pickup truck needed (wilmington),wilmington,http://wilmington.craigslist.org/rid/3416241665.html,"i am looking for someone with a pickup to take me, my 2 cats and a truck full of belongings to charlotte nc this week. i am offering $75 plus gas there and back!",2012-11-17T11:47:41-05:00,emailnotfound
seeking ride (wilmington to ahoskie),wilmington,http://wilmington.craigslist.org/rid/3415147951.html,"seeking ride to ahoskie from wilmington. starting new job monday and have to get some tools from storage at my grandparents house. have been unemployed for some time and dont have alot to offer, but i am a good samaritin and have good word, meaning i [...]",2012-11-16T20:14:08-05:00,emailnotfound
seeking ride to charlotte for thanksgiving  (wilm to charlotte and back),wilmington,http://wilmington.craigslist.org/rid/3414443553.html,"would like a ride to charlotte starting wed, nov. 21 and come back sunday, or something like that. i can help pay for gas and drive. my car gets 13 mpg and would be about 30 gallons of gas, so lets ride in your car! ",2012-11-16T15:00:52-05:00,emailnotfound
ride offered: wilmington to chapel hill or along the way (&back),wilmington,http://wilmington.craigslist.org/rid/3414369956.html,"i'm driving from wilmington to chapel hill on november 19th and coming back on the 24th. 
i have a few quick errands to run along the way (returning a friend's book in rtp and selling some books in durham) so if that's okay with you, you can come alo [...]",2012-11-16T14:32:54-05:00,emailnotfound
drivers needed - patient to dr office transporter (wilmington and surrounding areas),wilmington,http://wilmington.craigslist.org/rid/3384566386.html,"boomerang transport is hiring reliable drivers in the wilmington area to provide rides for injured workers to and from their doctors/physical therapy appointments. this is a straight forward and low stress driving job, but there are a few basic requi [...]",2012-11-16T10:22:14-05:00,emailnotfound
ride to raleigh (wilmington),wilmington,http://wilmington.craigslist.org/rid/3412924990.html,"i genuinely need a ride for myself and my little maltese dog, fluffy (6pounds) to visit my little god-daughter, angelina, for the holiday. 
i can pay half the gas. 
i have attached a photo of fluffy and angelina. 
thank you so much!! 
ally 
855-942-0 [...]",2012-11-15T21:50:01-05:00,emailnotfound
"wilmington-maryland/pennsylvania (wilmington, nc)",wilmington,http://wilmington.craigslist.org/rid/3411749649.html,"anyone need company who is driving towards maryland/pennsylvania??? i need to get home, shoot me an email",2012-11-15T13:03:48-05:00,emailnotfound
