title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need a ride from triad area to dc area  (kernersville),winstonsalem,http://winstonsalem.craigslist.org/rid/3414862314.html,senior lady looking for just a ride to her daughter's near dc - this sunday or monday nov. 18 or 19th. will pay for gas. ,2012-11-16T17:51:29-05:00,emailnotfound
ride offered - high point to atlanta on wed 11/14 @ 8pm (high point),winstonsalem,http://winstonsalem.craigslist.org/rid/3371867832.html,"i drive a nice gas efficient 09' honda civic and it is in excellent running, driving & traveling condition. if anyone is looking to pitch in on gas for a ride up to high point nc or anywhere you'd like to be dropped off along the way you are welcome  [...]",2012-11-16T11:09:53-05:00,emailnotfound
"winston-salem to syracuse, ny (november 16)",winstonsalem,http://winstonsalem.craigslist.org/rid/3412959472.html,heading out november 16. leaving winston-salem around 11am. route 81n almost all of the way. you have about 13 hours before i leave. only awesome people.,2012-11-15T22:11:29-05:00,emailnotfound
handicap accessible tran needed (yadkin/ davie),winstonsalem,http://winstonsalem.craigslist.org/rid/3411129887.html,"hey, i have a friend he is 51 yrs old, paraplegic and is in a nursing home in yadkinville. i would like to invite him to my home for dinner on the weekend of november 24 or 25. i live south/ west of mocksville, i would like to find someone that i cou [...]",2012-11-15T08:15:46-05:00,emailnotfound
van and trailer for hire (nc),winstonsalem,http://winstonsalem.craigslist.org/rid/3382864334.html,anyone looking for a ride or to have something moved anywhere in the usa. i have a full size conversion van so any trip will be comfy and i have a 6x6 trailer i can haul things as well. have ins and several yrs truck driving exp so drop me a line and [...],2012-11-15T00:09:52-05:00,emailnotfound
need a ride to lexington from kernersville  (kernersville to lexington),winstonsalem,http://winstonsalem.craigslist.org/rid/3409970777.html,"in need of a ride from kernersville to lexington thursday and friday of this week, then monday through friday of next week. please contact me asap if you are willing and able to help me. thanks so much!! ",2012-11-14T16:29:00-05:00,emailnotfound
looking for a ride to dc for the invisible children rally (winston-salem),winstonsalem,http://winstonsalem.craigslist.org/rid/3409167656.html,"hi! if anyone is going to dc either today (wednesday) or thursday or friday, i'd really appreciate a ride with you. you can email me or hit me up at 513-348-3242. thanks so much! 
peace, 
brad",2012-11-14T11:32:48-05:00,emailnotfound
is anyone coming to wilmington anytime soon? (wilmington),winstonsalem,http://winstonsalem.craigslist.org/rid/3408332779.html,"i left my pillow at the atrium inn in high point. 
it is like pulling teeth to get it shipped back here. the management at the hotel will not put it in a box, and fedex will not bring a box. 
if anyone is coming to wilmington anytime soon, if you cou [...]",2012-11-13T22:41:49-05:00,emailnotfound
ws to atlanta (ws),winstonsalem,http://winstonsalem.craigslist.org/rid/3406995732.html,going to atlanta on wed 11/14 just looking to save on gas if anyone wants a ride that way coming back on sat. can text 3362874338 if interested,2012-11-13T12:56:41-05:00,emailnotfound
need a ride as close to vermont as possible. 20th or 21st??!! (from winston salem to vermont ),winstonsalem,http://winstonsalem.craigslist.org/rid/3406484842.html,"looking to get home for thanksgiving. just need a ride to either vermont or mass. two of us are looking to travel, we are 21 and 23. ready to pitch in for gas. we are located in winton-salem but are willing to meet somewhere else if need be!",2012-11-13T09:35:35-05:00,emailnotfound
daily communte to uptown charlotte (winston salem),winstonsalem,http://winstonsalem.craigslist.org/rid/3397718283.html,"i drive daily from the wfu campus area to uptown charlotte (tryon & trade). i leave ws by 7:50 am arriving around 9:10 am. i leave charlotte by 5:15 pm. 
if you do a similar commute and would like to save on some gas. please shoot me an email. ",2012-11-09T11:52:24-05:00,emailnotfound
winston salem area to asheville,winstonsalem,http://winstonsalem.craigslist.org/rid/3392677445.html,"i will be passing through winston salem this weekend to go to asheville. if you need a ride it is $20 one way per person. i have a big comfortable car. 
text me @ 919- six three seven - three five six zero. cat",2012-11-07T09:58:54-05:00,emailnotfound
i need a ride south  (atlanta or tampa),winstonsalem,http://winstonsalem.craigslist.org/rid/3384502976.html,i am hoping to get to atl. or tampa asap. i can contribute to gas expenses. if you are headed that way and this works for you please call 336-268-6590,2012-11-03T16:18:05-04:00,emailnotfound
myrtle beach or knoxvillt tenn (from winston-salem area),winstonsalem,http://winstonsalem.craigslist.org/rid/3382846760.html,need ride asap or im walking so let me know,2012-11-02T20:53:44-04:00,emailnotfound
anyone going to jacksonville nc or myrtle beach? (from winston-salem),winstonsalem,http://winstonsalem.craigslist.org/rid/3379907449.html,i need to get there asap please help,2012-11-01T16:04:28-04:00,emailnotfound
need ride south (tampa),winstonsalem,http://winstonsalem.craigslist.org/rid/3379398622.html,"i am needing a ride south to tampa, asap. i can help with gas expenses. please give me a call if this works for you, 336-268-6590.",2012-11-01T12:49:02-04:00,emailnotfound
need ride from ws to lexington,winstonsalem,http://winstonsalem.craigslist.org/rid/3377097813.html,need ride mon-fri from winston to lexington monday thru friday. times are 12p.m.-9p.m. would be happy with anything around that those times. one way or both ways. one day or five days. whichever would be fine.,2012-10-31T11:52:44-04:00,emailnotfound
unbeatable low fares on travel to any city,winstonsalem,http://winstonsalem.craigslist.org/rid/3327857791.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-10-29T22:15:45-04:00,emailnotfound
11/1-11/5u.p. michigan to north carolina via pennsylvania and back  (mi - nc and everywhere in between),winstonsalem,http://winstonsalem.craigslist.org/rid/3373506304.html,"hey, 
i am going on a long road-trip to go vote and see family in fayetteville, nc this weekend. i will be leaving houghton thursday at around 5pm. i hope to make it to somewhere in pennsylvania by the morning where i will pick up another driver to f [...]",2012-10-29T18:21:55-04:00,emailnotfound
w-s to durham (winston-salem),winstonsalem,http://winstonsalem.craigslist.org/rid/3371374912.html,needing a rideshare to durham daily can alternate drive time 2011 altima contact raquel @ 919-684-7111 work or cell @ 919-672-0461 ,2012-10-28T19:31:45-04:00,emailnotfound
ride needed (lexington to denton),winstonsalem,http://winstonsalem.craigslist.org/rid/3366380992.html,i am need of a ride from lexington to denton daily.my work schedule is from 7 to 5.i can pay weekly or daily.my car is not running and i need to get to work.please call 336 327 2872. thanks and god bless.,2012-10-26T12:25:32-04:00,emailnotfound
advance to clemmons (advance),winstonsalem,http://winstonsalem.craigslist.org/rid/3365918677.html,"hi there, i am a single mom without a vehicle. i work in clemmons from 7am-2pm. if anyone would be able to take me to work on their way to work, i would be very grateful and willing to help pay for gas. i don't have much but name a price and i will s [...]",2012-10-26T08:52:03-04:00,emailnotfound
need ride for kids from south winston to pfafftown (ws to pfafftown),winstonsalem,http://winstonsalem.craigslist.org/rid/3358744177.html,"need transportation for kids from south winston to pfafftown. need to be dropped off nlt 8:15 but can be as early as 7:45 and picked up by 3:45. 
will help with gas plus an additional $50.00/wk. 
the sooner the better, kids were approved for open enr [...]",2012-10-23T09:02:07-04:00,emailnotfound
ride needed weekdays to healy dr (downtown pickup healy dr.drop off),winstonsalem,http://winstonsalem.craigslist.org/rid/3350817069.html,"will help with gas, looking for a ride monday-friday 7:30am pickup from downtown to healy drive area. return at 5pm 
thanks!!",2012-10-19T16:56:14-04:00,emailnotfound
looking for ride to northern va/dc area (dale city),winstonsalem,http://winstonsalem.craigslist.org/rid/3348886551.html,"hello, 
im looking for a ride to dale city va on oct.24(after630pm) or oct.25(anytime). if you can help please e-mail me back asap! 
thanx",2012-10-18T20:09:55-04:00,emailnotfound
"going to ws am, return to kville pm weekdays (kernersville)",winstonsalem,http://winstonsalem.craigslist.org/rid/3346088940.html,"i leave kernersville at 7-7:20am and go to downtown winston and east winston. return 5-6. i could put you in the car for gas money. cleanliness and decency is required. not a taxi, just looking to consolidate resources!",2012-10-17T17:05:16-04:00,emailnotfound
ride offered to lynchburg,winstonsalem,http://winstonsalem.craigslist.org/rid/3344199421.html,"driving up to lynchburg, va on friday, coming back on sunday. can pick up anywhere along the way. let me know what you care to contribute to in gas money. one way in my car typically costs $50 in gas, looking for someone who can contribute part of th [...]",2012-10-16T20:58:23-04:00,emailnotfound
ride needed - north carolina to miami gardens on tue 10/23 (north carolina),winstonsalem,http://winstonsalem.craigslist.org/rid/3344171029.html,"i'm looking for a ride from north carolina to miami gardens. 
leaving october 23rd returning november 1st. i am flexible with arrival and departure! contact me on zimride: http://www.zimride.com/ride/share?ride=497523 ",2012-10-16T20:43:21-04:00,emailnotfound
heading to the northwest from winston salem nc (goal: washington state),winstonsalem,http://winstonsalem.craigslist.org/rid/3341433499.html,in winston-salem currently - wanting to get to washington state if anyone is headed that way soon. ,2012-10-15T18:39:59-04:00,emailnotfound
nc to indiana oct. 14th (union grove),winstonsalem,http://winstonsalem.craigslist.org/rid/3328704849.html,"will be driving from union grove, nc across to louisville ,ky and then on to central indiana. will be traveling on sunday oct. 14th. please call if you need a ride. 770-286-4991 i plan to be driving a chevy cavalier but if it is needed i can drive a  [...]",2012-10-10T06:17:03-04:00,emailnotfound
occupy wall street activist stuck and stranded (thomasville),winstonsalem,http://winstonsalem.craigslist.org/rid/3317452718.html,"hello, my name is jeremy but people call me germ. for the past year, i have been an active participant in the occupy wall street movement in new york city where i am a radical librarian and poet. after participating in the recent democratic national  [...]",2012-10-05T00:36:45-04:00,emailnotfound
have to get to work (ws..near wake forest),winstonsalem,http://winstonsalem.craigslist.org/rid/3315803058.html,i work in lewisville/clemmons and i work from 7 to 3...my car is down and i need to get to work ....anybody going that way in the morning please email me ...please i can help with gas.....thank you,2012-10-04T11:39:31-04:00,emailnotfound
going to vt,winstonsalem,http://winstonsalem.craigslist.org/rid/3315207231.html,"i am driving to vt tomorrow. looking for someone to keep me company and help on gas. 
email me or call (415) 342-9465",2012-10-04T02:18:08-04:00,emailnotfound
iso rideshare to myrtle beach (winston salem),winstonsalem,http://winstonsalem.craigslist.org/rid/3312352825.html,looking for someone with reliable vehicle to ride to mb. will pay half gas expenses. need to go oct 7 or 8 and return oct 9. ,2012-10-02T20:04:44-04:00,emailnotfound
w-s to charleston (oct. 4),winstonsalem,http://winstonsalem.craigslist.org/rid/3282554674.html,"leaving winston around 5:30 p.m. on thursday, oct. 4 and returning midday oct. 8. i have an suv so i would have room for a bicycle or any other items. please email me if interested. gas money is appreciated, not necessarily required if you're in a bi [...]",2012-09-19T14:14:10-04:00,emailnotfound
