title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"can haul loads under 1500lbs across the country. (seattle, denver, baltimore)",wyoming,http://wyoming.craigslist.org/rid/3396656220.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T21:39:08-07:00,emailnotfound
ride offered 11/19 (montana to cheyenne),wyoming,http://wyoming.craigslist.org/rid/3416776981.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:16:04-07:00,emailnotfound
"sheridan to points west (idaho, slc or denver, reno)",wyoming,http://wyoming.craigslist.org/rid/3416757652.html,"i am going to be leaving northern wyoming for reno, nevada saturday or sunday 24 or 25 november. i can pass through denver if you pay for the gasoline. or for those heading west, we can split the cost of fuel to idaho, northern utah or northern nevad [...]",2012-11-17T13:08:09-07:00,emailnotfound
need ride to rapid city sd from wheatland ,wyoming,http://wyoming.craigslist.org/rid/3416438988.html,im a female looking for a ride. to rapid city sd from wheatland for anytime before tuesday just trying to go home for thanksgiving. can pay for gas please text 605 863 3021. thank u ,2012-11-17T11:03:46-07:00,emailnotfound
"need ride jackson to salt lake 11/19 (jackson, wy)",wyoming,http://wyoming.craigslist.org/rid/3415635494.html,looking for a ride to slc from jackson area and happy to chip in for gas!,2012-11-17T01:05:16-07:00,emailnotfound
will pay for gas!! please help (from jackson or victor to idaho falls ),wyoming,http://wyoming.craigslist.org/rid/3415517187.html,i am going to see my brother for the holiday on monday the 19th but the only shuttle i can get is out of idaho falls and i have no car. please let me know if you can help. i would prefer to get picked up in victor but if driggs or jackson is more con [...],2012-11-16T22:37:43-07:00,emailnotfound
"western sd to ohio (black hills, sd)",wyoming,http://wyoming.craigslist.org/rid/3415268815.html,"heading east from western south dakota to ohio and all points in between. leaving tuesday, november 20th. truck with 8 ft. bed and topper. can pull a trailer. no email. call (605) 673-2428. ",2012-11-16T19:25:25-07:00,emailnotfound
need ride douglas cheyenne (douglas),wyoming,http://wyoming.craigslist.org/rid/3414892946.html,i need a ride to cheyenne from douglas if you goint that way pleaase let me know 505-227-1032,2012-11-16T16:05:34-07:00,emailnotfound
heading east ~thanksgiving (cheyenne),wyoming,http://wyoming.craigslist.org/rid/3408579896.html,"i'm driving east on i-80 as far as pittsburgh, pa, starting thanksgiving day or just after. 
i have room for one or two passengers along the way, to places such as omaha, chicago, cleveland. 
i'm a middle-aged professional (straight) male, non-smoker [...]",2012-11-16T10:37:45-07:00,emailnotfound
need boxes delivered to green river (cheyenne to green river),wyoming,http://wyoming.craigslist.org/rid/3413179126.html,"i have five empty boxes that i would like delivered to green river before 22 nov 12. 
you you are traveling to green river and can help me, please give me a call 3o72i4o329 
my name is steven",2012-11-15T23:01:34-07:00,emailnotfound
ride needed slc to jackson hole 11/26 or 25,wyoming,http://wyoming.craigslist.org/rid/3413105060.html,happy to chip in for gas from salt lake city to jackson hole. ,2012-11-15T21:54:19-07:00,emailnotfound
"heading east i-90 friday! (wy, mt, id)",wyoming,http://wyoming.craigslist.org/rid/3412292840.html,"hello, i'm heading home to nampa, idaho from sheridan, wy. i'm taking the 90 east through billings, bozman, idaho falls, twin, and to boise. if you an help out a little with gas you have a ride. plan on leaving friday morning. give me a call or email [...]",2012-11-15T14:35:57-07:00,emailnotfound
thanksgiving rideshare east (wy-ga),wyoming,http://wyoming.craigslist.org/rid/3411796884.html,"driving from wyoming to atlanta via cody, casper, lincoln, kansas city, st louis, nashville. leaving tuesday afternoon nov 20 to arrive in atl wednesday night, returning saturday nov 24 to arrive home sunday. $100/per way or will adjust according to  [...]",2012-11-15T11:21:24-07:00,emailnotfound
denver last week of month? (gillette to denver),wyoming,http://wyoming.craigslist.org/rid/3411041854.html,"anyone heading south and wanting company or another driver from gillette to denver before the first? i have a ride back to gillette, would rather hitch a ride than ride bus. ",2012-11-15T04:24:42-07:00,emailnotfound
looking for ride cheyenne to colorado springs (colorado springs),wyoming,http://wyoming.craigslist.org/rid/3410878507.html,looking for a ride from cheyenne to colorado springs or pueblo nov 16 or 17th.,2012-11-14T23:15:23-07:00,emailnotfound
leaving buffalo to san diego tomorrow am (buffalo wy),wyoming,http://wyoming.craigslist.org/rid/3410874769.html,"i am going to san diego, small newer car, comfortable, non smoking. would like if you can help with gas. thank you.",2012-11-14T23:11:01-07:00,emailnotfound
"ride offer to boise, id and everywhere in between (sheridan, wy)",wyoming,http://wyoming.craigslist.org/rid/3410066342.html,"leaving tomorrow or friday heading home to nampa, id. passing thorugh mt into idaho if you help for gas you got a ride thank you! call or text or email me! 2083537125",2012-11-14T15:08:40-07:00,emailnotfound
"trying to find ride for a cake from idaho falls to laramie wy (laramie, wy)",wyoming,http://wyoming.craigslist.org/rid/3409951086.html,"trying to get my son's birthday cake to him on friday nov 16 or that weekend... 
if you are driving home to laramie or nearby... please let me know if you'd be willing to do this. 
thanks!",2012-11-14T14:21:08-07:00,emailnotfound
need a ride east?? (north central iowa),wyoming,http://wyoming.craigslist.org/rid/3407039720.html,"i need to get back to iowa for 2-4 weeks. 
tentative plan is leave wellington co. tomorrow sometime. (wed 14th) typically, i'll drive straight thru. 
i take i-25 north to cheyenne, then east on i-80 until i reach des moines, then north on i-35 approx [...]",2012-11-13T11:12:33-07:00,emailnotfound
11/17 laramie to foco/loveland then co springs (laramie - colorado springs),wyoming,http://wyoming.craigslist.org/rid/3405695622.html,i'll be driving down to colorado springs on saturday to watch my brother play a basketball game. i plan on departing laramie early in the morning (~8am) so that i can make a pit stop in loveland to run some errands. i'll be spending saturday evening  [...],2012-11-12T18:45:45-07:00,emailnotfound
cody to douglas (cody),wyoming,http://wyoming.craigslist.org/rid/3404503339.html,"looking for a ride on tuesday or the weekend. just me and my small dog. will share expenses . 
call 587-2742, or email. 
randy",2012-11-12T10:53:44-07:00,emailnotfound
need a much needed ride to denver (laraime to denver),wyoming,http://wyoming.craigslist.org/rid/3403801803.html,"hi my name is ace trying to head to denver from laraime,wy as early in the morning of 11-20-12 i have a bus to catch at 1145. so if any one is heading dat way plz let me know asap 2o6-32i-ooi5",2012-11-12T05:43:23-07:00,emailnotfound
ride offert douglas 1-25 south  (casper douglas),wyoming,http://wyoming.craigslist.org/rid/3397901521.html,goin to cheyenne call if you need a lift 505-227-1032,2012-11-11T19:17:29-07:00,emailnotfound
laramie to cheyeene (west larmie),wyoming,http://wyoming.craigslist.org/rid/3401844345.html,need a ride to cheyeene today. no problems helping with gas or whatever. willing to pay. just need to be in cheyeene today,2012-11-11T07:13:41-07:00,emailnotfound
"jacksonhole to denver, co (wy-co)",wyoming,http://wyoming.craigslist.org/rid/3391120275.html,"heading south to denver, colorado on (or around) 11/29/12 
we are asking for a third of gas and tolls. the ride is 527 miles, 8 hours and 40 minutes. 
call/text/email anytime 
laura 
508 212 5434",2012-11-10T19:43:12-07:00,emailnotfound
need items from or to billings (cody to billings),wyoming,http://wyoming.craigslist.org/rid/3399348573.html,i do alot of driving back and forth from cody to billings. i can pick up items or take items to billings. prices vary and depend on location.i have a small car so i can't haul large items.,2012-11-09T23:46:40-07:00,emailnotfound
"need ride to grandd junction, co (alpine,wy)",wyoming,http://wyoming.craigslist.org/rid/3399289423.html,"hi i'm moving back to grand junction colorado. i will of course assist in paying for gas, i don't have too many belongings (for a girl). i'm looking for asap!! thank you :)",2012-11-09T22:38:29-07:00,emailnotfound
ride offered -  going east on 80 (interstate 80),wyoming,http://wyoming.craigslist.org/rid/3390694743.html,"hello, 
my girlfriend, dog and i are heading to minneapolis from utah today. we're going to pass through wyoming on the 80 east, and if you need a ride part way or want to go all the way to minneapolis give us a call at 805-423-6577 and we can discus [...]",2012-11-06T10:11:25-07:00,emailnotfound
"cheyenne to denver, offered",wyoming,http://wyoming.craigslist.org/rid/3388621640.html,"hi there, 
anyone trying to get to denver? time/date flexible, but looking to go soon... 
thanks! ",2012-11-05T12:12:01-07:00,emailnotfound
want a ride to california???? (norcal),wyoming,http://wyoming.craigslist.org/rid/3387229122.html,"leaving wednesday for northern cal., looking for a rider to share gas, expenses, etc...let me know.....",2012-11-04T20:02:14-07:00,emailnotfound
