title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need a ride (yakima),yakima,http://yakima.craigslist.org/rid/3414851822.html,"young couple stuck in yakima wa. we are headed for california 
but will gladly take any ride headed south of here 
we have 20+$ to contribute. we r 420 friendly n also hav a small kitten companion. 
please contact if u feel u can help 
thak u red & m [...]",2012-11-16T14:46:51-08:00,emailnotfound
leaving to seattle at 11 (yak 2 sea/tac),yakima,http://yakima.craigslist.org/rid/3414688875.html,headed to seattle / tacoma area .......send me an email......thanks,2012-11-16T13:37:27-08:00,emailnotfound
carpool: cle elum-redmond (ellensburg-cle elum-roslyn),yakima,http://yakima.craigslist.org/rid/3407601976.html,"looking for carpool... just moved to roslyn from seattle and work in redmond. will make stops on way. would like all to meet at cle elum safeway,figure it is a good way to get right back on the highway. i have a v6 pathfinder we can switch vehicles w [...]",2012-11-13T13:39:54-08:00,emailnotfound
need commute to the summit for work (ellensburg),yakima,http://yakima.craigslist.org/rid/3398949654.html,"i got a job as line cook at the summit, but my transportation went out the window. so until i have my own transportation, i would need to commute with someone. i have references to prove i'm not crazy",2012-11-09T17:24:08-08:00,emailnotfound
yakima to tacoma area and back,yakima,http://yakima.craigslist.org/rid/3397754118.html,"monday the 12th. i need a lift, or will drive your car or mine. email and leave a phone number.",2012-11-09T09:05:36-08:00,emailnotfound
vanpool needs driver/rider - cle elum to seattle (cle elum),yakima,http://yakima.craigslist.org/rid/3396798633.html,"king county metro vanpool group needs driver/rider for monday - thursday commute. 
leave golf course road at 5:15 am and return about 5:45 pm. 
stops at issaquah park&ride, eastgate park&ride and downtown seattle. 
please contact cynthia via email wi [...]",2012-11-08T19:42:56-08:00,emailnotfound
need!: ride to seattle friday evening (ellensburg),yakima,http://yakima.craigslist.org/rid/3394284419.html,"hi-looking for a ride on friday to seattle downtown and back on monday. let me know if youre going...pleasant dude with good music. have 2 bags. 
thanks! ",2012-11-07T18:04:28-08:00,emailnotfound
"yakima to clearlake, ca 11-12 (yakima)",yakima,http://yakima.craigslist.org/rid/3391726183.html,"headed to clearlake, ca. i am leaving at 7:00 am from yakima. i will going through portland and along the i -5 corridor. i can make stops within reason. i have a reliable late model sedan. please let me know. i have an ad on ridejoy. com 
thanks 
pet [...]",2012-11-06T16:08:26-08:00,emailnotfound
need ride to mount vernon asap (ellensburg),yakima,http://yakima.craigslist.org/rid/3388976264.html,"i need a ride to mount vernon asap, and have gas money to contribute. good conversationist. thanks much",2012-11-05T13:22:00-08:00,emailnotfound
looking for ellensburg to snoqualmie pass every day (ellensburg ),yakima,http://yakima.craigslist.org/rid/3384553848.html,"today myself and 2 others acquired jobs at snoqualmie pass for snowboarding/skiing season, and do not have residence close to. so looking to start a rideshare there and back until we live much closer. thank you for reading.",2012-11-03T13:40:21-07:00,emailnotfound
needing ride from seattle/westside to eburg sunday,yakima,http://yakima.craigslist.org/rid/3380899253.html,looking for ride from seattle to ellensburg any time on sunday(11/4) i will be in auburn but can meet up anywhere between there and seattle to ride back. email if you can help. can throw 20 for gas.,2012-11-01T22:32:16-07:00,emailnotfound
offer: eburg to seattle friday 6pm (eburg),yakima,http://yakima.craigslist.org/rid/3378641045.html,"driving from ellensburg to seattle on friday evening. great car, good tunes, let me know if you want a ride. leave from downtown or cwu. please email back if interested. 
thanks",2012-10-31T23:18:23-07:00,emailnotfound
seattle and back this weekend (roslyn),yakima,http://yakima.craigslist.org/rid/3378453847.html,"i am trying to get to seattle and back this weekend. i am in roslyn, just a few miles off i-90. preferably i'd like to leave friday and return sunday, but open to other timelines. i'd be happy to kick in for gas. thanks.",2012-10-31T19:54:40-07:00,emailnotfound
to south texas (yakima),yakima,http://yakima.craigslist.org/rid/3377866200.html,"looking for a ride to mcallen,tx. mid december...i have a cdl licence, 43 y old . can help w the driving + gas $$..references available.non smoker,good convers...please let me know if ur going that way . thanks.",2012-10-31T13:59:58-07:00,emailnotfound
