title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
marillo to albuquerque (amarillo),amarillo,http://amarillo.craigslist.org/rid/3414313368.html,heading to albuquerque from wichita falls will pass through amarillo early saturday morning pitch in a few bucks for gas and you gotta ride. returning late sunday night or early mon morning if you need a return trip too. ,2012-11-16T13:11:57-06:00,emailnotfound,TRUE,amarillo,2012-11-19T13:11:57-06:00,albuquerque
amarillo to albuquerque,amarillo,http://amarillo.craigslist.org/rid/3414141933.html,"going to albuquerque, contact if needing ride or hauling item(s). time, date, charges/expenses could/are negotiable. plan to leave nlt sunday. 806-681-0078",2012-11-16T12:09:31-06:00,emailnotfound,TRUE,amarillo,2012-06-68T12:09:31-06:00,albuquerque
amarillo tx to denver colorado (amarillo tx ),amarillo,http://amarillo.craigslist.org/rid/3408097726.html,i am driving on thurday 2am in the morning and could pick up anyone headed our way to colorado who is willing to split gas and doesn't mind sharing (very friendly) hit me up if interested text lolo 8066268532,2012-11-13T19:24:02-06:00,emailnotfound,TRUE,amarillo,2012-11-15T19:24:02-06:00,colorado
ride to chicago offered 12/21- okc/st. louis/chicago (amarillo-chicago),amarillo,http://amarillo.craigslist.org/rid/3403148967.html,i'll be leaving amarillo on december 21 around 730pm or very early december 22. i plan on leaving chicago and heading back to amarillo on december 26th. i can stop anywhere along the route such as oklahoma city or st. louis. you will need to chip in  [...],2012-11-11T19:03:07-06:00,emailnotfound,TRUE,amarillo,2012-12-21T19:03:07-06:00,amarillo
"ride offered: amarillo to ok, ar, tn, nc (amarillo to asheville nc)",amarillo,http://amarillo.craigslist.org/rid/3402021644.html,"hi there road warriors! 
i am driving through amarillo tomorrow afternoon and will be headed on to oaklahoma city by tomorrow evening and then through to asheville nc in the following days. i can drop you anywhere along the way. if you want to stay o [...]",2012-11-11T09:59:03-06:00,emailnotfound,TRUE,amarillo,2012-11-11T09:59:03-06:00,oaklahoma
please help (snyder texas),amarillo,http://amarillo.craigslist.org/rid/3389256455.html,trying to get to snyder tx from amarillo just i dont have money im a hot white 29 year old,2012-11-05T17:20:22-06:00,emailnotfound,FALSE,amarillo,2012-11-05T17:20:22-06:00,get
ride offered to colorado ,amarillo,http://amarillo.craigslist.org/rid/3379717976.html,driving through tonight and could pick up anyone headed our way who is willing to split gas and doesn't mind sharing the backseat with our dog (very friendly) hit me up if interested,2012-11-01T13:50:03-05:00,emailnotfound,TRUE,amarillo,2012-11-02T13:50:03-05:00,split
ride offered - amarillo to denver on tue 10/30 (amarillo),amarillo,http://amarillo.craigslist.org/rid/3367439910.html,"i'm offering a ride from amarillo to denver. 
leaving october 30th. 2513778283 contact me on zimride: http://www.zimride.com/ride/share?ride=507473 ",2012-10-26T18:50:36-05:00,emailnotfound,TRUE,amarillo,2012-10-30T18:50:36-05:00,denver.
going to austin nov. 1 ( thursday) (amarillo to austin &amp; back ),amarillo,http://amarillo.craigslist.org/rid/3358225193.html,go down and have fun for the weekend. cost ya $100. willing to negotiate on times. got a wedding. going to austin. leaving thursday afternoon (nov. 1). coming back monday (nov. 5). $50 either way. you don't have to drive. will meet you beforehand if  [...],2012-10-22T21:44:48-05:00,emailnotfound,TRUE,amarillo,2012-11-01T21:44:48-05:00,negotiate
free ride west for stick driver today! (40w to cali ),amarillo,http://amarillo.craigslist.org/rid/3352409814.html,"headed west on 40, should be passing thru amarillo abt 9pm tonight. have room for 1-2 stick drivers. no gas money needed, just need help driving. i am a personable and laid back female. want to drive straight thru to san diego but anywhere along the  [...]",2012-10-20T11:20:04-05:00,emailnotfound,TRUE,amarillo,2012-01-02T11:20:04-05:00,drive
going through amarillo (okc to phoenix),amarillo,http://amarillo.craigslist.org/rid/3352250524.html,"leaving nov 2 going through amarillo to tuscon then to phoenix and back by nov 4th email cash offer, have crew cab with space. ",2012-10-20T10:16:57-05:00,emailnotfound,TRUE,amarillo,2012-11-02T10:16:57-05:00,tuscon
"ride offered to albuquerque, nm (clinton, ok)",amarillo,http://amarillo.craigslist.org/rid/3347493906.html,"coming into amarillo hopefully today or tomorrow, will leave asap. seeking gas-paying riders ($45 for one, or split two-way, up to 2 passengers, tho negotiable), pets okay, luggage okay (up to two heavy packs each). i do all the driving. rv-type rig  [...]",2012-10-18T09:58:10-05:00,emailnotfound,TRUE,amarillo,2012-10-18T09:58:10-05:00,2
"ride offered to dfw, for a mere 100.00 chip in. (amarillo)",amarillo,http://amarillo.craigslist.org/rid/3340882690.html,"100 bucks short of my tire being replaced on the way to dallas fort worth. 
you got a hundred bucks? then you got a ride. pets okay too. 
8173603337 
in a real comfortable motorhome.... 
hell, i'll feed ya too.",2012-10-15T14:00:16-05:00,emailnotfound,TRUE,amarillo,2012-03-10T14:00:16-05:00,dallas
colorado !? (lbk!),amarillo,http://amarillo.craigslist.org/rid/3338516279.html,"hey, i am trying to make gas money to get there. 
please chip me in, ill barter windows 8 keys for gas cards alternatively! 
have a nice day 402-699-5861 (let's get stoned together!) hope the weather is great! ",2012-10-14T13:18:18-05:00,emailnotfound,FALSE,amarillo,2012-02-69T13:18:18-05:00,make
seat open-need gas money- amarillo to arkansas (tucumcari),amarillo,http://amarillo.craigslist.org/rid/3337562775.html,"does anyone need a ride towards fayetville, arkansas? i'm in tucumcari, i have 2 puppy's and drive a jeep, i'm willing to stop and/or drop anyone off wherever towards ar. for some gas money. i'm 25 guy, very laid back. trained dogs. wouldn't mind a l [...]",2012-10-13T22:34:39-05:00,emailnotfound,TRUE,amarillo,2012-10-15T22:34:39-05:00,stop
"trade  ride for gas- santa rosa, nm-fayetville, ar",amarillo,http://amarillo.craigslist.org/rid/3337504496.html,"hi i'm 25 laid back guy with 2 sweet dogs trying to get to fayetville, arkansas. i ran out of gas money bc my jeep had a few issues that are now taken care of. 
need to leave asap! if anyone needs a ride that can provide gas money, i'm ready, call an [...]",2012-10-13T21:44:21-05:00,emailnotfound,FALSE,amarillo,2012-10-13T21:44:21-05:00,get
ride offered - amarillo to memphis on wed 11/7 (amarillo),amarillo,http://amarillo.craigslist.org/rid/3319356747.html,"i'm offering a ride from amarillo to memphis. 
leaving november 7th. the dates are very flexible depending on everyone's schedules. my sister and i need to be in new jersey before thanksgiving.my sister and i are making a cross country trek, californ [...]",2012-10-05T19:11:54-05:00,emailnotfound,TRUE,amarillo,2012-11-07T19:11:54-05:00,memphis.
bored need company (amarillo t.x),amarillo,http://amarillo.craigslist.org/rid/3317383769.html,i'm in amarillo headed to new mexico then headed back to north carolina anybody looking for a ride hit me up 864-541-5912,2012-10-04T22:35:08-05:00,emailnotfound,TRUE,amarillo,2012-64-54T22:35:08-05:00,new
ride offered - amarillo to livonia on sat 10/20 (amarillo--&gt;detroit suburbs zip: 48152),amarillo,http://amarillo.craigslist.org/rid/3314192029.html,"i'm offering a ride from amarillo to the detroit suburbs zip: 48152. 
open to leaving any day/time between now and thanksgiving!!free ride !!drivers needed!! very flexible departure date and time simply looking to get up to michigan sometime prior to [...]",2012-10-03T15:12:43-05:00,emailnotfound,TRUE,amarillo,2012-10-20T15:12:43-05:00,the
trying to head eastward (ga),amarillo,http://amarillo.craigslist.org/rid/3312345892.html,"hi my name is robert. h, i'm a 26yr old young man. i'm looking for someone who's heading eastward in the next week or so. i'm looking to go as far as atlanta! 
i don't have much money but i get my last paycheck on friday so i'm willing to pay a littl [...]",2012-10-02T19:01:12-05:00,emailnotfound,FALSE,amarillo,2012-10-08T19:01:12-05:00,go
