title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"ride offered: asheville to savannah, ga 11/26",asheville,http://asheville.craigslist.org/rid/3417503775.html,"hi, planning to drive from asheville to savannah on monday 11/26 in the afternoon. can drop you off along the way, like columbia sc et cetera. asking for a little help with gas money. please email me if interested.",2012-11-17T21:31:08-05:00,emailnotfound,TRUE,asheville,2012-11-26T21:31:08-05:00,drive
"driving to tallahasee, fl, 11/21",asheville,http://asheville.craigslist.org/rid/3417146414.html,"somewhat undecided if i'm going or not, but if i had someone to ride with i would be more likely to go. 
leaving wednesday morning between 7 and 8 am and returning saturday or sunday. friendly, nonsmoker. please email if you are interested. 
thanks!",2012-11-17T18:02:56-05:00,emailnotfound,TRUE,asheville,2012-11-21T18:02:56-05:00,ride
"ride available 21nov, avl-northeastern nc (asheville to obx)",asheville,http://asheville.craigslist.org/rid/3417124118.html,"ride offered wednesday, 21 nov from asheville to elizabeth city, nc. i will be taking i-40e, through winston-salem, greensboro, and durham. i have no problems dropping someone off at any other areas that are along i40. i have a 4-door hatchback with  [...]",2012-11-17T17:51:38-05:00,emailnotfound,TRUE,asheville,2012-11-21T17:51:38-05:00,elizabeth
offering ride share asheville to new orleans/baton rouge for thanksgiv (asheville to new orleans),asheville,http://asheville.craigslist.org/rid/3416818377.html,"driving round trip from asheville to new orleans/baton rouge. leaving around nov 20 and coming back around nov 26, with flexibility. looking for one or more people to join the ride and split costs of travel. let me know if you're interested and ill p [...]",2012-11-17T15:33:21-05:00,emailnotfound,TRUE,asheville,2012-11-20T15:33:21-05:00,new
florida for turkey (w.palm beach area),asheville,http://asheville.craigslist.org/rid/3416314778.html,"woman and cool dog driving to s.fla mon. or tuesday...can take 1 person,share driving and expences...must drive stick shift..no smoking in vehicle...good energy good tunes 
thanks",2012-11-17T12:16:09-05:00,emailnotfound,TRUE,asheville,2012-11-19T12:16:09-05:00,s.fla
need ride to dc for xmas (asheville-dc),asheville,http://asheville.craigslist.org/rid/3416192092.html,"hi, i'm looking for a ride from asheville to the dc area or anywhere thereabouts for myself and my sweet old hound dog in mid- december, around the 17-19th. i've got a clean driving record and can split driving as well as gas. i'm 30, female, and the [...]",2012-11-17T11:28:06-05:00,emailnotfound,TRUE,asheville,2012-17-19T11:28:06-05:00,the
need ride to dc mid-december (asheville-dc),asheville,http://asheville.craigslist.org/rid/3416172080.html,"hi, i'm looking for a ride from asheville to the dc area or anywhere thereabouts for myself and my sweet old hound dog in mid- december, around the 17-19th. i've got a clean driving record and can split driving as well as gas. i'm 30, female, and the [...]",2012-11-17T11:20:06-05:00,emailnotfound,TRUE,asheville,2012-17-19T11:20:06-05:00,the
asheville to atlanta  (asheville),asheville,http://asheville.craigslist.org/rid/3416073583.html,looking for a ride from asheville to atlanta area any time from sunday 25th to wednesday 28th. i'm really easy to get along with and could help with the gas. thanks alot!,2012-11-17T10:38:23-05:00,emailnotfound,FALSE,asheville,2012-11-21T10:38:23-05:00,atlanta
need ride to dc (asheville to dc),asheville,http://asheville.craigslist.org/rid/3415316206.html,i am looking for a ride from asheville to dc sometime between sunday the 18th and tuesday the 20th. obviously i would be more than happy to help pay for gas. call james at (704)299-8289 if you think you could help out. thanks for your time.,2012-11-16T21:56:23-05:00,emailnotfound,FALSE,asheville,2012-99-82T21:56:23-05:00,dc
"greenville, sc - kansas city, mo (december 26th)",asheville,http://asheville.craigslist.org/rid/3415068470.html,"i am driving from greenville, sc to kansas city, mo by way of nashville and st. louis on december 26th. i am leaving super early in the morning and will arrive in kcmo around 7 local time. i am looking for people who might need a ride - be the the wh [...]",2012-11-16T19:31:40-05:00,emailnotfound,TRUE,asheville,2012-12-26T19:31:40-05:00,kansas
ride offered ashville/franklin to philadelphia (franklin),asheville,http://asheville.craigslist.org/rid/3414865563.html,"leaving on monday to philly. just me, pleasant, non-smoker. share expenses. mike.",2012-11-16T17:52:57-05:00,emailnotfound,TRUE,asheville,2012-11-19T17:52:57-05:00,philly.
ride wanted to atlanta area (asheville - atlanta),asheville,http://asheville.craigslist.org/rid/3414858960.html,"looking for ride to atlanta any time before thanksgiving. mature, non-smoking. willing to help drive and provide money for gas. ",2012-11-16T17:50:02-05:00,emailnotfound,FALSE,asheville,2012-11-19T17:50:02-05:00,atlanta
ride offered asheville to columbia sc,asheville,http://asheville.craigslist.org/rid/3414385779.html,"i'm leaving asheville on sunday or monday on a quick trip to columbia. drop you off on the way if wanted. 
i'm 24 male traveler, car with space, 
gas if you can, 
803 397 1265 
cameron",2012-11-16T14:38:55-05:00,emailnotfound,TRUE,asheville,2012-11-19T14:38:55-05:00,columbia.
81 n thru penn & beyond monda (asheville),asheville,http://asheville.craigslist.org/rid/3408842693.html,"heading from asheville up 81 north on monday towards jersey shore--plan to drive for about 8 hours or so--if you are heading that direction and have a convenient drop off point, let me know--nice car, no smoking, chip in for gas",2012-11-16T14:38:36-05:00,emailnotfound,TRUE,asheville,2012-11-19T14:38:36-05:00,drive
