title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
heading east,bloomington,http://bloomington.craigslist.org/rid/3416590243.html,"heading east tomorrow (sunday the 18th) straight across i 64 to the coast, would consider taking someone along. let me know.",2012-11-17T14:01:37-05:00,emailnotfound,TRUE,bloomington,2012-11-17T14:01:37-05:00,the
offered: bloomington to chicago 11/17 (hyde park),bloomington,http://bloomington.craigslist.org/rid/3414305465.html,"driving from bloomington to chicago on saturday around noon. get in touch if you can offer something for gas and would like a ride any part of the way. 
phone: six 0 8 three three4 76four six 
there is room for four.",2012-11-16T14:09:01-05:00,emailnotfound,TRUE,bloomington,2012-11-17T14:09:01-05:00,chicago
ride to chicago offered (united states),bloomington,http://bloomington.craigslist.org/rid/3409006663.html,"going to chicago thursday afternoon around 2pm. some space available, split gas.",2012-11-14T10:28:04-05:00,emailnotfound,TRUE,bloomington,2012-11-15T10:28:04-05:00,chicago
ride needed - bloomington to chicago on wed 11/21 (bloomington),bloomington,http://bloomington.craigslist.org/rid/3402635986.html,"i'm looking for a ride from bloomington to chicago. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=526551 ",2012-11-11T15:40:45-05:00,emailnotfound,TRUE,bloomington,2012-11-21T15:40:45-05:00,chicago.
ride to ny (saratoga springs),bloomington,http://bloomington.craigslist.org/rid/3395719815.html,leaving seymour indiana 11/ 15 driving to saratoga springs ny return after thanksgiving 11/26 anyone needing a ride please let me know.,2012-11-08T14:10:54-05:00,emailnotfound,FALSE,bloomington,2012-11-26T14:10:54-05:00,saratoga
split costs of ride bloomington to chicago 11/9-11/11 or 12,bloomington,http://bloomington.craigslist.org/rid/3395664834.html,"anyone interested in sharing the costs of car rental & gas for a trip from bloomington to chicago this weekend? i want to leave bloomington either late fri nov 9 or early sat nov 10, and return either late sun nov 11 or early mon nov 12. i guess it w [...]",2012-11-08T13:50:53-05:00,emailnotfound,TRUE,bloomington,2012-11-09T13:50:53-05:00,chicago
ride offer to cleveland this weekend (bloomington),bloomington,http://bloomington.craigslist.org/rid/3395643649.html,"i will be driving from bloomington to cleveland, oh and back this weekend- leaving either friday evening the 9th or saturday morning the 10th and coming back monday the 12th. i'll be heading north on 37 to indianapolis, west on 70 to columbus, oh and [...]",2012-11-08T13:43:06-05:00,emailnotfound,TRUE,bloomington,2012-11-09T13:43:06-05:00,cleveland
ride offered - columbus to detroit on fri 11/9 (columbus),bloomington,http://bloomington.craigslist.org/rid/3394626575.html,"i'm offering a ride from columbus to detroit. 
leaving november 9th returning november 11th. i am willing to take reasonable detours, if my rides need it.
thanks i am a university of michigan alumni - class of 2011. i presently work for cummins inc.  [...]",2012-11-08T01:39:27-05:00,emailnotfound,TRUE,bloomington,2012-11-09T01:39:27-05:00,detroit.
ride from bloomington in to louiville kentucky  (louiville kentucky ),bloomington,http://bloomington.craigslist.org/rid/3386508134.html,"i'm a 21 year old taveler that needs to get to louiville kentucky before election day. i don't have any money to contribute for gas, but i will give you a beautiful piece of art work i've done. 
i need to meet back up with my traveling partner before [...]",2012-11-04T15:29:40-05:00,emailnotfound,FALSE,bloomington,2012-11-05T15:29:40-05:00,get
ride to chicago (bloomington),bloomington,http://bloomington.craigslist.org/rid/3382569181.html,i need a ride to go the chicago on sunday and come back here on monday night i will pay your gas just myself please let me know if you interest asap,2012-11-02T18:28:20-04:00,emailnotfound,FALSE,bloomington,2012-11-02T18:28:20-04:00,go
going west?  hitch a ride with us. (bloomington),bloomington,http://bloomington.craigslist.org/rid/3379866365.html,"leaving for sedona, az on nov 17. leaving to come back on nov. 26. can drop you off anywhere along the way. taking i-70 to st, louis, then i-44 west to tulsa. i-17 north to az 89a to sedona. help drive and pay 1/3 gas. (fuel-efficient car). responsib [...]",2012-11-01T15:48:05-04:00,emailnotfound,TRUE,bloomington,2012-01-03T15:48:05-04:00,come
ride to minneapolis  (iu bloomington),bloomington,http://bloomington.craigslist.org/rid/3377899135.html,"driving up to minneapolis on december 18th and coming back to bloomington on december 21st. have room in our car for three people. will be fun to drive with interesting people who can help drive an share gas. 
email for more information and about dat [...]",2012-10-31T17:15:14-04:00,emailnotfound,TRUE,bloomington,2012-12-18T17:15:14-04:00,minneapolis
