title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
rides around naples marco island ft myers and airport and more (naples),fortmyers,http://fortmyers.craigslist.org/col/rid/3378836101.html,rides around naples and marco island and ft myers and to and from airport pick-up truck moving i am in naples at 239-331-3248,2012-11-17T09:56:53-05:00,emailnotfound,TRUE,fortmyers,2012-39-33T09:56:53-05:00,and
ride offered - naples to atlanta on wed 11/21 (naples),fortmyers,http://fortmyers.craigslist.org/lee/rid/3414171366.html,"i'm offering a ride from naples to atlanta. 
leaving november 21st returning november 26th. i'm a 49 yr old professional. prefer a non smoker. i'm male 49 , professional contact me on zimride: http://www.zimride.com/ride/share?ride=531844 
i drive a  [...]",2012-11-16T13:20:00-05:00,emailnotfound,TRUE,fortmyers,2012-11-21T13:20:00-05:00,atlanta.
florida to pennsylvania in the next week or two (fort myers),fortmyers,http://fortmyers.craigslist.org/lee/rid/3414122297.html,i'll be heading up to pennsylvania in the next couple weeks. i'm taking i75 and i95. i'll have a 10 foot moving truck but my stuff too so no furniture or beds. if it's just you and a few bags or boxes thats ok. you are responsible for gas money. $150 [...],2012-11-16T13:02:28-05:00,emailnotfound,TRUE,fortmyers,2012-11-19T13:02:28-05:00,pennsylvania
empty pickup truck g0ing north on hwy 75 (cape coral area),fortmyers,http://fortmyers.craigslist.org/lee/rid/3413988471.html,going thru atlanta to saint louis missouri for thanksgiving empty pick up truck ride along or have me bring back your cycle etc. or just ride along help drive call victoria 314-769-5000,2012-11-16T12:14:11-05:00,emailnotfound,TRUE,fortmyers,2012-14-76T12:14:11-05:00,saint
today to fl. (nepa),fortmyers,http://fortmyers.craigslist.org/lee/rid/3408332469.html,leaving nepa to lee cty fl need ride or stuff moved last call 570-881-7848,2012-11-16T11:11:27-05:00,emailnotfound,TRUE,fortmyers,2012-70-88T11:11:27-05:00,lee
**** ride offered to atlanta *** (going day before thanksgiving***),fortmyers,http://fortmyers.craigslist.org/col/rid/3412055491.html,"im driving up next wed 21st - leaving atlanta back to fla 
sunday the 25th or early monday am. 
call mike 615-498-eight six eight three ",2012-11-15T14:58:18-05:00,emailnotfound,TRUE,fortmyers,2012-15-49T14:58:18-05:00,fla
i need a ride from pgd to fort myers,fortmyers,http://fortmyers.craigslist.org/lee/rid/3411253749.html,i am flying into punta gorda on the 29th.of nov.around 2:30pm and need a ride to fort myers..i would like to know how much it will cost. ,2012-11-15T09:39:35-05:00,emailnotfound,FALSE,fortmyers,2012-11-02T09:39:35-05:00,fort
ft. myers to montana car transport needed,fortmyers,http://fortmyers.craigslist.org/lee/rid/3411245905.html,"need car transported from ft. myers to livingston, montana. any ideas or suggestions?",2012-11-15T09:35:18-05:00,emailnotfound,FALSE,fortmyers,2012-11-19T09:35:18-05:00,livingston
need ride to chatt tn (riverview  ext 254 0ff of 75),fortmyers,http://fortmyers.craigslist.org/lee/rid/3400192357.html,lived in cape coral 25 yrs now in riverview fla...need a ride to chatt tn to see my daughter ...my car broke down ...can pay gas/ help w driveing ...thanks dennis 762-209-2297 ps iam a 47 yr old clean cut male thanks,2012-11-10T12:51:22-05:00,emailnotfound,FALSE,fortmyers,2012-62-20T12:51:22-05:00,chatt
leaving port charlotte for boston on tuesday 11/13 (port charlotte),fortmyers,http://fortmyers.craigslist.org/chl/rid/3399740109.html,"picking up one of my small dogs and driving back to boston in 2 days 
seeking qualified 2nd driver to help make the trip 
i have a vw station wagon and plan to depart early tuesday am 
i arrive ft meyers on monday staying in port charlotte then leavi [...]",2012-11-10T09:43:31-05:00,emailnotfound,TRUE,fortmyers,2012-11-13T09:43:31-05:00,boston
