title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
hemet to san diego (kearny mesa) daily (hemet san diego),inlandempire,http://inlandempire.craigslist.org/rid/3417775822.html,"hi all, i commute from hemet to san diego (kearny mesa) round trip monday through friday. i leave hemet at approximately 6:30 am or earlier every morning and arrive in kearny mesa (163 freeway and clairemont mesa blvd. area) at approximately 7:45 am. [...]",2012-11-17T22:36:57-08:00,emailnotfound,TRUE,inlandempire,2012-11-19T22:36:57-08:00,san
driver on call($10/hr plus $0.35 gas surcharge/mile)  (fontana),inlandempire,http://inlandempire.craigslist.org/rid/3416531344.html,"reliable, friendly and courteous 
30 years excellent driven record 
the 35 cent/miles is to cover the gas 
10 dollars per hour ",2012-11-17T10:38:52-08:00,emailnotfound,TRUE,inlandempire,2012-11-23T10:38:52-08:00,cover
joshua tree to oakland (joshua  tree),inlandempire,http://inlandempire.craigslist.org/rid/3416523362.html,"i am headed to oakland and then davis -- looking for 1 - 2 riders to keep company and help pay for gas. 
i can pick you up in joshua, palm springs, riverside, the ie , or la along the 10/210 
no smoking in the car 
be mellow, responsible, few bags 
$ [...]",2012-11-17T10:35:46-08:00,emailnotfound,TRUE,inlandempire,2012-10-21T10:35:46-08:00,oakland
ride needed to sf (claremont),inlandempire,http://inlandempire.craigslist.org/rid/3416059386.html,"twenty-two year-old needs ride to bay for thanksgiving. 
flexible on where to meet. 
will help pay for gas. 
thank you!",2012-11-17T07:32:00-08:00,emailnotfound,FALSE,inlandempire,2012-11-19T07:32:00-08:00,bay
california to dodgecity kansas anyone?,inlandempire,http://inlandempire.craigslist.org/rid/3415716082.html,i really need a ride from california to dodge city kansas to see some family for the holidays i don't have a lotta money but i have to get there asap let me know if you are crossing through there my numbers 951 943 7527 @ least to colorado call me if [...],2012-11-17T02:48:37-08:00,emailnotfound,FALSE,inlandempire,2012-11-17T02:48:37-08:00,dodge
california to dodge city kansas,inlandempire,http://inlandempire.craigslist.org/rid/3410997987.html,i really need a ride from california to dodge city kansas to see some family for the holidays i don't have a lotta money but i have to get there asap let me know if you are crossing through there my numbers 951 943 7527 or atleast to colorado :) ,2012-11-17T02:45:15-08:00,emailnotfound,FALSE,inlandempire,2012-11-17T02:45:15-08:00,dodge
palm springs to sf (ride offer monday ),inlandempire,http://inlandempire.craigslist.org/rid/3410581078.html,"driving my 2007 taurus to the city by the bay , departing palm springs at 930 am on monday november 19th , please be gay friendly . no psychos , and only those who have bathed within 24 hours will be allowed in my car. 55 bucks gets you there.some ba [...]",2012-11-17T00:45:59-08:00,emailnotfound,TRUE,inlandempire,2012-11-19T00:45:59-08:00,the
riverside to la (ucr),inlandempire,http://inlandempire.craigslist.org/rid/3415402472.html,"hi, 
i need to go to la. if you are driving down there, i can pay you $15-20 bucks for gas. i'm headed to north hills but i can be pretty much dropped off anywhere near a bus stand in the city. 
i'm a guy and a student at ucr and will need to be pick [...]",2012-11-16T19:58:57-08:00,emailnotfound,TRUE,inlandempire,2012-15-20T19:58:57-08:00,go
seeking reliable on call driver (victorville),inlandempire,http://inlandempire.craigslist.org/rid/3415311275.html,"i live in victorville and work in rialto im looking for a reliable safe driver 2x a week sometimes more depending on work schedule, normally i need to get dropped off at work either tuesday or wednesday early morning i have to be at work no later tha [...]",2012-11-16T18:53:00-08:00,emailnotfound,TRUE,inlandempire,2012-11-20T18:53:00-08:00,get
10 interstate (10 interstate),inlandempire,http://inlandempire.craigslist.org/rid/3414966871.html,"i'm driving from houston texas to anaheim hills cali. i'm using the 10 interstate the whole way. i'll be leaving sometime saturday 11-17-2012. 
texas cities passing through. 
houston(main city), sugar land, seguin, san antonio(main city), boeme, comf [...]",2012-11-16T15:41:01-08:00,emailnotfound,TRUE,inlandempire,2012-11-17T15:41:01-08:00,anaheim
