title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
do you need a ride? (milwaukee surrounding area),milwaukee,http://milwaukee.craigslist.org/rid/3416864641.html,"at your service transportation 
do you need a ride to school, doctors visit, grocery store, church, concert, sports games or practice, family house, friends house, airport, hotel, home, library, etc. just about anywhere you want to go, within reason, [...]",2012-11-17T14:52:32-06:00,emailnotfound,FALSE,milwaukee,2012-11-23T14:52:32-06:00,school
ride offered - milwaukee to madison on fri 11/16 (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3411746320.html,"i'm offering a ride from milwaukee to madison. 
leaving november 16th returning november 16th. i'm not sure what happened to the ride i am already providing. anyways leaving near uwm around 4pm friday nov 15 in a camry. contact me on zimride: http:// [...]",2012-11-15T12:02:32-06:00,emailnotfound,TRUE,milwaukee,2012-11-16T12:02:32-06:00,madison.
milwaukee-minneapolis friday am  (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3410664480.html,"i have room for a few people to drive to minneapolis from milwaukee on friday in the am some time in exchange for splitting the gas costs. i'll probably buy doughnuts too if that interests you, but i will probably be listening to a book-on-tape for m [...]",2012-11-14T21:15:42-06:00,emailnotfound,TRUE,milwaukee,2012-11-16T21:15:42-06:00,drive
driving from milwaukee to toledo/cleveland (waukesha/brookfield area-&gt;downtown(ish)),milwaukee,http://milwaukee.craigslist.org/rid/3408522030.html,"i will be leaving thursday after work (leaving time somewhat flexible) and driving out to cleveland, to the area around case western reserve university(cwru) and cleveland state university. 
if you are on your way to chicago, toledo or cleveland, tho [...]",2012-11-14T00:31:20-06:00,emailnotfound,TRUE,milwaukee,2012-11-15T00:31:20-06:00,cleveland
milwaukee to madison on thursday 11/15 or friday 11/16 (mke-mad),milwaukee,http://milwaukee.craigslist.org/rid/3406743247.html,"i am looking for a ride into downtown madison anytime after 4pm, this thursday, november 15th or during the day of friday the 16th. i only have about $15 i could spare towards gas, but i would really like to see my family while we all have a day off  [...]",2012-11-13T10:26:10-06:00,emailnotfound,FALSE,milwaukee,2012-11-15T10:26:10-06:00,see
vegas the day after thanksgiving (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3401404475.html,"heading to las vegas on ""black friday."" need someone to share gas and driving. willing to drop you off along the way - omaha, denver, etc. give me a call - dave (920) 650-105eight.",2012-11-10T22:33:47-06:00,emailnotfound,TRUE,milwaukee,2012-50-10T22:33:47-06:00,las
driver needed for work. car provided (burlington-cedar park),milwaukee,http://milwaukee.craigslist.org/rid/3331745079.html,"i need a ride to work m-f. i live in burlington and will be working in delevan on hwy 50. i will compensate accordingly. 
thank you for your time",2012-11-09T17:28:40-06:00,emailnotfound,FALSE,milwaukee,2012-11-10T17:28:40-06:00,work
ride needed - milwaukee/madison to dallas,milwaukee,http://milwaukee.craigslist.org/rid/3392126507.html,"hello. 
i am looking for a ride to dallas, tx. i could be available to meet in either milwaukee or madison area. would be available to depart november 10, 11, 12. 
will share the cost of gas. will also share in driving if wanted. i am male / 40's. no [...]",2012-11-06T22:24:26-06:00,emailnotfound,FALSE,milwaukee,2012-11-10T22:24:26-06:00,dallas
"ride offer: milwaukee, wi to pittsburgh, pa nov 25 (milwaukee)",milwaukee,http://milwaukee.craigslist.org/rid/3388853511.html,"i will be driving from milwaukee, wi to pittsburgh, pa on november 25th. i am willing to stop/drop-off along the route within reason. looking for help with gas and tolls. 
call.email.text. 
608-346-two three one six",2012-11-05T14:35:43-06:00,emailnotfound,TRUE,milwaukee,2012-08-34T14:35:43-06:00,pittsburgh
ride needed - milwaukee to eau claire on wed 11/21 (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3387445039.html,"i'm looking for a ride from milwaukee to eau claire. 
leaving november 21st returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=517239 ",2012-11-05T00:14:01-06:00,emailnotfound,TRUE,milwaukee,2012-11-21T00:14:01-06:00,eau
milwaukee to san diego (or anywhere near) (milwaukee),milwaukee,http://milwaukee.craigslist.org/rid/3384019809.html,"driving to san diego, ca november 16th. leaving time is open, but would like to leave no later than noon. seeking someone to share in gas and driving. vehicle is a 5-speed manual transmission and vehicle is a 2010 and great on fuel (kia). serious res [...]",2012-11-03T12:05:17-05:00,emailnotfound,TRUE,milwaukee,2012-11-16T12:05:17-05:00,san
