title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offered: wilmington to chapel hill or along the way (&back),wilmington,http://wilmington.craigslist.org/rid/3414369956.html,"i'm driving from wilmington to chapel hill on november 19th and coming back on the 24th. 
i have a few quick errands to run along the way (returning a friend's book in rtp and selling some books in durham) so if that's okay with you, you can come alo [...]",2012-11-16T14:32:54-05:00,emailnotfound,TRUE,wilmington,2012-11-19T14:32:54-05:00,chapel
offered: ride (ws greensboro hickory),wilmington,http://wilmington.craigslist.org/rid/3411439658.html,i will be leaving the shallotte area next wednesday or thursday am. i am driving a pickup and will offer to carry a small load. i am asking help for gas. 910-540-0825,2012-11-15T11:06:25-05:00,emailnotfound,TRUE,wilmington,2012-10-54T11:06:25-05:00,carry
"sunday...nc, va, wv and ohio (i-40 / i-77 / i-75)",wilmington,http://wilmington.craigslist.org/rid/3408569300.html,"will be headed from wilmington area on sunday across i-40 then up hwy 52 in winston-salem to i-77 then over to i-75 ending in toledo, oh area and can stop anywhere along the way... 
also will be making return trip back to nc on monday from ohio 
only [...]",2012-11-14T02:41:16-05:00,emailnotfound,TRUE,wilmington,2012-11-19T02:41:16-05:00,i-77
"driving to portsmouth, va from wilmington on 11/16",wilmington,http://wilmington.craigslist.org/rid/3395840513.html,"driving from wilmington, nc to portsmouth, va tomorrow on us-17/us-13 
must be willing to pitch in for gas, and handle a little bit of country music. :-) also, no smoking in the vehicle as i am allergic.. sorry. driving a truck so if you have a bag o [...]",2012-11-12T13:10:36-05:00,emailnotfound,TRUE,wilmington,2012-11-16T13:10:36-05:00,portsmouth
wilmington to asheville dec ride offered (wilmington - asheville),wilmington,http://wilmington.craigslist.org/rid/3401225700.html,"going to asheville for the holidays. will be leaving wilmington around the 15th of dec. am flexable on my dates. i plan to be there about two weeks if you are interested in both ways. if not one way is fine with me.. 
you drive my car and i pay the g [...]",2012-11-10T21:10:21-05:00,emailnotfound,TRUE,wilmington,2012-11-15T21:10:21-05:00,asheville
"wilmington to asheville (asheville, nc)",wilmington,http://wilmington.craigslist.org/rid/3396392020.html,"i was wondering if someone had a truck route or just goes to asheville, nc on a regular basis. i need a ride to get back to school and am struggling with money right now. i'm not sure of the exact date that i'll need the ride, but i should know next  [...]",2012-11-08T18:50:17-05:00,emailnotfound,FALSE,wilmington,2012-11-12T18:50:17-05:00,asheville
wilmington to jacksonville daily for commuters (wilmington/jacksonville),wilmington,http://wilmington.craigslist.org/rid/3395989013.html,rideshare commuter van pool from wilmington to jacksonville daily monday through friday. van leaves wilmington at 6:45am and arrives in jacksonville at 7:50am. we share the monthly gas expenses to operate a 12 passenger van so it averages currently a [...],2012-11-08T15:54:17-05:00,emailnotfound,TRUE,wilmington,2012-11-12T15:54:17-05:00,jacksonville
i'm pursuing a ride to asheville (asheville),wilmington,http://wilmington.craigslist.org/rid/3393532252.html,"i'm headed to asheville, nc at some point after the 16th of november, the sooner the better. i'd be down to split gas costs if you'd like, i also may have some home brewed crafty beer to barter for milage if you so choose. 
hit me back if you're head [...]",2012-11-07T15:20:33-05:00,emailnotfound,TRUE,wilmington,2012-11-16T15:20:33-05:00,asheville
need ride near boone nc (carolina beach),wilmington,http://wilmington.craigslist.org/rid/3392914700.html,"i need a ride from cb towards boone nc, ashe county to be exact. this has to be on the 14th of november. willing to share gas expense. it's very urgent that i get there for a court date so that i can get my money back for the bond i posted. it's noth [...]",2012-11-07T11:35:43-05:00,emailnotfound,FALSE,wilmington,2012-11-14T11:35:43-05:00,be
need ride to charlotte on wednesday (wilmington),wilmington,http://wilmington.craigslist.org/rid/3388891231.html,"looking for a ride to charlotte on wednesday november 7th anytime. i am a backpacker headed to asheville to hike parts of the at up in asheville, so i do have a medium sized pack with me. don't have much money but could help a bit with gas if needed. [...]",2012-11-05T15:49:39-05:00,emailnotfound,FALSE,wilmington,2012-11-07T15:49:39-05:00,charlotte
