title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"ride request: albany, ny to ma  (springfield, amherst, northampton?) (albany)",albany,http://albany.craigslist.org/rid/3417782975.html,"looking to leave 11/18 or 11/19, any time. can chip in $10 for gas. 25 year old male looking to get to northampton. (2o3) 449-8654. thanks! 
http://www.zimride.com/ride/share?ride=539772",2012-11-18T01:46:41-05:00,emailnotfound,FALSE,albany,2012-11-18T01:46:41-05:00,ma
ride needed to boston sunday  (alb to boston/bc),albany,http://albany.craigslist.org/rid/3415964854.html,"looking to catch a ride out to boston or even bc. planning on meeting up with some friends and family for the holiday. 
male graduate student here, sane, normal, clean and friendly. clean drivers license and have done rideshares before (usually the o [...]",2012-11-17T09:45:08-05:00,emailnotfound,FALSE,albany,2012-11-23T09:45:08-05:00,boston
ride offered albany to boston (albany-boston),albany,http://albany.craigslist.org/rid/3411771338.html,"i will be leaving albany saturday morning (17th), driving into downtown boston. can drop you off along the way. 
email me if you would like a ride, im a 29 yr old guy heading back to boston for the holidays. have room for 2-3 ",2012-11-15T13:11:57-05:00,emailnotfound,TRUE,albany,2012-11-17T13:11:57-05:00,boston
ride offered - albany to newton on wed 11/21 (albany),albany,http://albany.craigslist.org/rid/3409402836.html,"i'm offering a ride from albany to newton. 
leaving november 21st returning november 26th. i am still not sure when i am leaving albany but will leave between 4-6pm. return, i need to be back to albany by 9 am. contact me on zimride: http://www.zimri [...]",2012-11-14T12:58:01-05:00,emailnotfound,TRUE,albany,2012-11-21T12:58:01-05:00,newton
ride offered - albany to middletown on wed 11/21 (albany),albany,http://albany.craigslist.org/rid/3407201934.html,"i'm offering a ride from albany to middletown. 
leaving november 21st returning november 23rd. hey there, i'm driving to middletown to spend thanksgiving with my mother. i have a reliable car and i'm a safe driver, and i have aaa coverage. hope to he [...]",2012-11-13T14:10:16-05:00,emailnotfound,TRUE,albany,2012-11-21T14:10:16-05:00,middletown
anyone going to springfield/northampton/amherst? (albany),albany,http://albany.craigslist.org/rid/3403083410.html,trying to catch a ride to western mass to see my girlfriend. car is being worked on. can chip in for gas. thanks!,2012-11-11T19:26:08-05:00,emailnotfound,FALSE,albany,2012-11-16T19:26:08-05:00,springfield/northampton/amherst
tuesdays and thursday ride (galway to albany),albany,http://albany.craigslist.org/rid/3401050736.html,ride needed from galway to albany on tuesdays and thursdays to be in albany by 745am.,2012-11-10T19:19:03-05:00,emailnotfound,FALSE,albany,2012-11-13T19:19:03-05:00,albany
ride needed to (or near) northampton ma,albany,http://albany.craigslist.org/rid/3400478008.html,"hi! 
my name is cam. i am a 24 year old australian who is wandering around these parts. i have a friend in northampton and am trying to get there early this week. any help would be appreciated! i am happy to chip in for gas and bring along some snack [...]",2012-11-10T14:43:17-05:00,emailnotfound,FALSE,albany,2012-11-16T14:43:17-05:00,or
"sunday 11th, driving to worcester mass (albany ny to worcester mass)",albany,http://albany.craigslist.org/rid/3397832108.html,"i am driving from albany ny sunday, probably before noon directly to worcester mass. 
i have a 4 door altima, reliable ride. 
you will be clean, respectful, have valid id and the back seat is available for a bag. 
no smoking or anything like that. 
i [...]",2012-11-09T12:33:37-05:00,emailnotfound,TRUE,albany,2012-11-11T12:33:37-05:00,worcester
ride to troy weekdays (mechanicville),albany,http://albany.craigslist.org/rid/3388143526.html,"i need a ride to troy once a week, days will vary. 
down to eartch, enjoy conversation and of course i'll compensate for the cost of gasoline. 
thanks.",2012-11-07T16:40:33-05:00,emailnotfound,TRUE,albany,2012-11-10T16:40:33-05:00,troy
albany to clifton park dillon francis tomorrow night,albany,http://albany.craigslist.org/rid/3393567381.html,is anyone going to dillon francis tomorrow night at the upstate concert hall that can give me a ride please?? they switched the show from albany to the suburbs and now i'm left high and dry! i'll give you money and i'm not a drag to sit in the car wi [...],2012-11-07T15:34:03-05:00,emailnotfound,FALSE,albany,2012-11-07T15:34:03-05:00,clifton
"anyone else have a season pass to gore, but lame friends who don't ski (troy,ny-north creek, ny)",albany,http://albany.craigslist.org/rid/3392840182.html,"hey! 
so i got a season pass to gore mountain and whiteface and my friends all bailed on me. let me know if you want to share rides up to the mountain early am on weekends. i'm a 29 year old guy who skis and lives in troy. let me know if you want to  [...]",2012-11-07T11:07:32-05:00,emailnotfound,FALSE,albany,2012-11-09T11:07:32-05:00,gore
goinging to branson mo (albany),albany,http://albany.craigslist.org/rid/3388877351.html,"looking for someone to share driving and expenses from albany. ny leaving 11/16 or 17 going to branson mo. 
leaving branson mo 11/24. will pick up and drop off along the way",2012-11-05T15:44:33-05:00,emailnotfound,TRUE,albany,2012-11-16T15:44:33-05:00,branson
ride offer: vt to dc and places in between 11/21 (vt to dc metro area),albany,http://albany.craigslist.org/rid/3386145164.html,"a friend and i are heading to the dc metro area for thanksgiving with my family. we have three more seat belts and/or some amount of luggage carrying capacity in my reliable, relatively environmentally respectful saturn. we will be departing from mid [...]",2012-11-04T12:45:43-05:00,emailnotfound,TRUE,albany,2012-11-21T12:45:43-05:00,dc
ride to ithaca (albany),albany,http://albany.craigslist.org/rid/3385104763.html,"ride to ithaca tomorrow, nov 4th. 
morning preferred. 
call rick 518-275-2057. 
no emails,texts please. ",2012-11-03T21:39:50-04:00,emailnotfound,TRUE,albany,2012-11-03T21:39:50-04:00,ithaca
need a ride to rochester for thanksgiving (capital region),albany,http://albany.craigslist.org/rid/3382334222.html,"i'm a student at rpi and i'd like to visit a friend of mine in rochester for thanksgiving. if you're driving up anyway, why not share the gas bill? 
-scott!",2012-11-02T16:46:41-04:00,emailnotfound,FALSE,albany,2012-11-02T16:46:41-04:00,rochester
clinton nj to albany ny sat & back tues (clinton to albany),albany,http://albany.craigslist.org/rid/3382167745.html,"i am heading to albany from clinton nj and returning tues. i am willing to pick up right the highway (78, 287, or 87) along the way and looking for contribution to cover fuel. please email through craigs list a # to text or call. thanks.",2012-11-02T15:40:28-04:00,emailnotfound,TRUE,albany,2012-11-06T15:40:28-04:00,albany
albany to metro north station (albany),albany,http://albany.craigslist.org/rid/3380447869.html,"i'm driving to the stamford metro north station tomorrow morning. 
trains to nyc are free. 
rideshare: $40 
email with your ideal departure time.",2012-11-01T20:10:10-04:00,emailnotfound,TRUE,albany,2012-11-01T20:10:10-04:00,metro
anybody going down to army vs air force game this sat? (michie stadium),albany,http://albany.craigslist.org/rid/3379289519.html,"going down to west point academy this saturday for the army vs. air force football game. anybody else going? share gas and tolls and do some tailgating. i can drive, i have an expedition with plenty of room (large gas tank too) or you can drive. so f [...]",2012-11-01T12:07:10-04:00,emailnotfound,TRUE,albany,2012-11-03T12:07:10-04:00,army
megabus roundtrip ticket to and from nyc 11/11 (albany to/from nyc),albany,http://albany.craigslist.org/rid/3378834972.html,"bought the megabus roundtrip ticket months ago but couldn't make it. $10 obo 
trip information: 
sun, nov 11 2012 
depart albany, ny, rensselaer station on november 11, 2012 7:30 am arrive new york, ny, 7th ave & 28th st. at november 11, 2012 10:15 a [...]",2012-11-01T08:04:52-04:00,emailnotfound,TRUE,albany,2012-11-11T08:04:52-04:00,and
albany to nyc - 11/1,albany,http://albany.craigslist.org/rid/3377949988.html,"i'm driving to nyc tomorrow afternoon. 
$50 
email if interested.",2012-10-31T17:39:20-04:00,emailnotfound,TRUE,albany,2012-11-01T17:39:20-04:00,nyc
utica to albany,albany,http://albany.craigslist.org/rid/3377439953.html,"going to albany from utica thursday to monday leave 8 am thurs, fri, sat leave 4am sun and monday do not go on tues and wend work a average 8 hr day looking to split cost ",2012-10-31T14:04:58-04:00,emailnotfound,FALSE,albany,2012-10-36T14:04:58-04:00,albany
ride available to maine on sunday november 4th. (albany),albany,http://albany.craigslist.org/rid/3375107989.html,"i will be leaving for midcoast maine on sunday from downtown albany. i will be driving an pickup truck with room for up to 3 people and space in the back for larger items as well. the route is 90 through mass, than 495 north to 95 in maine. 
i would  [...]",2012-10-30T13:53:51-04:00,emailnotfound,TRUE,albany,2012-11-04T13:53:51-04:00,maine
