title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
looking for ride to chicago on nov 27th,annarbor,http://annarbor.craigslist.org/rid/3415982904.html,"i'm looking for a ride to chicago from jackson on tuesday, november 27th. let me know what time you are heading out that day and how much in gas you are looking for. i am heading to chicago to catch a flight to houston and need to be at the airport b [...]",2012-11-17T09:55:06-05:00,emailnotfound,FALSE,annarbor,2012-11-27T09:55:06-05:00,chicago
"ride to detroit, one way (saline/ypsi/ann arbor)",annarbor,http://annarbor.craigslist.org/rid/3415458124.html,"leaving saturday 11.17.2012 afternoon, flexible 
it would be nice if you could throw a few bucks toward gas 
will take you anywhere in the downtown area 
i have to small dogs coming along for the ride 
e-mail me",2012-11-16T23:43:54-05:00,emailnotfound,TRUE,annarbor,2012-11-17T23:43:54-05:00,detroit
ride needed - ann arbor to chicago on wed 11/21 (ann arbor),annarbor,http://annarbor.craigslist.org/rid/3414818030.html,"i'm looking for a ride from ann arbor to chicago. 
leaving november 21st afternoon returning november 25th anytime. contact me on zimride: http://www.zimride.com/ride/share?ride=537760 
or call me on 7346049134. willing to pay $20 each way.",2012-11-16T17:32:01-05:00,emailnotfound,TRUE,annarbor,2012-11-21T17:32:01-05:00,chicago
ride offered - ann arbor to mississauga on sun 12/2 (ann arbor),annarbor,http://annarbor.craigslist.org/rid/3413604910.html,"i'm offering a ride from ann arbor to mississauga. 
leaving december 2nd returning december 4th. i am very flexible on dates. i just need to go some time at the beginning of december. contact me on zimride: http://www.zimride.com/ride/share?ride=5366 [...]",2012-11-16T09:36:20-05:00,emailnotfound,TRUE,annarbor,2012-12-02T09:36:20-05:00,mississauga
ride needed: ann arbor/ypsi to grand rapids 11/18 (united states),annarbor,http://annarbor.craigslist.org/rid/3413514089.html,"i'm looking to get to downtown grand rapids from ypsilanti on sunday 11/18 no later than 8:00pm. 
if you are heading that way give me a call and i will gladly cover your gas money and provide you with some excellent company! 
-paige briana 
734-678-7 [...]",2012-11-16T08:42:42-05:00,emailnotfound,FALSE,annarbor,2012-11-18T08:42:42-05:00,grand
"ride offer from ann arbor to chicago 11/21 return on 11/25 (ann arbor, mi (north campus))",annarbor,http://annarbor.craigslist.org/rid/3412595158.html,"hello! 
my husband and i are driving to chicago from ann arbor on wednesday 11/21. we plan to leave around 7:45pm/8:00pm arriving to chicago around 11pm central standard time. we are asking passengers to contribute $20 each way to help with gas. we w [...]",2012-11-15T18:51:13-05:00,emailnotfound,TRUE,annarbor,2012-11-21T18:51:13-05:00,chicago
ride needed ann arbor to chicago on 11/20 after 5pm,annarbor,http://annarbor.craigslist.org/rid/3411562498.html,ride needed to chicago on tuesday evening 11/20 after 5pm and ride back to ann arbor needed on sunday 11/25 after 3pm. i do not drive but i will pay for the gas and provide snacks!,2012-11-15T11:54:37-05:00,emailnotfound,FALSE,annarbor,2012-11-20T11:54:37-05:00,chicago
ride offered to chicago/evanston (chelsea/jackson/ann arbor),annarbor,http://annarbor.craigslist.org/rid/3411184439.html,"i am driving to evanston, illinois this friday 11/16 in the later afternoon. i am driving home on sunday late afternoon. i am a mom who listens to good music. rsvp if you want a lift.",2012-11-15T08:58:03-05:00,emailnotfound,TRUE,annarbor,2012-11-16T08:58:03-05:00,chicago/evanston
going to austin tx (austin tx),annarbor,http://annarbor.craigslist.org/rid/3410247894.html,leaving 11/24 - 11/25 driving straight thru to austin i can drop you off anywhere in between. i can take passengers or parcels so if you have something to ship from here to there or any point in between let me know and for a fair price it can be arra [...],2012-11-14T18:28:43-05:00,emailnotfound,TRUE,annarbor,2012-11-24T18:28:43-05:00,austin
ride offered ann arbor /dexter area to chicago/wi nov 22  (dexter area),annarbor,http://annarbor.craigslist.org/rid/3408742360.html,"going thru chicago on thanksgiving day to southern wi. expect to arrive in time for turkey dinner. room for one or two depending on logistics. returning sunday. 475 3189 eve and weekend 
donaton for gas and tolls, amount based on how far off the rout [...]",2012-11-14T07:49:16-05:00,emailnotfound,TRUE,annarbor,2012-11-22T07:49:16-05:00,chicago/wi
