title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
"ride to the south (nyc,... nc) (raleigh, nc)",boston,http://boston.craigslist.org/gbs/rid/3417797678.html,"black tinted chevy impala. pimp your ride. :d 
going to raleigh, nc on wed night or thu morning. 
can stop by close cities. 
reasonable, good people only. no attitudes, no cheapskates. if you are a student, great! 
347-210-2025. 
thanks and god bless [...]",2012-11-18T02:07:01-05:00,emailnotfound,FALSE,boston,2012-11-21T02:07:01-05:00,the
"ride offered: boston to li / nyc, monday 11/19 (cambridge)",boston,http://boston.craigslist.org/gbs/rid/3417316113.html,"i'm leaving from the cambridge-area on monday 11/19 in the morning, as close to 7am or so as possible. 
i'm heading to nassau county but if you're headed to nyc i can drop you at the manhasset lirr station that will go directly to penn station withou [...]",2012-11-17T19:33:43-05:00,emailnotfound,TRUE,boston,2012-11-19T19:33:43-05:00,li
need a ride to nc (boston),boston,http://boston.craigslist.org/gbs/rid/3416905008.html,"hi, 
i'm a college student looking for a ride to raleigh, nc for thanksgiving. i can leave on tuesday afternoon or whenever your leaving as long as it's after 10 in the morning on tuesday. i can help with gas and driving!!!!thanks! :)",2012-11-17T16:09:52-05:00,emailnotfound,FALSE,boston,2012-11-20T16:09:52-05:00,nc
offered: boston to nyc (somerville),boston,http://boston.craigslist.org/gbs/rid/3416457830.html,"hey all, 
i'll be leaving boston on sunday. i haven't decided what time exactly, but either by 11:00am, or after 6pm (avoiding rush hour on either end). i've got room for 3 passengers comfortably, and trunk space. driving a subaru impreza, get's abou [...]",2012-11-17T13:10:53-05:00,emailnotfound,TRUE,boston,2012-11-18T13:10:53-05:00,nyc
"offered: ride to maine (needham, ma)",boston,http://boston.craigslist.org/gbs/rid/3392551488.html,"i am offering a ride to maine. i will have plenty on space in my car. 
tuesday, november 20th, i will be headed to damariscotta, me on the mid-coast of maine. 
email for more information",2012-11-17T11:00:08-05:00,emailnotfound,TRUE,boston,2012-11-20T11:00:08-05:00,maine
thanksgiving ride available - montreal to boston and back,boston,http://boston.craigslist.org/gbs/rid/3415473783.html,"i am driving from montreal to boston on nov 22nd evening and coming back on nov 25th morning from boston to montreal. 3 spots available. in case you need a ride, let me know. 
asking $70 round trip or $40 one way. 
thanks,",2012-11-16T23:57:38-05:00,emailnotfound,TRUE,boston,2012-11-22T23:57:38-05:00,boston
ride needed to north carolina (amherst),boston,http://boston.craigslist.org/gbs/rid/3415388789.html,"i am looking for a ride back down to asheville, north carolina on saturday november 24th or sunday the 25th. my sister and i are traveling together and we have gas money to share! ",2012-11-16T22:48:27-05:00,emailnotfound,FALSE,boston,2012-11-24T22:48:27-05:00,north
thanksgiving ride available: chelsea to weymouth (chelsea),boston,http://boston.craigslist.org/gbs/rid/3415091568.html,"on thanksgiving i will be driving from chelsea to weymouth. time is pretty flexible, i could just use some money so if you need a ride, let me know we can work something out",2012-11-16T19:43:51-05:00,emailnotfound,FALSE,boston,2012-11-19T19:43:51-05:00,weymouth
"needed: ride to id (cambridge, ma)",boston,http://boston.craigslist.org/gbs/rid/3414833335.html,"broke girl trying to get to coeur d'alene idaho for a job and place to live. looking to leave around december 1st. if anyone can help, please email me. thank you!",2012-11-16T17:38:40-05:00,emailnotfound,FALSE,boston,2012-12-01T17:38:40-05:00,id
ride offered - boston to salt lake city on fri 12/7 (boston),boston,http://boston.craigslist.org/gbs/rid/3414754618.html,"i'm offering a ride from boston to salt lake city. 
leaving december 7th. i am deaf and driving across country from boston to salt lake. i am looking for somebody to split the cost and share the driving. willing to pick you up or drop off anywhere be [...]",2012-11-16T17:04:45-05:00,emailnotfound,TRUE,boston,2012-12-07T17:04:45-05:00,salt
