title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride offer to oklahoma city/dallas (niagara falls),buffalo,http://buffalo.craigslist.org/rid/3383167160.html,"i'm leaving for oklahoma city in late november. date is flexible. will be going through erie, pittsburg, columbus, indianapolis, springfield, st louis, etc. 1/2 gas expense required, less if i have more than one passenger. i'll be driving a 1992 gmc  [...]",2012-11-18T03:56:41-05:00,emailnotfound,TRUE,buffalo,2012-01-02T03:56:41-05:00,oklahoma
"ride offered to washington dc on monday, november 26th (buffalo)",buffalo,http://buffalo.craigslist.org/rid/3416669632.html,"ride offered to washington dc, or anywhere in between on monday, november 26th. 
leaving from go bus terminal in downtown buffalo at 1pm. washington dc arrival time, about 9pm. $50 
thank you for reading my ad.",2012-11-17T14:32:38-05:00,emailnotfound,TRUE,buffalo,2012-11-26T14:32:38-05:00,washington
buffalo to nyc,buffalo,http://buffalo.craigslist.org/rid/3406863996.html,"i have a ticket to buffalo to nyc, nov. 18th, 2012. it's early in the morning ticket. 2:45 am departure. 
i am selling the ticket at 30$ (it's megabus ticket, only one way ticket to nyc, it will arrive at nyc around 10:40) 
if you are interested in,  [...]",2012-11-15T15:07:27-05:00,emailnotfound,TRUE,buffalo,2012-11-18T15:07:27-05:00,nyc
anyone going to nyc this weekend? (nyc),buffalo,http://buffalo.craigslist.org/rid/3410002459.html,cash or grass no one rides for free. will help out out with anything i can. thinking about going friday,2012-11-14T16:41:57-05:00,emailnotfound,TRUE,buffalo,2012-11-16T16:41:57-05:00,nyc
"buffalo to reading, pa one way or round trip (passenger or cargo)",buffalo,http://buffalo.craigslist.org/rid/3347602160.html,"passenger or cargo. 
box truck for cargo or passenger leaving buffalo november23, flexible. 
returning november 25, flexible. 
driving pick up truck from buffalo, ny to reading, pa. flexible leaving dec 7th. 
returning dec 9-12. 
one way or round tri [...]",2012-11-14T16:31:50-05:00,emailnotfound,TRUE,buffalo,2012-11-25T16:31:50-05:00,reading
ride offered buffalo to boston (williamsville to boston),buffalo,http://buffalo.craigslist.org/rid/3409694373.html,"i will be driving from buffalo (williamsville area) leaving saturday morning the 17th heading towards downtown boston area. 
i have space for 2-3. chip in some money for gas and you will have a ride :) 
aloha ",2012-11-14T14:43:45-05:00,emailnotfound,TRUE,buffalo,2012-11-17T14:43:45-05:00,boston
looking for a ride from buffalo to state college  (buffalo ),buffalo,http://buffalo.craigslist.org/rid/3409415208.html,hi there i am looking for a ride to state college from buffalo on the 25th of november or around. let me know if you can help me out. thanks in advance :),2012-11-14T13:02:24-05:00,emailnotfound,FALSE,buffalo,2012-11-25T13:02:24-05:00,state
"ride to raleigh (raleigh, nc)",buffalo,http://buffalo.craigslist.org/rid/3408604216.html,"i'm looking for a ride to raleigh. 
sometime around the 18th to 20th of december 2012. 
return date mostly after new years. 
i'm a student at suny buffalo. i have a valid license. i can drive.",2012-11-14T03:47:23-05:00,emailnotfound,FALSE,buffalo,2012-12-20T03:47:23-05:00,raleigh
ride from buffalo to binghamton (or anywhere on the way) 11/16-18 (buffalo-binghamton),buffalo,http://buffalo.craigslist.org/rid/3405295403.html,"hi - i'm going to binghamton on friday, 11/16 and returning to buffalo sunday 11/18. i would be happy to give someone a lift either way as long as you chip in for gas. preferably to someone in their 20s/30s. thanks.",2012-11-12T17:37:32-05:00,emailnotfound,TRUE,buffalo,2012-11-16T17:37:32-05:00,binghamton
want: a ride from toronto to buffalo for three people (toronto to buffalo),buffalo,http://buffalo.craigslist.org/rid/3397952766.html,"a ride for three people for tonight or tomorrow morning/day. 
contact me via email. 
thank you.",2012-11-09T13:16:45-05:00,emailnotfound,TRUE,buffalo,2012-11-09T13:16:45-05:00,buffalo
a ride from toronto to buffalo for three people (toronto to buffalo),buffalo,http://buffalo.craigslist.org/rid/3397879495.html,"we need a ride tomorrow or tonight. 
thank you. 
contact me via email.",2012-11-09T12:50:19-05:00,emailnotfound,TRUE,buffalo,2012-11-09T12:50:19-05:00,buffalo
ride to the galleria today,buffalo,http://buffalo.craigslist.org/rid/3390575209.html,is there anyone out there who could please give me a ride to the galleria mall today? i have to be there at 12:30pm. i live in south buffalo and am freaking out! please email me asap for my cell number! thank you!!!,2012-11-06T11:27:17-05:00,emailnotfound,FALSE,buffalo,2012-11-06T11:27:17-05:00,the
need a ride to california (buffalo ),buffalo,http://buffalo.craigslist.org/rid/3388739393.html,hi my name is bob i'm stranded in delevan but could possibly get too buffalo have very little money to help for gas trying to get home please help me get home if anyone knows of a organization that could maybe help me get a bus ticket that would help [...],2012-11-05T14:53:50-05:00,emailnotfound,FALSE,buffalo,2012-11-05T14:53:50-05:00,california
"buffalo to nyc, philadelphia, or baltimore (ride needed) (buffalo)",buffalo,http://buffalo.craigslist.org/rid/3382431496.html,"hey, trying to get a one-way ride down to new york city to aide in the hurricane sandy relief projects. however, i am also going to be visiting baltimore and philadelphia. if anyone is heading to new york, bmore, or philadelphia contact me asap! i'll [...]",2012-11-02T17:27:08-04:00,emailnotfound,FALSE,buffalo,2012-11-02T17:27:08-04:00,nyc
buffalo to nyc - 11/1,buffalo,http://buffalo.craigslist.org/rid/3376908585.html,"i will be leaving tomorrow at noon. 
arriving around 9pm. 
$80",2012-10-31T10:32:57-04:00,emailnotfound,TRUE,buffalo,2012-11-01T10:32:57-04:00,nyc
