title,postingFrom,permalink,shortDescription,postingDate,mailToLink,driver,from,leaving,to
ride to chicago on november 17 (uiuc),chambana,http://chambana.craigslist.org/rid/3354883362.html,"i'm leaving on saturday night anytime after 5.. if you can chip in $15 for gas, i'd be more than happy to have you on board! email or text if interested! 3l2 89o 2879 the furthest north i can drop you off at in downtown chicago so if you're going off [...]",2012-11-16T22:49:48-06:00,emailnotfound,TRUE,chambana,2012-11-17T22:49:48-06:00,chicago
offering ride:  to chicago sat night,chambana,http://chambana.craigslist.org/rid/3415115289.html,"leaving c-u around 10pm to chicago south side (around us cellular/sox) saturday 11/17. 
call me if interested. 
steven 
312.375.0586 ",2012-11-16T18:56:20-06:00,emailnotfound,TRUE,chambana,2012-11-17T18:56:20-06:00,chicago
ride offered - champaign to schaumburg on fri 11/16 (champaign),chambana,http://chambana.craigslist.org/rid/3413033070.html,"i'm offering a ride from champaign to schaumburg. 
leaving november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=536234 or email me asap since i am leaving tomorrow.",2012-11-15T21:59:30-06:00,emailnotfound,TRUE,chambana,2012-11-16T21:59:30-06:00,schaumburg
ride offered - champaign to chicago on fri 11/16 (champaign),chambana,http://chambana.craigslist.org/rid/3410842797.html,"i'm offering a ride from champaign to chicago. 
leaving november 16th. contact me on zimride: http://www.zimride.com/ride/share?ride=533909 ",2012-11-14T23:36:26-06:00,emailnotfound,TRUE,chambana,2012-11-16T23:36:26-06:00,chicago
ride offered - champaign to chicago on thu 11/22 (champaign),chambana,http://chambana.craigslist.org/rid/3410836093.html,"i'm offering a ride from champaign to chicago. 
leaving november 22nd. pick up and drop off at any location in the city (champaign/ chicago) contact me on zimride: http://www.zimride.com/ride/share?ride=533867 ",2012-11-14T23:29:47-06:00,emailnotfound,TRUE,chambana,2012-11-22T23:29:47-06:00,chicago
ride offered - champaign to fairfax on mon 12/24 (champaign),chambana,http://chambana.craigslist.org/rid/3410526803.html,"i'm offering a ride from champaign to fairfax. 
leaving december 24th returning january 4th. i plan to only stop for gas and food. destinations are more or less flexible, but the dates aren't. contact me on zimride: http://www.zimride.com/ride/share? [...]",2012-11-14T19:52:28-06:00,emailnotfound,TRUE,chambana,2012-12-24T19:52:28-06:00,fairfax
anyone heading to chicago on 11/20 or 11/21? (champaign--&gt;chicago),chambana,http://chambana.craigslist.org/rid/3410106053.html,is anyone heading to chicago/the suburbs on tuesday (11/20) or wednesday (11/21)? i could pitch in for gas money and won't have many things to bring along!,2012-11-14T16:25:22-06:00,emailnotfound,TRUE,chambana,2012-11-20T16:25:22-06:00,chicago
"nyc to champaign, nov. 25 (long island)",chambana,http://chambana.craigslist.org/rid/3409025292.html,"1-way new york to champaign urbana. 
leaving sunday nov. 25 
i have room for 1 person to share driving and expenses. 
pickup truck with lots of room for your things.",2012-11-14T09:36:04-06:00,emailnotfound,TRUE,chambana,2012-11-25T09:36:04-06:00,champaign
driver needed for sat 11/17 (champaign to chicago),chambana,http://chambana.craigslist.org/rid/3408117404.html,"i am looking for an individual to drive a rv from champaign to chicago on saturday november 17. we will be leaving around 10 pm. if you are interested, drop me an email with your proposed fee. 
thanks.",2012-11-13T19:34:18-06:00,emailnotfound,TRUE,chambana,2012-11-17T19:34:18-06:00,chicago
seeking ride to chicago 11/16 am (chicago),chambana,http://chambana.craigslist.org/rid/3407175935.html,i'm looking for a ride to anywhere in chicago so that i can get to union station by 4 p.m. i'm offering $15! ,2012-11-13T13:01:01-06:00,emailnotfound,TRUE,chambana,2012-11-16T13:01:01-06:00,chicago
looking for ride to chicago on saturday nov. 17th,chambana,http://chambana.craigslist.org/rid/3405611089.html,"hey! 
my roommate and me are looking for a ride to from champaign to chicago this saturday november 17th. the bus prices are just exploding right now! so let's share the gasprice and go cheap! 
please write an email if you're interested. 
tobi",2012-11-12T19:01:18-06:00,emailnotfound,FALSE,chambana,2012-11-17T19:01:18-06:00,chicago
need a lift? chambana to woodfield mall (nw suburbs),chambana,http://chambana.craigslist.org/rid/3402888133.html,i am a student at uiuc and i am going home on friday the 16th afterschool. so if you need a lift to woodfield mall in schaumburg for $15 i can take you. i can take a total of 4 other people. please either reply to the post or txt me the posting title [...],2012-11-11T16:42:47-06:00,emailnotfound,TRUE,chambana,2012-11-16T16:42:47-06:00,woodfield
ride offered - urbana to northbrook on fri 11/16 $15  (urbana),chambana,http://chambana.craigslist.org/rid/3402740161.html,"i'm offering a ride from urbana to northbrook. 
leaving november 16th returning november 25th. i am a uiuc student driving home for fall break 
i drive a honda accord 
i will drop you off anywhere reasonably close to northbrook or on the way to north [...]",2012-11-11T15:30:41-06:00,emailnotfound,TRUE,chambana,2012-11-16T15:30:41-06:00,northbrook
passenger to split gas going to chicago this saturday (9/17) (champaign-urbana to chicago),chambana,http://chambana.craigslist.org/rid/3401173424.html,"i need a ride to chicago this saturday. bus prices have gotten ridiculous, lets split the ride! i'm a friendly 20 year old biology student.",2012-11-10T19:35:03-06:00,emailnotfound,FALSE,chambana,2012-09-17T19:35:03-06:00,split
riders for thanksgiving: i-70 east to pa (champaign),chambana,http://chambana.craigslist.org/rid/3397697072.html,"i'm driving to harrisburg, pennsylvania over u of i's thanksgiving break, and i'm looking for riders who can contribute to the cost of gas. i'll be leaving friday morning, november 16 and returning sunday, november 25. please reply with your final de [...]",2012-11-09T10:44:50-06:00,emailnotfound,TRUE,chambana,2012-11-16T10:44:50-06:00,pa
"driving to madison, wi on friday (november 9th) (champaign -&gt; madison)",chambana,http://chambana.craigslist.org/rid/3394974641.html,"i'm driving up to madison tomorrow, leaving champaign around noon. if you're headed up there, or you want to be dropped off somewhere along the way, let me know. i'll ask you to split gas money.",2012-11-08T08:19:06-06:00,emailnotfound,TRUE,chambana,2012-11-08T08:19:06-06:00,madison
driving to urbana on fri 16th and back that afternoon from glen ellyn,chambana,http://chambana.craigslist.org/rid/3391443584.html,this is my every third week trip to champaign urbana... arriving around 830am and likely leaving around 1 2 or 3pm that friday. will have at least one super cute dog in the vehicle. i could drop you off at a train station if you're going into the cit [...],2012-11-06T15:57:17-06:00,emailnotfound,TRUE,chambana,2012-11-09T15:57:17-06:00,urbana
ride needed to & from chambana to chicago thanksgiving week! (chambana to chicago),chambana,http://chambana.craigslist.org/rid/3376306330.html,"hey! just me looking for a ride up to chicago city from chambana campus and back the week of thanksgiving. 
can leave friday 16th at the earliest and come back sunday 25th at the latest. 
will pitch in for gas! i'm a good person to travel with! i can [...]",2012-10-30T22:20:27-05:00,emailnotfound,FALSE,chambana,2012-10-33T22:20:27-05:00,from
from cu to atl via tn 28 oct (danville),chambana,http://chambana.craigslist.org/rid/3356128884.html,"driving to atlanta ga sunday 28 oct. i will driving through nashville and chattanooga, tn split gas for distance traveled. no smokers",2012-10-22T06:28:20-05:00,emailnotfound,TRUE,chambana,2012-10-28T06:28:20-05:00,atl
friday oct. 19. glen ellyn to urbana &back (glen ellyn),chambana,http://chambana.craigslist.org/rid/3339390248.html,"i will be driving to urbana early friday morning and returning to glen ellyn in the mid to late afternoon. willing to share the ride either way. drop a line if ur interested or along ether route... 
michael",2012-10-14T20:42:47-05:00,emailnotfound,TRUE,chambana,2012-10-19T20:42:47-05:00,urbana
c/u to grand rapids mi 10/17-10/21,chambana,http://chambana.craigslist.org/rid/3336147871.html,i'll be driving from urbana to north of grand rapids on wed. oct 17 and back on sun. oct. 21. if you need a ride anywhere along this route we can probably work something out. i drive a pickup so i only have room for one. i'm a smoker so if that bothe [...],2012-10-13T10:39:08-05:00,emailnotfound,TRUE,chambana,2012-10-17T10:39:08-05:00,grand
"ride offered to new mexico (urbana, il)",chambana,http://chambana.craigslist.org/rid/3329194089.html,"am driving in the next few weeks to the albuquerque, nm area, and am open to carrying gas-paying riders (and luggage), up to 2 and maybe 3 people. mail me back and say whether i can text message you. plan to go through st.louis, mo, oklahoma city, an [...]",2012-10-10T11:07:48-05:00,emailnotfound,TRUE,chambana,2012-05-03T11:07:48-05:00,new
oct 9: available ride up to chicago (ohare area),chambana,http://chambana.craigslist.org/rid/3320692715.html,"i will be driving up to ohare airport on tues, oct 9 at around 1pm. i can drive up to 4 people. let me know if you need a ride up to chicago, preferably near the ohare area. would need to pitch in for gas ($20). ",2012-10-06T12:37:28-05:00,emailnotfound,TRUE,chambana,2012-10-09T12:37:28-05:00,chicago
need ride for this friday (oct 05) to nw suburbs or union station l@@k (urbana),chambana,http://chambana.craigslist.org/rid/3314599268.html,"if your driving back home this friday let me know, i will throw you some gas money. if your going to the nw suburbs thats perfect! more specifically prospect heights. or if your not going that far union station will do. im a uiuc student, male, 20. 
 [...]",2012-10-03T18:08:05-05:00,emailnotfound,FALSE,chambana,2012-10-05T18:08:05-05:00,nw
